citingpaperID,citedpaperID,cite_function,num_OCCURRENCES,cross_correlation_feature,negativetimelagged_cross_correlation_feature,timelagged_cross_correlation_feature,window_cross_correlation_feature,window_negativetimelagged_cross_correlation_feature,window_timelagged_cross_correlation_feature,year_difference,citingpaperCitationCount,citedpaperCitationCount,self_cite,similarity,raw_cocitation,cosine_cocitation,jaccard_cocitation,raw_bibcoupling,cosine_bibcoupling,jaccard_bibcoupling,annotate_batch,number_of_shared_author,average_section_citation,average_subsection_citation,average_sentence_citation,min_relative_pos_section,maxminusmin_relative_pos_section,min_relative_pos_subsection,maxminusmin_relative_pos_subsection,min_relative_pos_sentence,maxminusmin_relative_pos_sentence,cite_times_in_Abstract,cite_times_in_Introduction,cite_times_in_Related_Work,cite_times_in_Motivation,cite_times_in_Method,cite_times_in_Experiment,cite_times_in_Evaluation,cite_times_in_Conclusion,cite_times_in_Acknowledgement,key_phrase_1,key_phrase_2,key_phrase_3,key_phrase_4,key_phrase_5,key_phrase_6,key_phrase_7,key_phrase_8
P05-1026,C00-1072,Others,1,0.484805676,-0.553461231,0.545548222,0.829469169,0.878913146,0.942311498,5,59,401,0,0.141147787,6,0.133399226,0.046153846,0,0,0,0,0,3.5,3.5,-0.5,0.5,0,0.137931,0,1.7125,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P06-1015,C00-1072,Others,1,0.634928727,0.583507315,0.690720868,0.944005372,0.980242958,0.987822309,6,490,401,0,0.175995221,1,0.007586651,0.003787879,0,0,0,0,0,14,4.5,1,0.5,0,0.222222,0,1.60887,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P06-4007,C00-1072,Others,1,\N,\N,\N,-0.681380544,0.785932604,0.852659007,6,20,401,0,0.203254026,2,0.081992006,0.016393443,0,0,0,0,0,0,0,0,0.444444,0,0.0869565,0,1.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P07-1070,C00-1072,Others,1,0.711509243,0.683610281,0.445700104,0.976144574,0.968851886,-0.95757168,7,136,401,0,-0.005291725,4,0.065857564,0.02739726,1,0.176776695,0.090909091,0,0,16,11.5,0,0.2,0,0.0253165,0,1.875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P08-1090,C00-1072,Others,1,0.156406456,0.745307346,-0.947128898,0.906206997,0.984728703,-0.967724502,8,297,401,0,0.174431893,1,0.006632998,0.003236246,0,0,0,0,0,7,4.5,-0.5,0.333333,0,0.421053,0,1.77451,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P08-1092,C00-1072,Others,1,0.487099497,0.611668759,0.768666984,-0.811227912,-0.948299996,0.924473452,8,47,401,0,0.308812063,0,0,0,0,0,0,0,0,3.5,3.5,3.5,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P09-1023,C00-1072,Others,1,\N,\N,0.596593566,-0.330339433,0.888241243,0.90464339,9,18,401,0,0.284327608,0,0,0,0,0,0,0,0,10,10,10,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P09-2030,C00-1072,Others,1,\N,\N,\N,\N,\N,\N,9,4,401,0,0.122568644,0,0,0,0,0,0,0,0,0,0,-0.5,0.2,0,0.344828,0,1.66406,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P10-1094,C00-1072,Others,1,0.440428483,0.62035929,0.328928205,0.669920306,-0.944673664,-0.911309664,10,40,401,0,0.151138835,1,0.019114485,0.007092199,0,0,0,0,0,14,9.5,0,0.25,0,0.0612245,0,1.91901,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P11-1155,C00-1072,Others,1,-0.229702445,0.600528621,-0.914122041,-0.962207062,0.85754711,-0.874355266,11,23,401,0,0.11173958,1,0.026462806,0.007692308,0,0,0,0,0,11.5,10.5,0,0.5,0,0.29927,0,1.91016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10-2104,C02-1025,Others,1,\N,\N,\N,-0.416803706,-0.704196009,0.782460796,8,15,225,0,0.254852531,0,0,0,1,0.083333333,0.04,0,0,8,0.5,0,0.25,0,0.5,0,1.34426,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P03-1028,C02-1025,Extends,5,0.208353489,-0.833395041,0.452317911,0.784882766,-0.961657134,-0.918630424,1,44,225,1,0.30567902,0,0,0,0,0,0,0,2,4.5,3.16667,2.33333,0.181818,0.363636,0.0769231,0.773077,1.5245,0.322638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P05-1045,C02-1025,Others,1,0.388632182,0.282281085,0.43708069,0.958389296,0.954916184,0.964758745,3,2129,225,0,0.127161469,6,0.037235491,0.00974026,1,0.125,0.066666667,0,0,2.5,2.5,-0.5,0.636364,0,0.222222,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P05-1051,C02-1025,Others,1,\N,\N,-0.164541522,-0.648224472,0.968258439,-0.814368817,3,30,225,0,0.129840962,2,0.074535599,0.033898305,1,0.144337567,0.076923077,0,0,2.5,1,-0.5,0.25,0,0.214286,0,1.51293,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P06-1089,C02-1025,Others,2,\N,\N,\N,\N,\N,\N,4,11,225,0,0.607601433,0,0,0,0,0,0,0,0,6.66667,3.66667,0,0.2,0.2,0.232143,0.710714,1,0.785047,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P06-1141,C02-1025,Others,2,-0.115311921,-0.485689738,0.473021594,0.960625648,-0.960576472,-0.928941503,4,117,225,0,0.424044603,1,0.0255655,0.012820513,1,0.125,0.066666667,0,0,10.3333,4,-0.333333,0.5,0,0.666667,0.288889,1,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C08-1028,H05-1079,Others,0,\N,\N,\N,\N,\N,\N,3,2,181,0,-0.060570963,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
C08-2001,H05-1079,Others,0,\N,\N,\N,\N,\N,\N,3,8,181,0,0.2124666,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
D10-1074,H05-1079,Others,1,\N,\N,\N,\N,\N,\N,5,7,181,0,0.278934862,0,0,0,0,0,0,0,0,7,7,7,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J07-3004,H05-1079,Others,1,0.647855395,0.771290923,-0.502125327,0.967013187,-0.976015585,0.947810315,2,285,181,0,0.114878259,4,0.033586181,0.01509434,1,0.15430335,0.023809524,0,0,9,9,0.5,0.714286,0,0.264706,0,1.92,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
N06-1005,H05-1079,Others,1,0.146105922,-0.488112702,0.495126606,-0.877197445,-0.927287075,0.989931895,1,49,181,0,0.34534485,2,0.060858062,0.023529412,0,0,0,0,0,2.5,2.5,2.5,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N06-1006,H05-1079,Others,1,0.596853655,0.567967196,0.669678062,0.725227314,-0.910273852,0.996707689,1,126,181,0,0.442258648,7,0.12883678,0.066037736,0,0,0,0,0,5.5,5.5,0.5,0.25,0,0.563218,0,1.30222,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N10-1146,H05-1079,Others,1,0.779336388,0.575075804,0.745770394,0.899223474,-0.870863572,0.916521665,5,25,181,0,0.116703768,1,0.027777778,0.011235955,0,0,0,0,0,6.5,6.5,1,0.222222,0,0.0434783,0,1.49194,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P06-1051,H05-1079,Others,1,0.459749784,0.605670632,0.680477993,-0.900594393,0.982931719,0.912795805,1,66,181,0,0.329937276,4,0.079681907,0.038834951,0,0,0,0,0,1,1,0,0.333333,0,0.25,0,1.3125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P06-2105,H05-1079,Others,1,0.631747598,0.559004091,0.690056709,0.34131482,-0.865808979,0.868599036,1,33,181,0,0.363765549,2,0.083333333,0.025641026,0,0,0,0,0,1,1,1,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
P11-1059,H05-1079,Others,1,0.608513367,0.693337728,-0.438113349,0.570717902,0.912756441,0.987729597,6,34,181,0,0.088130174,0,0,0,0,0,0,0,0,7,7,0,0.333333,0,0.631579,0,1.87317,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P12-3013,H05-1079,Others,1,0.407784675,0.785337231,-0.958665045,-0.909213968,0.866389433,-0.958665045,7,21,181,0,0.375822371,0,0,0,0,0,0,0,0,7.5,3,-0.5,0.333333,0,0.756757,0,1.07216,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q13-1015,H05-1079,Others,1,0.572486889,0.866171222,-0.579156688,0.916782375,0.981191113,0.876381484,8,103,181,0,0.194537869,5,0.072532357,0.037593985,0,0,0,0,0,28,8,0,0.2,0,0.0444444,0,1.90406,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S12-1082,H05-1079,Others,1,\N,\N,\N,\N,\N,\N,7,8,181,0,0.30847283,1,0.083333333,0.01369863,0,0,0,0,0,8.5,8.5,1.5,0.25,0,0.533333,0,1.89804,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S12-1108,H05-1079,Others,1,\N,\N,\N,\N,\N,\N,7,4,181,0,0.258812089,0,0,0,0,0,0,0,0,5,5,0,0.25,0,0.5,0,1.78378,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S13-1002,H05-1079,Extends,4,0.694479874,0.878144081,0.730910605,0.810326212,0.921480062,0.919609014,8,57,181,0,0.329075762,7,0.137492985,0.069306931,0,0,0,0,0,49.4,19.8,0.6,0,0,0.380952,0.244048,1.15894,0.448586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S13-1014,H05-1079,Others,1,\N,\N,\N,\N,\N,\N,8,3,181,0,0.10792938,0,0,0,0,0,0,0,0,9,9,1.5,0.25,0,0.416667,0,1.91693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W06-1621,H05-1079,Others,1,\N,\N,\N,\N,\N,\N,1,16,181,0,0.139730203,0,0,0,0,0,0,0,0,7.5,7.5,7.5,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W08-2004,H05-1079,Others,1,\N,\N,\N,\N,\N,\N,3,4,181,0,0.082293639,0,0,0,0,0,0,0,0,4,4,1,0.222222,0,0.15,0,1.89641,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W11-0112,H05-1079,Others,3,0.624441525,0.765418661,0.377133744,0.615310167,0.974997528,0.981989564,6,48,181,0,0.33444089,6,0.131306433,0.063157895,1,0.301511345,0.090909091,0,0,3.25,3.25,-0.25,0.222222,0.333333,0.0285714,0.101863,1,0.873171,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C10-1076,I05-2038,Others,1,0.055697201,0.61559942,-0.499454248,-0.503141807,1,-0.719707894,5,25,108,0,0.206496305,1,0.036885556,0.015873016,0,0,0,0,0,4,4,4,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10-1088,I05-2038,Others,2,0.688814801,0.917113748,0.348334923,0.940854663,0.943975163,-0.875,5,28,108,1,0.195056056,1,0.039621443,0.016393443,0,0,0,0,1,6,-0.333333,-0.333333,0.166667,0.333333,0,0.833333,1.41463,0.060186,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D09-1157,I05-2038,Others,1,\N,\N,\N,\N,\N,\N,4,4,108,1,0.02616191,0,0,0,0,0,0,0,1,7,5.5,0.5,0.4,0,0.662651,0,1.45288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N10-1004,I05-2038,Others,1,0.455869046,0.783484249,-0.716383017,0.743827056,0.965866711,-0.954622245,5,118,108,0,0.186424821,4,0.056859268,0.02739726,0,0,0,0,0,4.5,4.5,-0.5,0.636364,0,0.3125,0,1.32317,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P06-1128,I05-2038,Others,1,0.589505959,0.630682162,0.588287928,0.983078305,0.956950165,0.869939896,1,83,108,1,0.185125912,1,0.036885556,0.015873016,0,0,0,0,2,7.5,3.5,0.5,0.333333,0,0.00961538,0,1.40794,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P06-4005,I05-2038,Others,2,\N,0.326365088,0.498738101,0.75,0.992474843,0.833333333,1,31,108,1,0.178648778,0,0,0,0,0,0,0,4,5.66667,2.33333,0,0.5,0,0.0333333,0.203509,1.18261,0.721237,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C04-1018,J02-3001,Others,1,\N,\N,\N,\N,\N,\N,2,15,1354,0,-0.083585092,0,0,0,1,0.1,0.041666667,0,0,0.5,0.5,0.5,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D08-1094,J02-3001,Others,1,0.437322531,0.700921279,-0.436275807,0.946281481,0.953326276,0.934008453,6,285,1354,0,0.143003611,7,0.02479325,0.010494753,0,0,0,0,0,17,11.5,0.5,0.5,0,0.205882,0,1.89324,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E03-1040,J02-3001,Others,0,\N,\N,\N,0.709988742,0.982179077,-0.85871724,1,23,1354,0,0.192980403,2,0.021905398,0.003738318,6,0.263117406,0.15,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
P04-1043,J02-3001,Others,3,0.724660382,0.867169208,0.64604048,0.890440457,0.995392863,0.926907173,2,242,1354,0,0.350211511,27,0.119490084,0.045608108,2,0.149071198,0.074074074,0,0,5.25,3,0.5,0.25,0.25,0.285714,0.587302,1.21525,0.319637,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
P07-1071,J02-3001,Others,1,0.400360049,0.654838919,-0.519658715,0.723796182,0.961621036,0.929032805,5,68,1354,0,0.300195375,5,0.054763494,0.009398496,3,0.202259959,0.107142857,0,0,8.5,2,-0.5,0.5,0,0.0277778,0,1.03876,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A00-1019,J96-1002,Others,1,\N,\N,\N,-0.758144821,-0.793614496,-0.914141087,4,11,2716,0,0.245563988,1,0.010965862,0.001647446,1,0.065795169,0.025641026,0,0,1.5,1.5,0,0.25,0,0.285714,0,1.62174,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A00-2026,J96-1002,Others,2,0.100142746,-0.445798623,0.562290686,0.89754291,0.977580597,-0.944407952,4,124,2716,0,0.017683684,3,0.019462474,0.004754358,0,0,0,0,0,5,2,0,0.25,0,0.118812,0.707275,1.57364,0.0713782,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A00-2031,J96-1002,Others,0,0.420711347,-0.564407966,0.793707283,0.988803358,0.952956607,0.996053729,4,121,2716,0,0.051934526,6,0.035168997,0.009419152,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
A97-1056,J96-1002,Others,2,\N,\N,\N,-0.458897856,-0.867525153,-0.920261718,1,25,2716,0,0.25941352,1,0.018349396,0.001672241,0,0,0,0,0,13.6667,3.66667,-0.333333,0.5,0,0.409091,0.369979,1.51786,0.396617,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00-1060,J96-1002,Others,1,\N,\N,\N,-0.981448509,0.953075867,0.815960847,4,25,2716,0,0.120598453,1,0.010965862,0.001647446,0,0,0,0,0,2,2,2,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00-1061,J96-1002,Others,1,\N,\N,\N,0.826529656,0.987215236,0.926524977,4,35,2716,0,0.137522729,2,0.025949965,0.003322259,0,0,0,0,0,1,0,0,0.333333,0,0.857143,0,1.73913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00-1064,J96-1002,Others,3,\N,\N,\N,\N,\N,\N,4,1,2716,0,0.245788714,0,0,0,3,0.24743583,0.12,0,0,6.5,6.5,1.25,0.333333,0,0.0411765,0.758824,1.40506,0.338106,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
C00-2124,J96-1002,Others,1,\N,\N,0.655198138,-0.696817585,0.988286196,0.987163995,4,40,2716,0,0.202820589,2,0.020515248,0.003289474,0,0,0,0,0,5,2.5,-0.5,0.375,0,0.569231,0,1.81102,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
C02-1064,J96-1002,Others,1,\N,\N,\N,\N,\N,\N,6,23,2716,0,0.150417113,1,0.018349396,0.001672241,1,0.101015254,0.05,0,0,7.5,0.5,0.5,0.25,0,0.928571,0,1.54098,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D07-1019,J96-1002,Others,0,0.570117531,0.807604298,0.363609528,-0.891443834,0.964283912,-0.983488101,11,80,2716,0,0.283903522,3,0.026243194,0.004893964,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
D07-1051,J96-1002,Others,1,0.696224263,0.721153216,0.577787529,0.954194077,0.970773136,0.883737012,11,82,2716,0,0.079934972,5,0.035183361,0.008025682,0,0,0,0,0,2.5,2.5,2.5,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10-3004,J96-1002,Others,0,-0.044648055,0.271521205,-0.875411932,0.912584501,-0.996872139,-0.961374601,14,261,2716,0,0.072466204,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
P05-1020,J96-1002,Others,1,0.675015648,0.716872175,0.645610012,0.855329458,0.964199577,0.951550336,9,73,2716,0,0.08181048,3,0.022857516,0.00483871,0,0,0,0,0,6.5,5.5,0.5,0.5,0,0.441176,0,1.89381,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P10-1142,J96-1002,Others,0,0.635194352,0.794568092,0.645043841,-0.842992042,0.986921666,0.934872906,14,157,2716,0,0.149784318,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
P98-2214,J96-1002,Others,2,\N,\N,\N,\N,\N,\N,2,2,2716,0,0.051979513,0,0,0,0,0,0,0,0,7.66667,3.33333,0.333333,0.4,0,0.327273,0.518881,1.53878,0.283447,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P99-1069,J96-1002,Others,1,0.375405357,-0.628585571,0.808495039,0.908721516,0.984269443,0.991720646,3,159,2716,0,0.153865599,19,0.083103448,0.028657617,0,0,0,0,0,4,4,0,0.333333,0,0.604027,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P02-1002,J96-1002,Others,2,0.754333999,0.590533224,0.703698336,0.896736349,-0.957823151,0.917894136,6,98,2716,0,0.268843846,10,0.118444842,0.016778523,0,0,0,0,0,7.33333,6,0.666667,0.2,0.2,0.114286,0.418425,1,0.761658,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P05-1066,J96-1002,Others,1,0.708862399,0.879211287,0.515508988,0.940338619,0.942653374,-0.988680504,9,482,2716,0,0.154519082,11,0.024695978,0.011995638,1,0.075592895,0.032258065,0,0,7,7,0.5,0.375,0,0.296703,0,1.20126,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
W00-0707,J96-1002,Others,2,\N,\N,\N,-0.681078974,-0.770024492,-0.957823151,4,12,2716,0,0.298273226,4,0.062032281,0.006700168,1,0.125988158,0.066666667,0,0,4.33333,4.33333,0.666667,0.2,0,0.35,0.4,1.33981,0.00918746,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
W02-0813,J96-1002,Others,1,\N,\N,\N,-0.263358654,-0.937033622,0.902893898,6,27,2716,0,0.160202786,2,0.029012943,0.003333333,0,0,0,0,0,5,1.5,-0.5,0.25,0,0.0384615,0,1.24204,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
