citingpaperid,citedpaperID,cite_function,num_Occur,cross_correlation,window_cross_correlation,year_diff,citingpaper_citation_count,citedpaper_citation_count,self_cite,similarity,jaccard_cocitation,jaccard_bibcoupling,average_section_citation,average_subsection_citation,average_sentence_citation,min_relative_pos_section,maxminusmin_relative_pos_section,min_relative_pos_subsection,maxminusmin_relative_pos_subsection,min_relative_pos_sentence,maxminusmin_relative_pos_sentence,cite_times_in_Abstract,cite_times_in_Introduction,cite_times_in_Related_Work,cite_times_in_Motivation,cite_times_in_Method,cite_times_in_Experiment,cite_times_in_Evaluation,cite_times_in_Conclusion,cite_times_in_Acknowledgement,key_phrase_1,key_phrase_2,key_phrase_3,key_phrase_4,key_phrase_5,key_phrase_6,key_phrase_7,key_phrase_8
J10-1003,C00-1072,Others,1,0.743860784,0.767250076,10,27,401,0,0.112537405,0,0,14,14,14,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J11-1001,C00-1072,Others,1,\N,-0.02353104,11,17,401,0,0.240281576,0,0,1.5,1.5,-0.5,0.166666667,0,0.58490566,0,1.057971014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P02-1058,C00-1072,Others,1,0.710487218,0.85589059,2,200,401,1,0.40026693,0.019736842,0.142857143,6.5,4,-0.5,0.5,0,0.438596491,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P05-1026,C00-1072,Others,1,0.484805676,0.829469169,5,59,401,0,0.141147787,0.046153846,0,3.5,3.5,-0.5,0.5,0,0.137931034,0,1.7125,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P06-1015,C00-1072,Others,1,0.634928727,0.944005372,6,490,401,0,0.175995221,0.003787879,0,14,4.5,1,0.5,0,0.222222222,0,1.608870968,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P06-4007,C00-1072,Others,1,\N,-0.681380544,6,20,401,0,0.203254026,0.016393443,0,0,0,0,0.444444444,0,0.086956522,0,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P07-1070,C00-1072,Others,1,0.711509243,0.976144574,7,136,401,0,-0.005291725,0.02739726,0.090909091,16,11.5,0,0.2,0,0.025316456,0,1.875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P08-1090,C00-1072,Others,1,0.156406456,0.906206997,8,297,401,0,0.174431893,0.003236246,0,7,4.5,-0.5,0.333333333,0,0.421052632,0,1.774509804,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P08-1092,C00-1072,Others,1,0.487099497,-0.811227912,8,47,401,0,0.308812063,0,0,3.5,3.5,3.5,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P09-1023,C00-1072,Others,1,\N,-0.330339433,9,18,401,0,0.284327608,0,0,10,10,10,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P09-2030,C00-1072,Others,1,\N,\N,9,4,401,0,0.122568644,0,0,0,0,-0.5,0.2,0,0.344827586,0,1.6640625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P10-1094,C00-1072,Others,1,0.440428483,0.669920306,10,40,401,0,0.151138835,0.007092199,0,14,9.5,0,0.25,0,0.06122449,0,1.919014085,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P11-1155,C00-1072,Others,1,-0.229702445,-0.962207062,11,23,401,0,0.11173958,0.007692308,0,11.5,10.5,0,0.5,0,0.299270073,0,1.91015625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10-2104,C02-1025,Others,1,\N,-0.416803706,8,15,225,0,0.254852531,0,0.04,8,0.5,0,0.25,0,0.5,0,1.344262295,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P03-1028,C02-1025,Extends,5,0.208353489,0.784882766,1,44,225,1,0.30567902,0,0,4.5,3.166666667,2.333333333,0.181818182,0.363636364,0.076923077,0.773076923,1.524495677,0.322638081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P05-1045,C02-1025,Others,1,0.388632182,0.958389296,3,2129,225,0,0.127161469,0.00974026,0.066666667,2.5,2.5,-0.5,0.636363636,0,0.222222222,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P05-1051,C02-1025,Others,1,\N,-0.648224472,3,30,225,0,0.129840962,0.033898305,0.076923077,2.5,1,-0.5,0.25,0,0.214285714,0,1.512931034,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P06-1089,C02-1025,Others,2,\N,\N,4,11,225,0,0.607601433,0,0,6.666666667,3.666666667,0,0.2,0.2,0.232142857,0.710714286,1,0.785046729,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P06-1141,C02-1025,Others,2,-0.115311921,0.960625648,4,117,225,0,0.424044603,0.012820513,0.066666667,10.33333333,4,-0.333333333,0.5,0,0.666666667,0.288888889,1,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C08-1028,H05-1079,Others,0,\N,\N,3,2,181,0,-0.060570963,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
C08-2001,H05-1079,Others,0,\N,\N,3,8,181,0,0.2124666,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
D10-1074,H05-1079,Others,1,\N,\N,5,7,181,0,0.278934862,0,0,7,7,7,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J07-3004,H05-1079,Others,1,0.647855395,0.967013187,2,285,181,0,0.114878259,0.01509434,0.023809524,9,9,0.5,0.714285714,0,0.264705882,0,1.92,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
N06-1005,H05-1079,Others,1,0.146105922,-0.877197445,1,49,181,0,0.34534485,0.023529412,0,2.5,2.5,2.5,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N06-1006,H05-1079,Others,1,0.596853655,0.725227314,1,126,181,0,0.442258648,0.066037736,0,5.5,5.5,0.5,0.25,0,0.563218391,0,1.302222222,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N10-1146,H05-1079,Others,1,0.779336388,0.899223474,5,25,181,0,0.116703768,0.011235955,0,6.5,6.5,1,0.222222222,0,0.043478261,0,1.491935484,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P06-1051,H05-1079,Others,1,0.459749784,-0.900594393,1,66,181,0,0.329937276,0.038834951,0,1,1,0,0.333333333,0,0.25,0,1.3125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P06-2105,H05-1079,Others,1,0.631747598,0.34131482,1,33,181,0,0.363765549,0.025641026,0,1,1,1,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
P11-1059,H05-1079,Others,1,0.608513367,0.570717902,6,34,181,0,0.088130174,0,0,7,7,0,0.333333333,0,0.631578947,0,1.873170732,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P12-3013,H05-1079,Others,1,0.407784675,-0.909213968,7,21,181,0,0.375822371,0,0,7.5,3,-0.5,0.333333333,0,0.756756757,0,1.072164948,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q13-1015,H05-1079,Others,1,0.572486889,0.916782375,8,103,181,0,0.194537869,0.037593985,0,28,8,0,0.2,0,0.044444444,0,1.904059041,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S12-1082,H05-1079,Others,1,\N,\N,7,8,181,0,0.30847283,0.01369863,0,8.5,8.5,1.5,0.25,0,0.533333333,0,1.898039216,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S12-1108,H05-1079,Others,1,\N,\N,7,4,181,0,0.258812089,0,0,5,5,0,0.25,0,0.5,0,1.783783784,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S13-1002,H05-1079,Extends,4,0.694479874,0.810326212,8,57,181,0,0.329075762,0.069306931,0,49.4,19.8,0.6,0,0,0.380952381,0.244047619,1.158940397,0.448586484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S13-1014,H05-1079,Others,1,\N,\N,8,3,181,0,0.10792938,0,0,9,9,1.5,0.25,0,0.416666667,0,1.916932907,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W06-1621,H05-1079,Others,1,\N,\N,1,16,181,0,0.139730203,0,0,7.5,7.5,7.5,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W08-2004,H05-1079,Others,1,\N,\N,3,4,181,0,0.082293639,0,0,4,4,1,0.222222222,0,0.15,0,1.896414343,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W11-0112,H05-1079,Others,3,0.624441525,0.615310167,6,48,181,0,0.33444089,0.063157895,0.090909091,3.25,3.25,-0.25,0.222222222,0.333333333,0.028571429,0.101863354,1,0.873170732,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C10-1076,I05-2038,Others,1,0.055697201,-0.503141807,5,25,108,0,0.206496305,0.015873016,0,4,4,4,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10-1088,I05-2038,Others,2,0.688814801,0.940854663,5,28,108,1,0.195056056,0.016393443,0,6,-0.333333333,-0.333333333,0.166666667,0.333333333,0,0.833333333,1.414634146,0.060185998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D09-1157,I05-2038,Others,1,\N,\N,4,4,108,1,0.02616191,0,0,7,5.5,0.5,0.4,0,0.662650602,0,1.452879581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N10-1004,I05-2038,Others,1,0.455869046,0.743827056,5,118,108,0,0.186424821,0.02739726,0,4.5,4.5,-0.5,0.636363636,0,0.3125,0,1.323170732,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P06-1128,I05-2038,Others,1,0.589505959,0.983078305,1,83,108,1,0.185125912,0.015873016,0,7.5,3.5,0.5,0.333333333,0,0.009615385,0,1.407942238,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P06-4005,I05-2038,Others,2,\N,0.75,1,31,108,1,0.178648778,0,0,5.666666667,2.333333333,0,0.5,0,0.033333333,0.203508772,1.182608696,0.721237458,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C04-1018,J02-3001,Others,1,\N,\N,2,15,1354,0,-0.083585092,0,0.041666667,0.5,0.5,0.5,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D08-1094,J02-3001,Others,1,0.437322531,0.946281481,6,285,1354,0,0.143003611,0.010494753,0,17,11.5,0.5,0.5,0,0.205882353,0,1.893238434,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E03-1040,J02-3001,Others,0,\N,0.709988742,1,23,1354,0,0.192980403,0.003738318,0.15,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
P04-1043,J02-3001,Others,3,0.724660382,0.890440457,2,242,1354,0,0.350211511,0.045608108,0.074074074,5.25,3,0.5,0.25,0.25,0.285714286,0.587301587,1.215246637,0.319637084,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
P07-1071,J02-3001,Others,1,0.400360049,0.723796182,5,68,1354,0,0.300195375,0.009398496,0.107142857,8.5,2,-0.5,0.5,0,0.027777778,0,1.03875969,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A00-1019,J96-1002,Others,1,\N,-0.758144821,4,11,2716,0,0.245563988,0.001647446,0.025641026,1.5,1.5,0,0.25,0,0.285714286,0,1.62173913,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A00-2026,J96-1002,Others,2,0.100142746,0.89754291,4,124,2716,0,0.017683684,0.004754358,0,5,2,0,0.25,0,0.118811881,0.707275075,1.573643411,0.071378234,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A00-2031,J96-1002,Others,0,0.420711347,0.988803358,4,121,2716,0,0.051934526,0.009419152,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
A97-1056,J96-1002,Others,2,\N,-0.458897856,1,25,2716,0,0.25941352,0.001672241,0,13.66666667,3.666666667,-0.333333333,0.5,0,0.409090909,0.369978858,1.517857143,0.396616541,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00-1060,J96-1002,Others,1,\N,-0.981448509,4,25,2716,0,0.120598453,0.001647446,0,2,2,2,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00-1061,J96-1002,Others,1,\N,0.826529656,4,35,2716,0,0.137522729,0.003322259,0,1,0,0,0.333333333,0,0.857142857,0,1.739130435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00-1064,J96-1002,Others,3,\N,\N,4,1,2716,0,0.245788714,0,0.12,6.5,6.5,1.25,0.333333333,0,0.041176471,0.758823529,1.405063291,0.338106108,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
C00-2124,J96-1002,Others,1,\N,-0.696817585,4,40,2716,0,0.202820589,0.003289474,0,5,2.5,-0.5,0.375,0,0.569230769,0,1.811023622,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
C02-1064,J96-1002,Others,1,\N,\N,6,23,2716,0,0.150417113,0.001672241,0.05,7.5,0.5,0.5,0.25,0,0.928571429,0,1.540983607,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D07-1019,J96-1002,Others,0,0.570117531,-0.891443834,11,80,2716,0,0.283903522,0.004893964,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
D07-1051,J96-1002,Others,1,0.696224263,0.954194077,11,82,2716,0,0.079934972,0.008025682,0,2.5,2.5,2.5,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10-3004,J96-1002,Others,0,-0.044648055,0.912584501,14,261,2716,0,0.072466204,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
P05-1020,J96-1002,Others,1,0.675015648,0.855329458,9,73,2716,0,0.08181048,0.00483871,0,6.5,5.5,0.5,0.5,0,0.441176471,0,1.89380531,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P10-1142,J96-1002,Others,0,0.635194352,-0.842992042,14,157,2716,0,0.149784318,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
P98-2214,J96-1002,Others,2,\N,\N,2,2,2716,0,0.051979513,0,0,7.666666667,3.333333333,0.333333333,0.4,0,0.327272727,0.518881119,1.53877551,0.283446712,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P99-1069,J96-1002,Others,1,0.375405357,0.908721516,3,159,2716,0,0.153865599,0.028657617,0,4,4,0,0.333333333,0,0.604026846,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P02-1002,J96-1002,Others,2,0.754333999,0.896736349,6,98,2716,0,0.268843846,0.016778523,0,7.333333333,6,0.666666667,0.2,0.2,0.114285714,0.418424566,1,0.761658031,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P05-1066,J96-1002,Others,1,0.708862399,0.940338619,9,482,2716,0,0.154519082,0.011995638,0.032258065,7,7,0.5,0.375,0,0.296703297,0,1.201257862,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
W00-0707,J96-1002,Others,2,\N,-0.681078974,4,12,2716,0,0.298273226,0.006700168,0.066666667,4.333333333,4.333333333,0.666666667,0.2,0,0.35,0.4,1.339805825,0.009187463,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
W02-0813,J96-1002,Others,1,\N,-0.263358654,6,27,2716,0,0.160202786,0.003333333,0,5,1.5,-0.5,0.25,0,0.038461538,0,1.242038217,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W96-0213,J96-1002,Others,1,0.965806517,0.972052893,0,1163,2716,0,0.444920349,0.045801527,0.066666667,3.5,3.5,3.5,-2,0,-2,0,-2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C04-1081,N03-1028,Others,1,0.588885256,0.975739421,1,363,1137,0,0.077125029,0.033149171,0.037037037,5,2,0,0.2,0,0.76,0,1.856353591,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C08-1094,N03-1028,Others,0,0.558543885,0.637127376,5,31,1137,0,0.17353688,0.003802281,0.05,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
C08-1106,N03-1028,Others,6,0.201596955,0.927421436,5,48,1137,0,0.274941442,0.019305019,0.388888889,28.14285714,4.714285714,1,0.4,0,0.051282051,0.593162393,1.519607843,0.379009668,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C08-1113,N03-1028,Others,1,0.343321833,0.924696318,5,47,1137,0,0.169431909,0,0,0,0,-0.5,0.375,0,0.538461538,0,1.87254902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10-1082,N03-1028,Others,1,0.396186817,0.993666814,7,29,1137,0,0.111689213,0,0,7,7,0,0.25,0,0.546052632,0,1.578512397,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P10-1038,N03-1028,Others,1,\N,\N,7,5,1137,0,0.176856045,0,0,1.5,1.5,0,0.5,0,0.5,0,1.333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W05-0622,N03-1028,Others,1,0.671762069,0.888795249,2,76,1137,0,0.129486845,0.01509434,0,4.5,2.5,1,0.25,0,0.5,0,1.703592814,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W06-1655,N03-1028,Others,1,0.286372935,0.802384718,3,57,1137,0,0.344033657,0,0,3,3,3,-2,0,-2,0,-2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W10-2923,N03-1028,Others,1,0.293147963,0.907498817,7,63,1137,0,0.064465188,0,0.028571429,2,1.5,1,0.416666667,0,0.173913043,0,1.861328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C04-1081,N04-4028,Others,1,0.458811263,0.779253704,0,363,89,1,0.208523871,0.0125,0.066666667,5,1.5,-0.5,0.2,0,0.928571429,0,1.696078431,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D07-1068,N04-4028,Others,1,0.456368204,-0.819749287,3,45,89,0,0.172200141,0,0,2,2,-0.5,0.571428571,0,0.952380952,0,1.322580645,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D08-1070,N04-4028,Others,0,\N,-0.625,4,18,89,0,0.278317589,0.023809524,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
D10-1095,N04-4028,Others,1,\N,0.989023595,6,21,89,0,0.333435864,0,0.076923077,11,11,11,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N06-1038,N04-4028,Others,1,0.439045658,0.672838495,2,148,89,1,0.343341923,0.015873016,0,13.5,4.5,-0.5,0.25,0,0.338983051,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P08-1004,N04-4028,Others,1,0.691935214,0.985443233,4,287,89,0,0.212821393,0,0,8,4,-0.5,0.25,0,0.894736842,0,1.767857143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P09-1015,N04-4028,Others,1,\N,\N,5,9,89,0,0.042734993,0,0,14,12.5,-0.5,0.25,0,0.487341772,0,1.794701987,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P10-1038,N04-4028,Others,1,\N,\N,6,5,89,0,0.235251633,0,0.25,1.5,1.5,0,0.5,0,0.5,0,1.450704225,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P11-1149,N04-4028,Others,1,0.753157976,0.758556266,7,56,89,0,0.177404991,0,0,23.5,15.5,3,0.5,0,0.5,0,1.766315789,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
C08-5001,N06-1040,Others,1,\N,\N,2,22,10,0,0.287169549,0,0.136363636,23,16.5,0.5,0.333333333,0,0.924369748,0,1.549668874,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10-1007,N06-1040,Others,1,\N,\N,4,9,10,0,0.168071158,0,0,4.5,4.5,4.5,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D08-1091,N06-1040,Others,1,\N,\N,2,35,10,0,0.147319094,0,0.15625,2.5,2,-0.5,0.461538462,0,0.096774194,0,1.650306748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N07-1051,N06-1040,Others,1,\N,\N,1,533,10,0,0.076561292,0.011396011,0.081081081,1.5,1.5,-0.5,0.333333333,0,0.818181818,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N03-2018,P01-1048,Others,1,\N,\N,2,26,22,1,0.186170996,0.2,0,2.5,2.5,0,0.285714286,0,0.5,0,1.105084746,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N04-1026,P01-1048,Others,2,\N,-0.058123819,3,80,22,1,0.222376515,0,0,18.33333333,18.33333333,9.666666667,0.333333333,0,0.441176471,0,1.233490566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W01-1610,P01-1048,Others,3,\N,\N,0,5,22,1,0.601269403,0,0.666666667,2.25,2.25,0,0.285714286,0.428571429,0.25,0.279411765,1.254681648,0.621607012,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
W03-0205,P01-1048,Others,1,\N,\N,2,11,22,1,0.067782778,0,0,8,8,0,0.25,0,0.75,0,1.752542373,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W03-0409,P01-1048,Others,1,\N,\N,2,2,22,1,0.068677835,0,0.4,3.5,3,0.5,0.25,0,0.819672131,0,1.813953488,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
