authorID,name,name_MAG,authorID_MAG,PaperCount_ARC,CitationCount_ARC,hIndex_ARC,PaperCount_MAG_NLP,CitationCount_MAG_NLP,hIndex_MAG_NLP,authorRank,PaperCount_ACL,FellowType
"8824","eneko agirre","eneko agirre","1956093140","121","4652","30","223","7064","42","61","15","2:2021,"
"29364","stephan vogel","stephan vogel","2102032629","120","3385","27","144","4379","35","62","5",\N
"717","mohit bansal","mohit bansal","2070810387","119","1452","20","127","2546","27","63","25",\N
"127","masao utiyama","masao utiyama","1970329226","119","1024","16","148","1430","19","64","11",\N
"363","asif ekbal","asif ekbal","2292569446","119","677","14","161","1226","19","65","5",\N
"33217","aravind joshi","aravind joshi","2101398122","115","6121","34","187","8757","46","66","17","2:2011,1:1998,3:2002,"
"3442","claire cardie","claire cardie","229573375","115","5933","41","149","8445","45","67","23","2:2015,1:2019,"
"3457","yoav goldberg","yoav goldberg","2144962531","115","3689","27","139","5410","33","68","15",\N
"3634","masaaki nagata","masaaki nagata","2102463429","114","1101","19","146","1233","19","69","6",\N
"6126","francis bond","francis bond","2194944715","114","1035","17","139","2108","21","70","5",\N
"993","james pustejovsky","james pustejovsky","1991518691","113","2527","26","196","7731","38","71","4",\N
"1281","ryan cotterell","ryan cotterell","2148165152","113","525","13","113","640","13","72","24",\N
"1509","pascale fung","pascale fung","2096944554","112","2213","24","197","3423","31","73","10","2:2020,"
"444","walter daelemans","walter daelemans","2234963844","112","2546","25","286","4630","35","74","4","2:2014,"
"360","sivaji bandyopadhyay","sivaji bandyopadhyay","2121266603","111","960","16","222","2167","23","75","0",\N
"25372","lluis marquez",\N,\N,"110","3776","26",\N,\N,"-1","76","4",\N
"1743","massimo poesio","massimo poesio","314690538","110","3008","26","167","4082","31","77","9",\N
"3589","xuanjing huang","xuanjing huang","2161482855","109","1226","17","147","1569","20","78","25",\N
"2447","dragomir radev","dragomir radev","678127074","108","4709","32","177","8734","42","79","15","2:2018,1:2015,"
"7794","luke zettlemoyer","luke zettlemoyer","334758317","108","5449","34","147","8988","45","80","34","2:2021,"
"1617","roberto navigli","roberto navigli","3356812","107","3711","31","133","7727","41","81","19",\N
"3526","marcello federico","marcello federico","2171490998","107","5650","24","130","6153","29","82","3",\N
"305","hai zhao","hai zhao","2158989052","106","1295","21","176","1901","24","83","12",\N
"7314","hwee ng","hwee ng","2146810117","106","5874","41","142","6740","44","84","25","2:2012,"
"5136","kevin duh","kevin duh","2046721439","106","1094","17","143","1622","20","85","4",\N
"9578","bonnie webber","bonnie webber","2161790590","105","2455","25","150","4142","31","86","12","2:2012,3:2020,"
"4035","ivan vulic",\N,\N,"105","691","15",\N,\N,"-1","87","20",\N
"3223","sophia ananiadou","sophia ananiadou","2141504082","104","1822","22","231","4622","31","88","3",\N
"631","sabine walde","sabine walde","2158170737","104","1070","15","113","1251","15","89","7",\N
"6630","chengqing zong","chengqing zong","2160997121","104","991","15","204","1576","18","90","12","2:2021,"
"6000","marilyn walker","marilyn walker","2152519802","103","3551","31","179","5479","40","91","18","2:2016,"
"869","michael strube","michael strube","2201099618","103","2214","28","119","3253","29","92","11","2:2019,"
"4587","zhiyuan liu",\N,\N,"103","1949","22",\N,\N,"-1","93","34",\N
"13539","alon lavie","alon lavie","2215739635","103","4880","27","132","5885","32","94","4",\N
"850","claire gardent","claire gardent","331854518","102","824","15","126","999","17","95","12",\N
"6782","diane litman","diane litman","2090150330","101","2872","26","185","5352","39","96","16","2:2017,"
"999","jonas kuhn","jonas kuhn","2117165103","101","598","13","100","740","15","97","15",\N
"2516","andrew mccallum","andrew mccallum","2131293038","101","5173","32","140","7909","43","98","17","1:2017,"
"1194","jun zhao","jun zhao","2590483556","100","2635","22","103","3392","26","99","34",\N
"4265","yejin choi","yejin choi","2133417374","100","3618","28","128","5812","35","100","24",\N
"250","benoit sagot",\N,\N,"99","668","13",\N,\N,"-1","101","7",\N
"8279","philip resnik","philip resnik","574844396","99","3977","33","136","8856","40","102","20","2:2020,"
"4433","jason eisner","jason eisner","2023211357","99","3281","29","135","3816","32","103","17","2:2018,"
"748","mark steedman","mark steedman","2112881711","98","3309","25","138","5925","35","104","15","3:2018,"
"379","dipti sharma","dipti sharma","2146442305","97","547","12","109","727","14","105","0",\N
"4130","alan black","alan black","2138706875","97","1495","19","204","6278","35","106","11",\N
"33578","dekai wu","dekai wu","2171266881","97","3050","25","144","3346","27","107","7","2:2011,"
"310","mamoru komachi","mamoru komachi","2231756486","95","547","12","103","589","12","108","1",\N
"5610","laurent besacier","laurent besacier","2237966808","95","428","11","155","1352","20","109","1",\N
"4176","xiaojun wan","xiaojun wan","2146508076","95","1526","19","119","1996","23","110","27",\N
"411","sebastian pado",\N,\N,"94","2521","21",\N,\N,"-1","111","10",\N
"10837","jaime carbonell","jaime carbonell","2100444261","94","1978","22","159","4243","29","112","10",\N
"25856","james curran","james curran","2122025236","94","3006","27","102","3434","28","113","14",\N
"2956","haifeng wang","haifeng wang","2946695098","94","1432","18","110","2145","23","114","29","2:2016,"
"39226","kehjiann chen",\N,\N,"93","1224","16",\N,\N,"-1","115","1",\N
"3991","william wang","william wang","2110566271","92","782","15","124","1123","18","116","22",\N
"3641","vincent ng","vincent ng","2165254938","92","3189","27","98","3428","29","117","18",\N
"847","regina barzilay","regina barzilay","2080327427","91","6577","37","138","7938","43","118","27","2:2017,"
"7910","graeme hirst","graeme hirst","2103053954","90","3677","23","164","7615","39","119","9","2:2019,"
"2690","rico sennrich","rico sennrich","93200637","90","2998","19","114","3558","24","120","14",\N
"5083","matteo negri","matteo negri","2165613779","90","1440","20","122","1707","21","121","7",\N
"3202","daisuke kawahara","daisuke kawahara","2050319882","89","1104","16","114","1227","17","122","5",\N
"3945","daniel gildea","daniel gildea","2004366870","89","5464","24","114","6026","29","123","13",\N
"245","mark dredze","mark dredze","2023626662","89","4012","27","100","4296","29","124","8",\N
"1086","manabu okumura","manabu okumura","2165400638","89","1256","17","130","1552","19","125","9",\N
"888","jimmy lin","jimmy lin","2163619555","88","2091","20","100","2876","26","126","7",\N
"5084","marco turchi","marco turchi","2304457645","88","1152","17","112","1559","20","127","6",\N
"37311","yorick wilks","yorick wilks","2073488377","87","2019","22","207","5191","36","128","3","3:2008,"
"224","steven bethard","steven bethard","2133231644","87","4280","23","97","4757","26","129","5",\N
"1017","wanxiang che","wanxiang che","2096786427","87","1343","19","110","1684","21","130","19",\N
"10294","nianwen xue","nianwen xue","2153745389","87","2704","24","106","3233","27","131","6",\N
"1403","david yarowsky","david yarowsky","2042800127","87","6551","31","115","8376","38","132","13","2:2013,"
"2935","hua wu","hua wu","2223354072","87","1466","17","87","1879","22","133","31",\N
"5932","gholamreza haffari","gholamreza haffari","1432492132","86","599","13","80","784","14","134","12",\N
"3265","alexander fraser","alexander fraser","2106104795","86","1100","17","83","1499","18","135","12",\N
"3690","rui wang",\N,\N,"86","470","14",\N,\N,"-1","136","14",\N
"106","barbara plank","barbara plank","1970522973","86","734","17","97","987","17","137","7",\N
"20968","stephen clark","stephen clark","2171338068","85","4076","32","103","4559","34","138","12",\N
"3793","furu wei","furu wei","2171151462","85","2439","21","104","3237","27","139","23",\N
"5326","marta costajussa",\N,\N,"85","752","12",\N,\N,"-1","140","0",\N
"10076","haizhou li","haizhou li","2096728398","84","1451","20","223","3768","30","141","21",\N
"10102","udo hahn","udo hahn","2049587962","84","1178","17","188","2721","29","142","9",\N
"8591","pierre zweigenbaum","pierre zweigenbaum","128869916","84","685","14","138","1572","22","143","0",\N
"23887","hans uszkoreit","hans uszkoreit","61376119","84","971","15","138","1761","21","144","8",\N
"3315","ivan titov","ivan titov","2127391507","84","1848","19","99","2546","24","145","23",\N
"1441","satoshi nakamura","satoshi nakamura","2209481840","83","539","11","230","1514","17","146","4",\N
"14512","bonnie dorr","bonnie dorr","2141255014","82","2490","27","172","4001","33","147","8","2:2016,1:2020,"
"3630","jie zhou","jie zhou","2304890293","82","255","6","43","875","12","148","29",\N
"3236","deyi xiong","deyi xiong","2139156831","81","1222","15","100","1510","19","149","18",\N
"3312","jordan boydgraber",\N,\N,"81","1671","19",\N,\N,"-1","150","21",\N
"12129","marco baroni","marco baroni","2318310288","81","4260","29","151","6566","38","151","16",\N
"5986","horacio saggion","horacio saggion","157790613","81","1410","18","151","2110","22","152","2",\N
"673","mihai surdeanu","mihai surdeanu","39770428","81","6353","25","95","6993","26","153","7",\N
"8364","anoop sarkar","anoop sarkar","2126895602","81","1763","19","95","1943","21","154","9",\N
"2551","oliver lemon","oliver lemon","275989945","81","1475","21","123","2504","27","155","9",\N
"2584","carolyn rose",\N,\N,"81","671","13",\N,\N,"-1","156","9",\N
"3749","xu sun","xu sun","2157689933","81","669","15","104","917","17","157","20",\N
"18116","antal bosch","antal bosch","2161053677","81","1141","18","116","1819","21","158","6",\N
"1945","tiejun zhao","tiejun zhao","2127190231","80","989","13","165","1100","13","159","13",\N
"5714","jan niehues","jan niehues","2045275999","80","629","14","84","808","16","160","1",\N
"5066","francisco casacuberta","francisco casacuberta","1336878","80","861","16","148","1624","23","161","2",\N
"4219","dan jurafsky","dan jurafsky","2089131864","80","4538","29","202","20007","65","162","14","2:2020,"
"4346","hal iii",\N,\N,"80","3689","25",\N,\N,"-1","163","15",\N
"6058","marine carpuat","marine carpuat","2056869143","80","1147","17","89","1242","18","164","4",\N
"5469","piek vossen","piek vossen","2153862313","79","714","15","167","2822","25","165","1",\N
"15850","keysun choi",\N,\N,"79","449","11",\N,\N,"-1","166","6",\N
"4956","naoaki okazaki","naoaki okazaki","2030501650","79","688","13","105","893","16","167","13",\N
"6129","german rigau","german rigau","1596863116","78","1720","21","148","2912","30","168","2",\N
"33330","robert gaizauskas","robert gaizauskas","677346422","78","1959","25","151","3958","31","169","4",\N
"1193","kang liu","kang liu","2130404924","78","2297","20","66","2482","21","170","30",\N
"2824","manfred stede","manfred stede","739021993","78","2155","16","114","2642","19","171","0",\N
"301","takenobu tokunaga","takenobu tokunaga","2110824072","77","597","12","123","959","14","172","1",\N
"7084","philippe langlais","philippe langlais","2016031872","77","945","17","108","1281","19","173","1",\N
"8675","roi reichart","roi reichart","1972118651","77","1430","19","102","1587","20","174","20",\N
"987","alexander koller","alexander koller","2145443831","77","812","16","85","1020","17","175","20",\N
"5589","olivier ferret","olivier ferret","1997446085","77","397","12","69","564","14","176","5",\N
"16786","david traum","david traum","693463813","77","1271","19","118","2859","25","177","2",\N
"3873","sebastian riedel","sebastian riedel","1976791985","77","2436","23","101","3306","26","178","9",\N
"31937","daniel marcu","daniel marcu","1853234685","77","8406","37","120","12105","51","179","16","2:2014,"
"34094","janyce wiebe","janyce wiebe","2118264585","77","9647","38","114","12350","42","180","7","2:2015,"
"32552","sergei nirenburg","sergei nirenburg","25760396","76","734","16","150","1844","21","181","3",\N
"7705","teruko mitamura","teruko mitamura","2122875534","76","959","16","91","1807","20","182","2",\N
"928","alessandro lenci","alessandro lenci","437040006","76","1405","14","153","2027","18","183","0",\N
"17380","lori levin",\N,\N,"76","794","18",\N,\N,"-1","184","1",\N
"8953","steven bird","steven bird","2120683996","75","3291","20","106","5663","26","185","3",\N
"2623","stephan oepen","stephan oepen","1987580280","75","1418","22","97","1926","27","186","3",\N
"5032","barry haddow","barry haddow","2179150568","75","3615","24","86","4084","28","187","4",\N
"12609","chinyew lin",\N,\N,"75","8006","31",\N,\N,"-1","188","18",\N
"1526","bing liu","bing liu","2244698799","75","2476","22","97","5380","32","189","10","1:2015,"
"1032","kyunghyun cho",\N,\N,"74","5095","20",\N,\N,"-1","190","11",\N
"3407","shafiq joty","shafiq joty","1208744602","74","740","16","86","1021","19","191","17",\N
"622","marcos zampieri","marcos zampieri","2130891196","74","611","13","86","891","16","192","1",\N
"948","anette frank","anette frank","2113562383","74","820","16","109","1429","20","193","6","2:2021,"
"4279","ralph weischedel","ralph weischedel","2949606947","74","3392","22","80","4082","27","194","9","2:2016,"
"4242","david schlangen","david schlangen","2042143543","73","913","17","101","1164","18","195","7",\N
"441","veronique hoste","veronique hoste","2227650618","73","937","15","140","1305","18","196","1",\N
"3318","shay cohen","shay cohen","2133337488","73","660","13","94","882","15","197","16",\N
"3422","kaiwei chang",\N,\N,"73","661","15",\N,\N,"-1","198","16",\N
"3425","yi zhang","yi zhang","2706740761","73","984","15","57","740","13","199","7",\N
"17476","james allen","james allen","2235393145","73","1795","22","143","5271","30","200","11",\N
"1826","wenjie li","wenjie li","2139868060","73","1092","20","165","1923","24","201","10",\N
"1894","grzegorz kondrak","grzegorz kondrak","330825386","73","1379","21","80","1576","24","202","12",\N
"1087","satoshi sekine","satoshi sekine","2113043232","73","2592","25","99","4306","29","203","5",\N
"12932","kentaro torisawa","kentaro torisawa","2805907121","73","1545","23","97","1698","23","204","11",\N
"1394","francis tyers","francis tyers","2122485303","73","192","8","73","374","9","205","0",\N
"5814","sujian li","sujian li","2161397473","73","818","16","117","1168","19","206","11",\N
"8438","liang huang","liang huang","2111840783","73","2660","22","88","2819","23","207","14",\N
"8900","mari ostendorf","mari ostendorf","2046206377","72","1278","17","187","4935","34","208","3","2:2018,"
"24529","giorgio satta","giorgio satta","1992109353","72","1260","17","95","1450","21","209","21",\N
"35621","eugene charniak","eugene charniak","103415842","72","6358","36","103","8894","42","210","14","2:2011,3:2011,"
"1472","manish shrivastava","manish shrivastava","2251125838","72","200","6","56","323","8","211","1",\N
"11246","michael collins","michael collins","2170865064","71","10693","36","101","12537","43","212","20","2:2011,"
"16067","fei xia","fei xia","2346873432","71","977","15","83","2011","21","213","4",\N
"16980","carlo strapparava","carlo strapparava","108113495","71","2529","20","104","4546","26","214","7",\N
"18749","christian boitet","christian boitet","280606735","71","446","12","71","471","12","215","1",\N
"21810","ted briscoe","ted briscoe","1989705602","71","2736","25","109","3999","34","216","9",\N
"5931","ehud reiter","ehud reiter","2144649503","71","1567","23","102","3537","28","217","3",\N
"6276","paul buitelaar","paul buitelaar","1985997350","71","467","12","115","1769","19","218","1",\N
"5","dietrich klakow","dietrich klakow","1237914314","71","446","9","88","830","14","219","2",\N
"5059","maja popovic",\N,\N,"71","740","15",\N,\N,"-1","220","0",\N
"2866","pierrette bouillon","pierrette bouillon","2124370546","70","327","10","104","888","14","221","0",\N
"12694","mark dras","mark dras","2198576706","70","766","16","100","932","16","222","6",\N
"16303","nancy ide","nancy ide","690115864","70","2658","24","114","3568","30","223","4",\N
"5881","minlie huang","minlie huang","2162268045","70","1068","15","82","1487","18","224","21",\N
"82","leo wanner","leo wanner","1828080704","70","445","12","121","938","15","225","1",\N
"794","nathan schneider","nathan schneider","2096245607","69","2313","16","79","2370","17","226","5",\N
"219","nigel collier",\N,\N,"69","1808","18",\N,\N,"-1","227","9",\N
"2322","berlin chen","berlin chen","2117516994","69","77","5","144","1152","18","228","2",\N
"4023","kevin gimpel","kevin gimpel","2000806699","69","2610","20","90","2953","22","229","9",\N
"417","dirk hovy","dirk hovy","310222905","68","1037","19","59","1035","19","230","5",\N
"4293","brian roark","brian roark","2165864196","68","2093","20","93","2563","24","231","13",\N
"6978","andrei popescubelis",\N,\N,"68","701","15",\N,\N,"-1","232","0",\N
"9188","jun suzuki","jun suzuki","2937889983","68","951","15","76","990","15","233","13",\N
"9456","julia hirschberg","julia hirschberg","1983359683","68","2529","26","155","5456","40","234","11","2:2011,1:2015,"
"96","torsten zesch","torsten zesch","149174513","68","1193","17","79","1501","17","235","1",\N
"1460","minyen kan",\N,\N,"68","1705","20",\N,\N,"-1","236","12",\N
"1309","mans hulden","mans hulden","2177549942","67","331","8","69","393","9","237","1",\N
"136","thamar solorio","thamar solorio","143758417","67","649","12","97","903","15","238","5",\N
"1437","michael white","michael white","2144885157","67","720","15","67","1097","19","239","5",\N
"1501","bernardo magnini","bernardo magnini","6113618","67","1882","17","130","4573","29","240","1",\N
"191","joel tetreault","joel tetreault","2084122671","67","1622","24","106","2586","28","241","3",\N
"4800","hiroya takamura","hiroya takamura","2170796186","67","844","13","75","1098","14","242","10",\N
"6245","johan bos","johan bos","2175936918","67","1536","19","99","1917","21","243","4",\N
"9426","antonio toral","antonio toral","2118470150","67","403","12","95","640","15","244","0",\N
"3180","david chiang","david chiang","2297564775","67","4571","23","93","4770","25","245","15",\N
"3703","xipeng qiu","xipeng qiu","2115470192","66","648","14","107","1181","18","246","17",\N
"18003","nicoletta calzolari",\N,\N,"66","1066","16",\N,\N,"-1","247","2","2:2011,"
"2296","kehyih su",\N,\N,"66","590","15",\N,\N,"-1","248","6",\N
"3941","yan song",\N,\N,"66","240","8",\N,\N,"-1","249","12",\N
"11421","manny rayner","manny rayner","2110163086","66","739","14","119","1993","22","250","3",\N
"5280","sophie rosset","sophie rosset","2149519453","66","336","10","93","949","17","251","0",\N
"4460","chris quirk","chris quirk","2165558247","66","2545","20","91","3291","26","252","10",\N
"4704","srinivas bangalore","srinivas bangalore","2236378493","65","1890","21","133","3273","29","253","5",\N
"3896","andre martins",\N,\N,"65","1149","15",\N,\N,"-1","254","11",\N
"3965","yulia tsvetkov","yulia tsvetkov","2234266251","65","721","14","66","999","17","255","8",\N
"43","xiang ren","xiang ren","2129405715","65","123","6","75","537","12","256","9",\N
"3270","phil blunsom","phil blunsom","297118547","65","3392","24","120","6898","36","257","16",\N
"3371","percy liang","percy liang","2171686691","65","4892","25","95","6826","37","258","27",\N
"3389","emiel krahmer","emiel krahmer","2128248289","65","856","14","123","1381","19","259","4",\N
"1722","paolo rosso","paolo rosso","2157200871","65","1027","17","257","3748","30","260","0",\N
"1762","franck dernoncourt","franck dernoncourt","2786623866","65","112","6","43","325","10","261","8",\N
"2237","sandra kubler",\N,\N,"65","1083","14",\N,\N,"-1","262","1",\N
"5752","jingbo zhu","jingbo zhu","3001653854","65","631","11","72","766","13","263","9",\N
"63","radhika mamidi","radhika mamidi","2100319674","65","49","4","60","103","5","264","0",\N
"1028","stefan riezler","stefan riezler","1993280370","65","1808","19","89","2035","21","265","15",\N
"13005","saif mohammad","saif mohammad","2105560112","65","2904","27","99","5000","36","266","5",\N
"11095","khalid choukri","khalid choukri","2030924023","64","354","9","79","973","12","267","0",\N
"1255","john mccrae","john mccrae","2138321170","64","168","7","68","688","12","268","0",\N
"370","gertjan noord","gertjan noord","460648679","64","918","17","84","1274","20","269","6",\N
"2610","filip ginter","filip ginter","185521244","64","1087","12","102","1780","18","270","0",\N
"3761","lei li",\N,\N,"64","105","6",\N,\N,"-1","271","14",\N
"6238","kemal oflazer","kemal oflazer","2294813931","64","1369","20","126","1942","25","272","4",\N
"6982","benno stein","benno stein","2134393620","64","770","14","77","1569","19","273","13",\N
"17513","nuria bel",\N,\N,"64","694","10",\N,\N,"-1","274","0",\N
"17923","john carroll","john carroll","2104823391","64","3188","29","114","4282","34","275","10","1:2003,"
"2109","thierry declerck","thierry declerck","2943107685","64","309","10","77","550","11","276","0",\N
"5503","ruslan mitkov","ruslan mitkov","240737586","64","1044","14","113","1613","21","277","1",\N
"5404","vera demberg","vera demberg","45914911","63","359","11","64","678","11","278","4",\N
"2622","lilja ovrelid",\N,\N,"63","372","11",\N,\N,"-1","279","2",\N
"2873","mark stevenson","mark stevenson","2131647180","63","1258","15","118","2008","22","280","2",\N
"10821","ellen riloff","ellen riloff","2078106182","63","4208","27","98","7432","37","281","7","2:2018,"
"14744","stephanie strassel",\N,\N,"63","1341","15",\N,\N,"-1","282","0",\N
"2093","qi zhang","qi zhang","2484821979","63","616","13","54","999","15","283","8",\N
"4057","wei lu","wei lu","2971318000","63","617","13","58","711","13","284","9",\N
"7746","andreas vlachos","andreas vlachos","1833086944","63","649","15","67","916","17","285","6",\N
"8863","antonio branco",\N,\N,"63","269","9",\N,\N,"-1","286","3",\N
"9610","eric nyberg","eric nyberg","2074756409","63","826","14","77","1523","20","287","3",\N
"822","jacob eisenstein","jacob eisenstein","2142862529","62","2589","23","112","3096","26","288","9",\N
"8333","ani nenkova","ani nenkova","114841185","62","2352","24","100","4009","29","289","5",\N
"9124","cecile paris",\N,\N,"62","1143","14",\N,\N,"-1","290","9",\N
"264","nikola ljubevsic",\N,\N,"62","409","12",\N,\N,"-1","291","0",\N
"2685","carlos gomezrodriguez",\N,\N,"62","431","13",\N,\N,"-1","292","11",\N
"5576","laura kallmeyer","laura kallmeyer","21209263","62","361","11","86","709","14","293","1",\N
"5603","beatrice daille",\N,\N,"62","584","10",\N,\N,"-1","294","1",\N
"3520","colin cherry","colin cherry","1987215999","62","2717","24","73","3108","27","295","9",\N
"3657","nan duan","nan duan","2148648456","62","377","9","54","477","12","296","20",\N
"1754","ted pedersen","ted pedersen","2120321692","62","2446","21","139","6578","32","297","1",\N
"1827","qin lu","qin lu","2112113948","61","571","14","119","978","17","298","1",\N
"2010","mariefrancine moens",\N,\N,"61","735","16",\N,\N,"-1","299","2",\N
"51","james glass","james glass","2154846939","61","1218","20","195","5385","38","300","10",\N
"7439","goran glavavs",\N,\N,"61","284","7",\N,\N,"-1","301","10",\N
"819","jennifer foster","jennifer foster","2102489688","61","897","15","86","1188","19","302","2",\N
"874","jonathan berant","jonathan berant","86633810","61","1890","17","78","2350","20","303","15",\N
"2402","shukai hsieh",\N,\N,"61","195","6",\N,\N,"-1","304","0",\N
"2476","baobao chang","baobao chang","2141034123","61","817","13","77","954","14","305","12",\N
"28333","johanna moore","johanna moore","2170207220","61","2125","25","113","3303","32","306","9",\N
"3441","alexander rush","alexander rush","2701382563","61","2433","17","71","4119","27","307","9",\N
"10658","christof monz","christof monz","2109806231","61","2589","21","128","3593","28","308","0",\N
"12388","michael paul",\N,\N,"61","1080","18",\N,\N,"-1","309","3",\N
"14867","yves lepage","yves lepage","2620145209","61","403","10","82","546","12","310","2",\N
"42377","robert dale","robert dale","2232810675","61","1576","21","127","3626","28","311","2","2:2018,"
"7141","aline villavicencio","aline villavicencio","2157257934","60","631","15","112","1005","18","312","3",\N
"721","rebecca passonneau","rebecca passonneau","113116722","60","2775","21","95","3249","23","313","12",\N
"7628","raymond mooney","raymond mooney","2167433806","60","4218","30","128","8469","47","314","14","2:2014,1:2010,"
"908","mu li","mu li","2107346758","60","1604","20","73","2030","22","315","20",\N
"21851","richard schwartz",\N,\N,"60","2881","24",\N,\N,"-1","316","5",\N
"128","taro watanabe","taro watanabe","2721482151","60","1067","18","60","1179","19","317","12",\N
