"1991.mtsummit-papers.7","A92-1029","1"
"W07-1806","C08-1090","0.22549"
"C08-1090","W07-1807","0.0588235"
"W07-1807","C08-1090","0.0588235"
"C08-1090","W08-1506","0.22549"
"W08-1506","C08-1090","0.22549"
"C08-1090","W08-1702","0.0588235"
"W08-1702","C08-1090","0.0588235"
"C08-1090","W09-2607","0.22549"
"W09-2607","C08-1090","0.22549"
"H05-2014","rayner-etal-2010-multilingual","0.0588235"
"rayner-etal-2010-multilingual","H05-2014","0.0588235"
"H05-2014","tsourakis-etal-2008-building","0.0588235"
"tsourakis-etal-2008-building","H05-2014","0.0588235"
"H05-2014","tsourakis-etal-2010-examining","0.0588235"
"tsourakis-etal-2010-examining","H05-2014","0.0588235"
"H05-2014","W07-0806","0.0588235"
"W07-0806","H05-2014","0.0588235"
"H05-2014","W07-1806","0.0588235"
"W07-1806","H05-2014","0.0588235"
"H05-2014","W07-1807","0.0588235"
"W07-1807","H05-2014","0.0588235"
"H05-2014","W08-1506","0.0588235"
"W08-1506","H05-2014","0.0588235"
"H05-2014","W08-1702","0.0588235"
"W08-1702","H05-2014","0.0588235"
"H05-2014","W09-2607","0.0588235"
"W09-2607","H05-2014","0.0588235"
"rayner-etal-2006-regulus","rayner-etal-2010-multilingual","0.392157"
"rayner-etal-2010-multilingual","rayner-etal-2006-regulus","0.392157"
"rayner-etal-2006-regulus","tsourakis-etal-2008-building","0.0588235"
"tsourakis-etal-2008-building","rayner-etal-2006-regulus","0.0588235"
"rayner-etal-2006-regulus","tsourakis-etal-2010-examining","0.0588235"
"tsourakis-etal-2010-examining","rayner-etal-2006-regulus","0.0588235"
"rayner-etal-2006-regulus","W07-0806","0.0588235"
"W07-0806","rayner-etal-2006-regulus","0.0588235"
"rayner-etal-2006-regulus","W07-1806","0.0588235"
"W07-1806","rayner-etal-2006-regulus","0.0588235"
"rayner-etal-2006-regulus","W07-1807","0.0588235"
"W07-1807","rayner-etal-2006-regulus","0.0588235"
"rayner-etal-2006-regulus","W08-1506","0.0588235"
"W08-1506","rayner-etal-2006-regulus","0.0588235"
"rayner-etal-2006-regulus","W09-2607","0.0588235"
"W09-2607","rayner-etal-2006-regulus","0.0588235"
"rayner-etal-2010-multilingual","tsourakis-etal-2008-building","0.0588235"
"tsourakis-etal-2008-building","rayner-etal-2010-multilingual","0.0588235"
"rayner-etal-2010-multilingual","tsourakis-etal-2010-examining","0.558824"
"tsourakis-etal-2010-examining","rayner-etal-2010-multilingual","0.558824"
"rayner-etal-2010-multilingual","W06-3702","0.392157"
"W06-3702","rayner-etal-2010-multilingual","0.392157"
"rayner-etal-2010-multilingual","W06-3707","0.0588235"
"W06-3707","rayner-etal-2010-multilingual","0.0588235"
"rayner-etal-2010-multilingual","W07-0806","0.0588235"
"W07-0806","rayner-etal-2010-multilingual","0.0588235"
"rayner-etal-2010-multilingual","W07-1806","0.0588235"
"W07-1806","rayner-etal-2010-multilingual","0.0588235"
"rayner-etal-2010-multilingual","W07-1807","0.0588235"
"W07-1807","rayner-etal-2010-multilingual","0.0588235"
"rayner-etal-2010-multilingual","W08-1506","0.892157"
"W08-1506","rayner-etal-2010-multilingual","0.892157"
"rayner-etal-2010-multilingual","W08-1702","0.392157"
"W08-1702","rayner-etal-2010-multilingual","0.392157"
"rayner-etal-2010-multilingual","W09-2607","1.05882"
"W09-2607","rayner-etal-2010-multilingual","1.05882"
"tsourakis-etal-2008-building","tsourakis-etal-2010-examining","0.0588235"
"tsourakis-etal-2010-examining","tsourakis-etal-2008-building","0.0588235"
"tsourakis-etal-2008-building","W06-3702","0.201681"
"W06-3702","tsourakis-etal-2008-building","0.201681"
"tsourakis-etal-2008-building","W06-3707","0.201681"
"W06-3707","tsourakis-etal-2008-building","0.201681"
"tsourakis-etal-2008-building","W07-0806","0.368347"
"W07-0806","tsourakis-etal-2008-building","0.368347"
"tsourakis-etal-2008-building","W07-1806","0.701681"
"W07-1806","tsourakis-etal-2008-building","0.701681"
"tsourakis-etal-2008-building","W07-1807","0.392157"
"W07-1807","tsourakis-etal-2008-building","0.392157"
"tsourakis-etal-2008-building","W08-1506","0.22549"
"W08-1506","tsourakis-etal-2008-building","0.22549"
"tsourakis-etal-2008-building","W08-1702","0.392157"
"W08-1702","tsourakis-etal-2008-building","0.392157"
"tsourakis-etal-2008-building","W09-2607","0.22549"
"W09-2607","tsourakis-etal-2008-building","0.22549"
"tsourakis-etal-2010-examining","W06-3702","0.0588235"
"W06-3702","tsourakis-etal-2010-examining","0.0588235"
"tsourakis-etal-2010-examining","W06-3707","0.0588235"
"W06-3707","tsourakis-etal-2010-examining","0.0588235"
"tsourakis-etal-2010-examining","W07-0806","0.0588235"
"W07-0806","tsourakis-etal-2010-examining","0.0588235"
"tsourakis-etal-2010-examining","W07-1806","0.0588235"
"W07-1806","tsourakis-etal-2010-examining","0.0588235"
"tsourakis-etal-2010-examining","W07-1807","0.0588235"
"W07-1807","tsourakis-etal-2010-examining","0.0588235"
"tsourakis-etal-2010-examining","W08-1506","0.558824"
"W08-1506","tsourakis-etal-2010-examining","0.558824"
"tsourakis-etal-2010-examining","W08-1702","0.0588235"
"W08-1702","tsourakis-etal-2010-examining","0.0588235"
"tsourakis-etal-2010-examining","W09-2607","0.0588235"
"W09-2607","tsourakis-etal-2010-examining","0.0588235"
"W06-3702","W07-0806","0.201681"
"W07-0806","W06-3702","0.201681"
"W06-3702","W07-1806","1.20168"
"W07-1806","W06-3702","1.20168"
"W06-3702","W07-1807","0.0588235"
"W07-1807","W06-3702","0.0588235"
"W06-3702","W08-1506","0.0588235"
"W08-1506","W06-3702","0.0588235"
"W06-3702","W08-1702","0.0588235"
"W08-1702","W06-3702","0.0588235"
"W06-3702","W09-2607","0.0588235"
"W09-2607","W06-3702","0.0588235"
"W06-3707","W07-0806","0.201681"
"W07-0806","W06-3707","0.201681"
"W06-3707","W07-1806","0.201681"
"W07-1806","W06-3707","0.201681"
"W06-3707","W07-1807","0.0588235"
"W07-1807","W06-3707","0.0588235"
"W06-3707","W08-1506","0.0588235"
"W08-1506","W06-3707","0.0588235"
"W06-3707","W08-1702","0.0588235"
"W08-1702","W06-3707","0.0588235"
"W06-3707","W09-2607","0.0588235"
"W09-2607","W06-3707","0.0588235"
"W07-0806","W07-1806","0.368347"
"W07-1806","W07-0806","0.368347"
"W07-0806","W07-1807","0.0588235"
"W07-1807","W07-0806","0.0588235"
"W07-0806","W08-1506","0.22549"
"W08-1506","W07-0806","0.22549"
"W07-0806","W08-1702","0.0588235"
"W08-1702","W07-0806","0.0588235"
"W07-0806","W09-2607","0.22549"
"W09-2607","W07-0806","0.22549"
"W07-1806","W07-1807","0.392157"
"W07-1807","W07-1806","0.392157"
"W07-1806","W08-1506","0.22549"
"W08-1506","W07-1806","0.22549"
"W07-1806","W08-1702","0.392157"
"W08-1702","W07-1806","0.392157"
"W07-1806","W09-2607","0.22549"
"W09-2607","W07-1806","0.22549"
"W07-1807","W08-1506","0.0588235"
"W08-1506","W07-1807","0.0588235"
"W07-1807","W08-1702","0.392157"
"W08-1702","W07-1807","0.392157"
"W07-1807","W09-2607","0.0588235"
"W09-2607","W07-1807","0.0588235"
"W08-1506","W08-1702","2.39216"
"W08-1702","W08-1506","2.39216"
"W08-1506","W09-2607","0.22549"
"W09-2607","W08-1506","0.22549"
"W08-1702","W09-2607","0.0588235"
"W09-2607","W08-1702","0.0588235"
"2006.jeptalnrecital-long.6","2007.jeptalnrecital-poster.5","0.333333"
"2007.jeptalnrecital-poster.5","2006.jeptalnrecital-long.6","0.333333"
"2006.jeptalnrecital-long.6","bouillon-etal-2008-developing","0.333333"
"bouillon-etal-2008-developing","2006.jeptalnrecital-long.6","0.333333"
"2006.jeptalnrecital-long.6","W06-3707","0.333333"
"W06-3707","2006.jeptalnrecital-long.6","0.333333"
"2007.jeptalnrecital-poster.5","bouillon-etal-2008-developing","0.47619"
"bouillon-etal-2008-developing","2007.jeptalnrecital-poster.5","0.47619"
"2007.jeptalnrecital-poster.5","W06-3707","0.47619"
"W06-3707","2007.jeptalnrecital-poster.5","0.47619"
"2007.jeptalnrecital-poster.5","2008.eamt-1.24","1.14286"
"2008.eamt-1.24","2007.jeptalnrecital-poster.5","1.14286"
"2007.jeptalnrecital-poster.5","W07-0806","1.14286"
"W07-0806","2007.jeptalnrecital-poster.5","1.14286"
"2007.jeptalnrecital-poster.5","tsourakis-etal-2008-building","0.142857"
"tsourakis-etal-2008-building","2007.jeptalnrecital-poster.5","0.142857"
"2007.jeptalnrecital-poster.5","W06-3702","0.142857"
"W06-3702","2007.jeptalnrecital-poster.5","0.142857"
"2007.jeptalnrecital-poster.5","W07-1806","0.142857"
"W07-1806","2007.jeptalnrecital-poster.5","0.142857"
"2008.eamt-1.24","2020.eamt-1.30","1"
"2020.eamt-1.30","2008.eamt-1.24","1"
"2011.freeopmt-1.5","2012.amta-papers.25","0.333333"
