"2020.acl-main.578","D19-1023","3"
"2020.findings-emnlp.350","2021.findings-acl.432","0.125"
"2021.findings-acl.432","2020.findings-emnlp.350","0.125"
"2020.findings-emnlp.350","2021.findings-emnlp.111","0.625"
"2021.findings-emnlp.111","2020.findings-emnlp.350","0.625"
"2020.findings-emnlp.350","2021.naacl-main.134","1.25"
"2021.naacl-main.134","2020.findings-emnlp.350","1.25"
"2020.findings-emnlp.350","D17-1233","0.125"
"D17-1233","2020.findings-emnlp.350","0.125"
"2020.findings-emnlp.350","D18-1423","0.125"
"D18-1423","2020.findings-emnlp.350","0.125"
"2020.findings-emnlp.350","D19-1201","0.125"
"D19-1201","2020.findings-emnlp.350","0.125"
"2020.findings-emnlp.350","D19-1499","0.125"
"D19-1499","2020.findings-emnlp.350","0.125"
"2021.findings-acl.432","2021.findings-emnlp.111","1.43452"
"2021.findings-emnlp.111","2021.findings-acl.432","1.43452"
"2021.findings-acl.432","2021.naacl-main.134","0.125"
"2021.naacl-main.134","2021.findings-acl.432","0.125"
"2021.findings-acl.432","D17-1233","0.125"
"D17-1233","2021.findings-acl.432","0.125"
"2021.findings-acl.432","D18-1423","0.267857"
"D18-1423","2021.findings-acl.432","0.267857"
"2021.findings-acl.432","D19-1201","1.43452"
"D19-1201","2021.findings-acl.432","1.43452"
"2021.findings-acl.432","D19-1499","0.125"
"D19-1499","2021.findings-acl.432","0.125"
"2021.findings-emnlp.111","2021.naacl-main.134","0.125"
"2021.naacl-main.134","2021.findings-emnlp.111","0.125"
"2021.findings-emnlp.111","D17-1233","0.783333"
"D17-1233","2021.findings-emnlp.111","0.783333"
"2021.findings-emnlp.111","D18-1423","0.267857"
"D18-1423","2021.findings-emnlp.111","0.267857"
"2021.findings-emnlp.111","D19-1201","0.767857"
"D19-1201","2021.findings-emnlp.111","0.767857"
"2021.findings-emnlp.111","D19-1499","0.125"
"D19-1499","2021.findings-emnlp.111","0.125"
"2021.naacl-main.134","D17-1233","0.125"
"D17-1233","2021.naacl-main.134","0.125"
"2021.naacl-main.134","D18-1423","0.125"
"D18-1423","2021.naacl-main.134","0.125"
"2021.naacl-main.134","D19-1201","0.125"
"D19-1201","2021.naacl-main.134","0.125"
"2021.naacl-main.134","D19-1499","0.125"
"D19-1499","2021.naacl-main.134","0.125"
"D17-1233","D19-1201","0.458333"
"D19-1201","D17-1233","0.458333"
"D17-1233","D19-1499","0.125"
"D19-1499","D17-1233","0.125"
"D18-1423","D19-1201","0.267857"
"D19-1201","D18-1423","0.267857"
"D18-1423","D19-1499","0.125"
"D19-1499","D18-1423","0.125"
"D19-1201","D19-1499","0.125"
"D19-1499","D19-1201","0.125"
"2020.ccl-1.83","D18-1442","0.5"
"D18-1442","2020.ccl-1.83","0.5"
"2020.ccl-1.83","D19-1388","0.5"
"D19-1388","2020.ccl-1.83","0.5"
"D18-1442","D19-1388","1.95833"
"D19-1388","D18-1442","1.95833"
"2020.ccl-1.83","2020.emnlp-main.272","0.142857"
"2020.emnlp-main.272","2020.ccl-1.83","0.142857"
"2020.ccl-1.83","P19-1001","0.142857"
"P19-1001","2020.ccl-1.83","0.142857"
"2020.emnlp-main.272","2021.findings-acl.432","0.809524"
"2021.findings-acl.432","2020.emnlp-main.272","0.809524"
"2020.emnlp-main.272","2021.findings-emnlp.111","0.434524"
"2021.findings-emnlp.111","2020.emnlp-main.272","0.434524"
"2020.emnlp-main.272","D18-1423","0.142857"
"D18-1423","2020.emnlp-main.272","0.142857"
"2020.emnlp-main.272","D19-1201","0.309524"
"D19-1201","2020.emnlp-main.272","0.309524"
"2020.emnlp-main.272","P19-1001","0.434524"
"P19-1001","2020.emnlp-main.272","0.434524"
"2020.emnlp-main.272","P19-1372","0.434524"
"P19-1372","2020.emnlp-main.272","0.434524"
"2021.findings-acl.432","P19-1001","0.309524"
"P19-1001","2021.findings-acl.432","0.309524"
"2021.findings-acl.432","P19-1372","0.309524"
"P19-1372","2021.findings-acl.432","0.309524"
"2021.findings-emnlp.111","P19-1001","0.634524"
"P19-1001","2021.findings-emnlp.111","0.634524"
"2021.findings-emnlp.111","P19-1372","0.434524"
"P19-1372","2021.findings-emnlp.111","0.434524"
"D18-1423","P19-1001","0.97619"
"P19-1001","D18-1423","0.97619"
"D19-1201","P19-1001","0.642857"
"P19-1001","D19-1201","0.642857"
"D19-1201","P19-1372","0.309524"
"P19-1372","D19-1201","0.309524"
"P19-1001","P19-1372","0.434524"
"P19-1372","P19-1001","0.434524"
"2020.ccl-1.88","2021.findings-emnlp.255","0.5"
"2021.findings-emnlp.255","2020.ccl-1.88","0.5"
"2020.ccl-1.88","P14-1077","1"
"P14-1077","2020.ccl-1.88","1"
"2020.coling-main.290","D17-1289","0.5"
"D17-1289","2020.coling-main.290","0.5"
"2020.coling-main.290","D19-1499","0.5"
"D19-1499","2020.coling-main.290","0.5"
"D17-1289","D19-1499","0.5"
"D19-1499","D17-1289","0.5"
"2020.emnlp-main.272","2021.findings-emnlp.255","0.5"
"2021.findings-emnlp.255","2020.emnlp-main.272","0.5"
"2021.findings-acl.432","2021.findings-emnlp.255","0.5"
"2021.findings-emnlp.255","2021.findings-acl.432","0.5"
"2020.emnlp-main.272","D17-1233","0.125"
"D17-1233","2020.emnlp-main.272","0.125"
"2020.emnlp-main.272","D19-1199","0.125"
"D19-1199","2020.emnlp-main.272","0.125"
"2020.emnlp-main.272","I17-2029","0.125"
"I17-2029","2020.emnlp-main.272","0.125"
"2020.emnlp-main.272","P17-2036","0.125"
"P17-2036","2020.emnlp-main.272","0.125"
"2020.emnlp-main.272","P19-1370","0.291667"
"P19-1370","2020.emnlp-main.272","0.291667"
"2021.findings-emnlp.111","D19-1199","0.625"
"D19-1199","2021.findings-emnlp.111","0.625"
"2021.findings-emnlp.111","I17-2029","0.325"
"I17-2029","2021.findings-emnlp.111","0.325"
"2021.findings-emnlp.111","P17-2036","0.658333"
"P17-2036","2021.findings-emnlp.111","0.658333"
"2021.findings-emnlp.111","P19-1370","0.491667"
"P19-1370","2021.findings-emnlp.111","0.491667"
"D17-1233","I17-2029","0.325"
"I17-2029","D17-1233","0.325"
"D17-1233","P17-2036","1.65833"
"P17-2036","D17-1233","1.65833"
"D17-1233","P19-1001","0.658333"
"P19-1001","D17-1233","0.658333"
"D17-1233","P19-1370","0.658333"
"P19-1370","D17-1233","0.658333"
"D19-1199","I17-2029","0.125"
"I17-2029","D19-1199","0.125"
"D19-1199","P17-2036","0.125"
"P17-2036","D19-1199","0.125"
"D19-1199","P19-1001","2.29167"
"P19-1001","D19-1199","2.29167"
"D19-1199","P19-1370","1.125"
"P19-1370","D19-1199","1.125"
"I17-2029","P17-2036","0.325"
"P17-2036","I17-2029","0.325"
"I17-2029","P19-1001","0.325"
"P19-1001","I17-2029","0.325"
"I17-2029","P19-1370","0.325"
"P19-1370","I17-2029","0.325"
"I17-2029","P19-1372","0.125"
"P19-1372","I17-2029","0.125"
"P17-2036","P19-1001","0.325"
"P19-1001","P17-2036","0.325"
"P17-2036","P19-1370","0.325"
"P19-1370","P17-2036","0.325"
"P17-2036","P19-1372","1.125"
"P19-1372","P17-2036","1.125"
"P19-1001","P19-1370","3.575"
"P19-1370","P19-1001","3.575"
"P19-1370","P19-1372","0.291667"
"P19-1372","P19-1370","0.291667"
"2021.findings-acl.432","P19-1370","0.166667"
"P19-1370","2021.findings-acl.432","0.166667"
"D19-1201","P19-1370","0.5"
"P19-1370","D19-1201","0.5"
"2020.emnlp-main.313","2020.emnlp-main.752","0.791667"
"2020.emnlp-main.752","2020.emnlp-main.313","0.791667"
"2020.emnlp-main.313","2021.findings-acl.419","0.958333"
"2021.findings-acl.419","2020.emnlp-main.313","0.958333"
"2020.emnlp-main.313","2021.findings-acl.432","1.83333"
"2021.findings-acl.432","2020.emnlp-main.313","1.83333"
"2020.emnlp-main.752","2021.findings-acl.419","2.875"
"2021.findings-acl.419","2020.emnlp-main.752","2.875"
"2020.emnlp-main.752","2021.findings-acl.432","0.333333"
"2021.findings-acl.432","2020.emnlp-main.752","0.333333"
"2021.findings-acl.419","2021.findings-acl.432","1.83333"
"2021.findings-acl.432","2021.findings-acl.419","1.83333"
"2020.emnlp-main.313","2020.findings-emnlp.350","0.625"
"2020.findings-emnlp.350","2020.emnlp-main.313","0.625"
"2020.emnlp-main.313","D19-1265","0.5"
"D19-1265","2020.emnlp-main.313","0.5"
"2020.findings-emnlp.350","D19-1265","0.5"
"D19-1265","2020.findings-emnlp.350","0.5"
"2020.emnlp-main.313","D19-1201","1"
"D19-1201","2020.emnlp-main.313","1"
"2020.emnlp-main.313","2021.acl-long.473","0.125"
"2021.acl-long.473","2020.emnlp-main.313","0.125"
"2020.emnlp-main.313","2021.naacl-main.134","0.125"
"2021.naacl-main.134","2020.emnlp-main.313","0.125"
"2020.emnlp-main.313","D18-1442","0.125"
"D18-1442","2020.emnlp-main.313","0.125"
"2020.emnlp-main.313","D19-1388","0.125"
"D19-1388","2020.emnlp-main.313","0.125"
"2020.emnlp-main.752","2020.findings-emnlp.350","0.125"
"2020.findings-emnlp.350","2020.emnlp-main.752","0.125"
"2020.emnlp-main.752","2021.acl-long.473","3.20833"
"2021.acl-long.473","2020.emnlp-main.752","3.20833"
"2020.emnlp-main.752","2021.naacl-main.134","0.125"
"2021.naacl-main.134","2020.emnlp-main.752","0.125"
"2020.emnlp-main.752","D18-1442","0.458333"
"D18-1442","2020.emnlp-main.752","0.458333"
"2020.emnlp-main.752","D19-1388","1.04167"
"D19-1388","2020.emnlp-main.752","1.04167"
"2020.emnlp-main.752","D19-1501","0.625"
"D19-1501","2020.emnlp-main.752","0.625"
"2020.findings-emnlp.350","2021.acl-long.473","0.125"
"2021.acl-long.473","2020.findings-emnlp.350","0.125"
"2020.findings-emnlp.350","2021.findings-acl.419","0.125"
"2021.findings-acl.419","2020.findings-emnlp.350","0.125"
"2020.findings-emnlp.350","D18-1442","0.125"
"D18-1442","2020.findings-emnlp.350","0.125"
"2020.findings-emnlp.350","D19-1388","0.125"
"D19-1388","2020.findings-emnlp.350","0.125"
"2020.findings-emnlp.350","D19-1501","0.125"
"D19-1501","2020.findings-emnlp.350","0.125"
"2021.acl-long.473","2021.findings-acl.419","2.20833"
"2021.findings-acl.419","2021.acl-long.473","2.20833"
"2021.acl-long.473","2021.naacl-main.134","0.125"
"2021.naacl-main.134","2021.acl-long.473","0.125"
"2021.acl-long.473","D18-1442","0.125"
"D18-1442","2021.acl-long.473","0.125"
"2021.acl-long.473","D19-1388","1.70833"
"D19-1388","2021.acl-long.473","1.70833"
"2021.acl-long.473","D19-1501","0.375"
"D19-1501","2021.acl-long.473","0.375"
"2021.findings-acl.419","2021.naacl-main.134","0.125"
"2021.naacl-main.134","2021.findings-acl.419","0.125"
"2021.findings-acl.419","D18-1442","1.45833"
"D18-1442","2021.findings-acl.419","1.45833"
"2021.findings-acl.419","D19-1388","4.04167"
"D19-1388","2021.findings-acl.419","4.04167"
"2021.findings-acl.419","D19-1501","0.375"
"D19-1501","2021.findings-acl.419","0.375"
"2021.naacl-main.134","D18-1442","0.125"
"D18-1442","2021.naacl-main.134","0.125"
"2021.naacl-main.134","D19-1388","0.125"
"D19-1388","2021.naacl-main.134","0.125"
"2021.naacl-main.134","D19-1501","0.125"
"D19-1501","2021.naacl-main.134","0.125"
"D18-1442","D19-1501","0.125"
"D19-1501","D18-1442","0.125"
"D19-1388","D19-1501","0.375"
"D19-1501","D19-1388","0.375"
"2020.emnlp-main.313","D19-1199","0.333333"
"D19-1199","2020.emnlp-main.313","0.333333"
"2020.emnlp-main.313","P19-1370","0.333333"
"P19-1370","2020.emnlp-main.313","0.333333"
"2020.emnlp-main.752","D19-1199","0.333333"
"D19-1199","2020.emnlp-main.752","0.333333"
"2020.emnlp-main.752","P19-1370","0.583333"
"P19-1370","2020.emnlp-main.752","0.583333"
"2020.emnlp-main.591","P16-1220","0.5"
"P16-1220","2020.emnlp-main.591","0.5"
"2020.emnlp-main.591","P18-2070","0.5"
"P18-2070","2020.emnlp-main.591","0.5"
"P16-1220","P18-2070","0.5"
"P18-2070","P16-1220","0.5"
"2020.emnlp-main.752","D19-1128","0.25"
"D19-1128","2020.emnlp-main.752","0.25"
"2020.emnlp-main.752","P19-1001","0.25"
"P19-1001","2020.emnlp-main.752","0.25"
"D19-1128","D19-1501","0.25"
"D19-1501","D19-1128","0.25"
"D19-1128","P19-1001","2.75"
"P19-1001","D19-1128","2.75"
"D19-1128","P19-1370","2.75"
"P19-1370","D19-1128","2.75"
"D19-1501","P19-1001","0.25"
"P19-1001","D19-1501","0.25"
"D19-1501","P19-1370","0.25"
"P19-1370","D19-1501","0.25"
"2020.findings-emnlp.350","D19-1199","0.5"
"D19-1199","2020.findings-emnlp.350","0.5"
"2021.acl-long.433","D18-1380","1.11111"
"D18-1380","2021.acl-long.433","1.11111"
"2021.acl-long.433","2021.acl-short.126","0.111111"
"2021.acl-short.126","2021.acl-long.433","0.111111"
"2021.acl-long.433","2021.findings-acl.85","0.111111"
"2021.findings-acl.85","2021.acl-long.433","0.111111"
"2021.acl-long.433","D18-1442","0.111111"
"D18-1442","2021.acl-long.433","0.111111"
"2021.acl-long.433","D19-1199","0.111111"
"D19-1199","2021.acl-long.433","0.111111"
"2021.acl-long.433","D19-1499","0.111111"
"D19-1499","2021.acl-long.433","0.111111"
"2021.acl-long.433","P17-1040","0.111111"
"P17-1040","2021.acl-long.433","0.111111"
"2021.acl-long.433","P18-1194","0.111111"
"P18-1194","2021.acl-long.433","0.111111"
"2021.acl-long.433","P19-1372","0.111111"
"P19-1372","2021.acl-long.433","0.111111"
"2021.acl-short.126","2021.findings-acl.85","0.111111"
"2021.findings-acl.85","2021.acl-short.126","0.111111"
"2021.acl-short.126","D18-1380","0.111111"
"D18-1380","2021.acl-short.126","0.111111"
"2021.acl-short.126","D18-1442","0.111111"
"D18-1442","2021.acl-short.126","0.111111"
"2021.acl-short.126","D19-1199","0.111111"
"D19-1199","2021.acl-short.126","0.111111"
"2021.acl-short.126","D19-1499","0.111111"
"D19-1499","2021.acl-short.126","0.111111"
"2021.acl-short.126","P17-1040","1.11111"
"P17-1040","2021.acl-short.126","1.11111"
"2021.acl-short.126","P18-1194","0.111111"
"P18-1194","2021.acl-short.126","0.111111"
"2021.acl-short.126","P19-1372","0.111111"
"P19-1372","2021.acl-short.126","0.111111"
"2021.findings-acl.85","D18-1380","0.111111"
"D18-1380","2021.findings-acl.85","0.111111"
"2021.findings-acl.85","D18-1442","0.111111"
"D18-1442","2021.findings-acl.85","0.111111"
"2021.findings-acl.85","D19-1199","0.111111"
"D19-1199","2021.findings-acl.85","0.111111"
"2021.findings-acl.85","D19-1499","0.111111"
"D19-1499","2021.findings-acl.85","0.111111"
"2021.findings-acl.85","P17-1040","0.111111"
"P17-1040","2021.findings-acl.85","0.111111"
"2021.findings-acl.85","P18-1194","0.111111"
"P18-1194","2021.findings-acl.85","0.111111"
"2021.findings-acl.85","P19-1372","0.111111"
"P19-1372","2021.findings-acl.85","0.111111"
"D18-1380","D18-1442","0.111111"
"D18-1442","D18-1380","0.111111"
"D18-1380","D19-1199","0.111111"
"D19-1199","D18-1380","0.111111"
"D18-1380","D19-1499","0.111111"
"D19-1499","D18-1380","0.111111"
"D18-1380","P17-1040","0.111111"
"P17-1040","D18-1380","0.111111"
"D18-1380","P18-1194","0.111111"
"P18-1194","D18-1380","0.111111"
"D18-1380","P19-1372","0.111111"
"P19-1372","D18-1380","0.111111"
"D18-1442","D19-1199","0.111111"
"D19-1199","D18-1442","0.111111"
"D18-1442","D19-1499","0.111111"
"D19-1499","D18-1442","0.111111"
"D18-1442","P17-1040","0.111111"
"P17-1040","D18-1442","0.111111"
"D18-1442","P18-1194","0.111111"
"P18-1194","D18-1442","0.111111"
"D18-1442","P19-1372","0.111111"
"P19-1372","D18-1442","0.111111"
"D19-1199","D19-1499","0.111111"
"D19-1499","D19-1199","0.111111"
"D19-1199","P17-1040","0.111111"
"P17-1040","D19-1199","0.111111"
"D19-1199","P18-1194","0.111111"
"P18-1194","D19-1199","0.111111"
"D19-1499","P17-1040","0.111111"
"P17-1040","D19-1499","0.111111"
"D19-1499","P18-1194","0.111111"
"P18-1194","D19-1499","0.111111"
"D19-1499","P19-1372","0.111111"
"P19-1372","D19-1499","0.111111"
"P17-1040","P18-1194","0.111111"
"P18-1194","P17-1040","0.111111"
"P17-1040","P19-1372","0.111111"
"P19-1372","P17-1040","0.111111"
"P18-1194","P19-1372","0.111111"
"P19-1372","P18-1194","0.111111"
"2021.acl-short.126","D19-1023","1"
"D19-1023","2021.acl-short.126","1"
"2021.findings-acl.432","P17-2036","1"
"P17-2036","2021.findings-acl.432","1"
"D19-1201","P17-2036","0.333333"
"P17-2036","D19-1201","0.333333"
"C16-1226","P16-1220","21.3333"
"P16-1220","C16-1226","21.3333"
"C16-1226","P15-2037","0.5"
"P15-2037","C16-1226","0.5"
"P15-2037","P16-1220","1.66667"
"P16-1220","P15-2037","1.66667"
"C16-1226","D14-1205","1.33333"
"D14-1205","C16-1226","1.33333"
"C16-1226","D15-1062","1"
"D15-1062","C16-1226","1"
"D14-1205","D15-1062","0.5"
"D15-1062","D14-1205","0.5"
"C16-1226","P14-1077","0.833333"
"P14-1077","C16-1226","0.833333"
"D14-1205","P14-1077","3.33333"
"P14-1077","D14-1205","3.33333"
"D14-1205","P16-1220","1.83333"
"P16-1220","D14-1205","1.83333"
"P14-1077","P16-1220","0.833333"
"P16-1220","P14-1077","0.833333"
"D15-1062","P16-1220","0.5"
"P16-1220","D15-1062","0.5"
"D14-1205","P17-1040","1"
"P17-1040","D14-1205","1"
"P14-1077","P17-1040","2"
"P17-1040","P14-1077","2"
"P16-1220","P17-1040","0.5"
"P17-1040","P16-1220","0.5"
"D14-1205","W12-3312","0.666667"
"W12-3312","D14-1205","0.666667"
"P14-1077","W12-3312","0.666667"
"W12-3312","P14-1077","0.666667"
"D14-1205","D19-1265","0.166667"
"D19-1265","D14-1205","0.166667"
"D14-1205","P15-2037","0.166667"
"P15-2037","D14-1205","0.166667"
"D19-1265","P14-1077","0.166667"
"P14-1077","D19-1265","0.166667"
"D19-1265","P15-2037","0.166667"
"P15-2037","D19-1265","0.166667"
"D19-1265","P16-1220","0.166667"
"P16-1220","D19-1265","0.166667"
"D19-1265","P17-1040","1.16667"
"P17-1040","D19-1265","1.16667"
"D19-1265","W12-3312","0.166667"
"W12-3312","D19-1265","0.166667"
"P14-1077","P15-2037","0.166667"
"P15-2037","P14-1077","0.166667"
"P15-2037","P17-1040","0.166667"
"P17-1040","P15-2037","0.166667"
"P15-2037","W12-3312","0.166667"
"W12-3312","P15-2037","0.166667"
"P16-1220","W12-3312","0.166667"
"W12-3312","P16-1220","0.166667"
"P17-1040","W12-3312","0.166667"
"W12-3312","P17-1040","0.166667"
"D17-1233","D19-1128","0.333333"
"D19-1128","D17-1233","0.333333"
"D18-1423","D19-1128","0.333333"
"D19-1128","D18-1423","0.333333"
"D18-1423","P19-1370","0.333333"
"P19-1370","D18-1423","0.333333"
"D18-1423","D18-1442","1"
"D18-1442","D18-1423","1"
"D19-1128","D19-1201","1"
"D19-1201","D19-1128","1"
"D19-1128","P16-1220","1"
"P16-1220","D19-1128","1"
"D19-1128","D19-1199","0.333333"
"D19-1199","D19-1128","0.333333"
"D19-1199","D19-1201","0.333333"
"D19-1201","D19-1199","0.333333"
