"2020.coling-demos.4","2020.coling-main.317","1"
"S12-1090","S10-1099","0.0769231"
"S10-1099","S13-1015","0.0769231"
"S13-1015","S10-1099","0.0769231"
"S10-1099","S13-2042","0.0769231"
"S13-2042","S10-1099","0.0769231"
"S10-1099","S13-2073","0.0769231"
"S13-2073","S10-1099","0.0769231"
"S10-1099","S14-2137","0.0769231"
"S14-2137","S10-1099","0.0769231"
"S10-1099","W09-4304","0.201923"
"W09-4304","S10-1099","0.201923"
"S10-1099","W10-1801","0.737637"
"W10-1801","S10-1099","0.737637"
"S10-1099","W11-1722","0.201923"
"W11-1722","S10-1099","0.201923"
"S10-1099","W13-1613","2.73764"
"W13-1613","S10-1099","2.73764"
"S10-1099","Y09-2019","0.451923"
"Y09-2019","S10-1099","0.451923"
"S12-1090","S13-1015","1.47692"
"S13-1015","S12-1090","1.47692"
"S12-1090","S13-2042","1.77692"
"S13-2042","S12-1090","1.77692"
"S12-1090","S13-2073","0.276923"
"S13-2073","S12-1090","0.276923"
"S12-1090","S14-2137","0.0769231"
"S14-2137","S12-1090","0.0769231"
"S12-1090","W09-4304","0.0769231"
"W09-4304","S12-1090","0.0769231"
"S12-1090","W10-1801","0.0769231"
"W10-1801","S12-1090","0.0769231"
"S12-1090","W11-1722","0.0769231"
"W11-1722","S12-1090","0.0769231"
"S12-1090","W13-1613","0.276923"
"W13-1613","S12-1090","0.276923"
"S12-1090","Y09-2019","0.0769231"
"Y09-2019","S12-1090","0.0769231"
"S13-1015","S13-2042","0.276923"
"S13-2042","S13-1015","0.276923"
"S13-1015","S13-2073","0.276923"
"S13-2073","S13-1015","0.276923"
"S13-1015","S14-2137","0.0769231"
"S14-2137","S13-1015","0.0769231"
"S13-1015","W09-4304","0.0769231"
"W09-4304","S13-1015","0.0769231"
"S13-1015","W10-1801","0.0769231"
"W10-1801","S13-1015","0.0769231"
"S13-1015","W11-1722","0.0769231"
"W11-1722","S13-1015","0.0769231"
"S13-1015","W13-1613","0.276923"
"W13-1613","S13-1015","0.276923"
"S13-1015","Y09-2019","0.0769231"
"Y09-2019","S13-1015","0.0769231"
"S13-2042","S13-2073","0.410256"
"S13-2073","S13-2042","0.410256"
"S13-2042","S14-2137","0.0769231"
"S14-2137","S13-2042","0.0769231"
"S13-2042","W09-4304","0.0769231"
"W09-4304","S13-2042","0.0769231"
"S13-2042","W10-1801","0.0769231"
"W10-1801","S13-2042","0.0769231"
"S13-2042","W11-1722","0.0769231"
"W11-1722","S13-2042","0.0769231"
"S13-2042","W13-1613","0.410256"
"W13-1613","S13-2042","0.410256"
"S13-2042","Y09-2019","0.0769231"
"Y09-2019","S13-2042","0.0769231"
"S13-2073","S14-2137","0.576923"
"S14-2137","S13-2073","0.576923"
"S13-2073","W09-4304","0.0769231"
"W09-4304","S13-2073","0.0769231"
"S13-2073","W10-1801","0.410256"
"W10-1801","S13-2073","0.410256"
"S13-2073","W11-1722","0.0769231"
"W11-1722","S13-2073","0.0769231"
"S13-2073","W13-1613","1.27692"
"W13-1613","S13-2073","1.27692"
"S13-2073","Y09-2019","0.0769231"
"Y09-2019","S13-2073","0.0769231"
"S14-2137","W09-4304","0.0769231"
"W09-4304","S14-2137","0.0769231"
"S14-2137","W10-1801","0.0769231"
"W10-1801","S14-2137","0.0769231"
"S14-2137","W11-1722","0.0769231"
"W11-1722","S14-2137","0.0769231"
"S14-2137","W13-1613","0.0769231"
"W13-1613","S14-2137","0.0769231"
"S14-2137","Y09-2019","0.0769231"
"Y09-2019","S14-2137","0.0769231"
"W09-4304","W10-1801","0.201923"
"W10-1801","W09-4304","0.201923"
"W09-4304","W11-1722","0.201923"
"W11-1722","W09-4304","0.201923"
"W09-4304","W13-1613","0.201923"
"W13-1613","W09-4304","0.201923"
"W09-4304","Y09-2019","0.201923"
"Y09-2019","W09-4304","0.201923"
"W10-1801","W11-1722","0.201923"
"W11-1722","W10-1801","0.201923"
"W10-1801","W13-1613","1.07097"
"W13-1613","W10-1801","1.07097"
"W10-1801","Y09-2019","0.951923"
"Y09-2019","W10-1801","0.951923"
"W11-1722","W13-1613","0.201923"
"W13-1613","W11-1722","0.201923"
"W11-1722","Y09-2019","1.20192"
"Y09-2019","W11-1722","1.20192"
"W13-1613","Y09-2019","0.451923"
"Y09-2019","W13-1613","0.451923"
"C10-2004","P09-2040","0.666667"
"P09-2040","C10-2004","0.666667"
"C10-2004","R09-1004","0.666667"
"R09-1004","C10-2004","0.666667"
"P09-2040","R09-1004","0.666667"
"R09-1004","P09-2040","0.666667"
"C10-2004","S07-1072","0.166667"
"S07-1072","C10-2004","0.166667"
"C10-2004","S14-2129","0.166667"
"S14-2129","C10-2004","0.166667"
"C10-2004","W10-3111","0.166667"
"W10-3111","C10-2004","0.166667"
"P09-2040","S07-1072","0.166667"
"S07-1072","P09-2040","0.166667"
"P09-2040","S10-1099","0.166667"
"S10-1099","P09-2040","0.166667"
"P09-2040","S14-2129","0.166667"
"S14-2129","P09-2040","0.166667"
"P09-2040","W10-3111","0.166667"
"W10-3111","P09-2040","0.166667"
"R09-1004","S07-1072","0.166667"
"S07-1072","R09-1004","0.166667"
"R09-1004","S10-1099","0.166667"
"S10-1099","R09-1004","0.166667"
"R09-1004","S14-2129","0.166667"
"S14-2129","R09-1004","0.166667"
"R09-1004","W10-3111","0.166667"
"W10-3111","R09-1004","0.166667"
"S07-1072","S10-1099","0.309524"
"S10-1099","S07-1072","0.309524"
"S07-1072","S14-2129","0.642857"
"S14-2129","S07-1072","0.642857"
"S07-1072","W10-3111","0.166667"
"W10-3111","S07-1072","0.166667"
"S10-1099","S14-2129","0.434524"
"S14-2129","S10-1099","0.434524"
"S10-1099","W10-3111","0.559524"
"W10-3111","S10-1099","0.559524"
"S14-2129","W10-3111","0.166667"
"W10-3111","S14-2129","0.166667"
"N09-3013","S13-2083","0.285714"
"S13-2083","N09-3013","0.285714"
"N09-3013","S14-2130","0.285714"
"S14-2130","N09-3013","0.285714"
"N09-3013","W10-3111","0.142857"
"W10-3111","N09-3013","0.142857"
"N09-3013","W11-1707","0.642857"
"W11-1707","N09-3013","0.642857"
"S10-1099","S13-2083","0.410714"
"S13-2083","S10-1099","0.410714"
"S10-1099","S14-2130","0.285714"
"S14-2130","S10-1099","0.285714"
"S10-1099","W11-1707","0.142857"
"W11-1707","S10-1099","0.142857"
"S13-2083","S14-2130","0.285714"
"S14-2130","S13-2083","0.285714"
"S13-2083","W10-1801","0.410714"
"W10-1801","S13-2083","0.410714"
"S13-2083","W10-3111","0.142857"
"W10-3111","S13-2083","0.142857"
"S13-2083","W11-1707","0.142857"
"W11-1707","S13-2083","0.142857"
"S13-2083","W13-1613","0.410714"
"W13-1613","S13-2083","0.410714"
"S14-2130","W10-1801","0.285714"
"W10-1801","S14-2130","0.285714"
"S14-2130","W10-3111","0.142857"
"W10-3111","S14-2130","0.142857"
"S14-2130","W11-1707","0.142857"
"W11-1707","S14-2130","0.142857"
"S14-2130","W13-1613","0.285714"
"W13-1613","S14-2130","0.285714"
"W10-1801","W10-3111","1.39286"
"W10-3111","W10-1801","1.39286"
"W10-1801","W11-1707","1.64286"
"W11-1707","W10-1801","1.64286"
"W10-3111","W11-1707","0.142857"
"W11-1707","W10-3111","0.142857"
"W10-3111","W13-1613","0.392857"
"W13-1613","W10-3111","0.392857"
"W11-1707","W13-1613","0.142857"
"W13-1613","W11-1707","0.142857"
"N09-3013","S07-1072","0.142857"
"S07-1072","N09-3013","0.142857"
"N09-3013","S14-2129","0.142857"
"S14-2129","N09-3013","0.142857"
"S07-1072","S13-2083","0.47619"
"S13-2083","S07-1072","0.47619"
"S07-1072","S14-2130","0.142857"
"S14-2130","S07-1072","0.142857"
"S07-1072","W10-1801","0.142857"
"W10-1801","S07-1072","0.142857"
"S07-1072","W13-1613","0.47619"
"W13-1613","S07-1072","0.47619"
"S13-2083","S14-2129","0.60119"
"S14-2129","S13-2083","0.60119"
"S14-2129","S14-2130","0.642857"
"S14-2130","S14-2129","0.642857"
"S14-2129","W10-1801","0.267857"
"W10-1801","S14-2129","0.267857"
"S14-2129","W13-1613","0.467857"
"W13-1613","S14-2129","0.467857"
"nica-etal-2004-enriching","S01-1032","1"
"S01-1032","nica-etal-2004-enriching","1"
"R11-1032","W04-0859","0.25"
"W04-0859","R11-1032","0.25"
"R11-1032","W04-0860","0.25"
"W04-0860","R11-1032","0.25"
"R11-1032","W11-1718","1.45"
"W11-1718","R11-1032","1.45"
"S13-2042","W04-0859","0.25"
"W04-0859","S13-2042","0.25"
"S13-2042","W04-0860","0.25"
"W04-0860","S13-2042","0.25"
"S13-2042","W11-1718","0.45"
"W11-1718","S13-2042","0.45"
"W04-0859","W04-0860","4.25"
"W04-0860","W04-0859","4.25"
"W04-0859","W11-1718","0.25"
"W11-1718","W04-0859","0.25"
"W04-0860","W11-1718","0.25"
"W11-1718","W04-0860","0.25"
"R11-1032","S13-2016","0.2"
"S13-2016","R11-1032","0.2"
"S12-1090","S13-2016","0.7"
"S13-2016","S12-1090","0.7"
"S12-1090","W11-1718","0.2"
"W11-1718","S12-1090","0.2"
"S13-1015","S13-2016","0.2"
"S13-2016","S13-1015","0.2"
"S13-1015","W11-1718","0.2"
"W11-1718","S13-1015","0.2"
"S13-2016","S13-2042","0.7"
"S13-2042","S13-2016","0.7"
"S13-2016","W11-1718","0.2"
"W11-1718","S13-2016","0.2"
"R11-1032","S14-2129","0.2"
"S14-2129","R11-1032","0.2"
"S12-1090","S14-2129","0.2"
"S14-2129","S12-1090","0.2"
"S13-1015","S14-2129","0.2"
"S14-2129","S13-1015","0.2"
"S13-2073","S14-2129","0.2"
"S14-2129","S13-2073","0.2"
"R19-1105","W10-3111","0.5"
"W10-3111","R19-1105","0.5"
"R19-1105","Y09-2019","0.5"
"Y09-2019","R19-1105","0.5"
"W10-3111","Y09-2019","0.75"
"Y09-2019","W10-3111","0.75"
"S07-1072","S14-2137","0.333333"
"S14-2137","S07-1072","0.333333"
"S13-2083","S14-2137","0.833333"
"S14-2137","S13-2083","0.833333"
"S14-2129","S14-2137","1.83333"
"S14-2137","S14-2129","1.83333"
"S07-1072","S13-2073","0.333333"
"S13-2073","S07-1072","0.333333"
"S07-1072","W11-1718","0.333333"
"W11-1718","S07-1072","0.333333"
"S13-2073","W11-1718","0.666667"
"W11-1718","S13-2073","0.666667"
"W11-1718","W13-1613","0.791667"
"W13-1613","W11-1718","0.791667"
"S07-1073","W07-1703","2"
"W07-1703","S07-1073","2"
"S10-1099","W11-1718","0.125"
"W11-1718","S10-1099","0.125"
"S13-2083","W09-4304","0.125"
"W09-4304","S13-2083","0.125"
"S13-2083","W11-1718","0.125"
"W11-1718","S13-2083","0.125"
"S13-2083","W11-1722","0.125"
"W11-1722","S13-2083","0.125"
"S13-2083","Y09-2019","0.125"
"Y09-2019","S13-2083","0.125"
"S14-2129","W09-4304","0.125"
"W09-4304","S14-2129","0.125"
"S14-2129","W11-1718","0.125"
"W11-1718","S14-2129","0.125"
"S14-2129","W11-1722","0.125"
"W11-1722","S14-2129","0.125"
"S14-2129","Y09-2019","0.125"
"Y09-2019","S14-2129","0.125"
"W09-4304","W11-1718","0.125"
"W11-1718","W09-4304","0.125"
"W10-1801","W11-1718","0.458333"
"W11-1718","W10-1801","0.458333"
"W11-1718","W11-1722","0.125"
"W11-1722","W11-1718","0.125"
"W11-1718","Y09-2019","0.125"
"Y09-2019","W11-1718","0.125"
"S13-1015","S14-2130","1"
"S14-2130","S13-1015","1"
"S13-2016","S14-2128","2"
"S14-2128","S13-2016","2"
"S13-2073","S13-2083","0.5"
"S13-2083","S13-2073","0.5"
"S14-2128","S14-2130","0.5"
"S14-2130","S14-2128","0.5"
"S14-2128","S14-2137","0.5"
"S14-2137","S14-2128","0.5"
"S14-2130","S14-2137","1"
"S14-2137","S14-2130","1"
