"2012.iwslt-evaluation.15","P15-2094","0.130909"
"P15-2094","2012.iwslt-evaluation.15","0.130909"
"2012.iwslt-evaluation.15","W15-5003","0.630909"
"W15-5003","2012.iwslt-evaluation.15","0.630909"
"2012.iwslt-evaluation.15","W17-3208","0.04"
"W17-3208","2012.iwslt-evaluation.15","0.04"
"2012.iwslt-evaluation.15","W17-5712","0.04"
"W17-5712","2012.iwslt-evaluation.15","0.04"
"2012.iwslt-evaluation.15","W18-2711","0.04"
"W18-2711","2012.iwslt-evaluation.15","0.04"
"2012.iwslt-evaluation.15","W19-4106","0.04"
"W19-4106","2012.iwslt-evaluation.15","0.04"
"2013.iwslt-papers.3","2020.acl-main.327","0.04"
"2020.acl-main.327","2013.iwslt-papers.3","0.04"
"2013.iwslt-papers.3","2020.coling-main.319","0.04"
"2020.coling-main.319","2013.iwslt-papers.3","0.04"
"2013.iwslt-papers.3","2020.iwslt-1.21","0.04"
"2020.iwslt-1.21","2013.iwslt-papers.3","0.04"
"2013.iwslt-papers.3","2021.humeval-1.5","0.04"
"2021.humeval-1.5","2013.iwslt-papers.3","0.04"
"2013.iwslt-papers.3","2021.iwslt-1.27","1.04"
"2021.iwslt-1.27","2013.iwslt-papers.3","1.04"
"2013.iwslt-papers.3","C08-3006","0.04"
"C08-3006","2013.iwslt-papers.3","0.04"
"2013.iwslt-papers.3","N09-2056","0.116923"
"N09-2056","2013.iwslt-papers.3","0.116923"
"2013.iwslt-papers.3","P15-2094","0.130909"
"P15-2094","2013.iwslt-papers.3","0.130909"
"2013.iwslt-papers.3","W15-5003","0.332832"
"W15-5003","2013.iwslt-papers.3","0.332832"
"2013.iwslt-papers.3","W17-3208","0.116923"
"W17-3208","2013.iwslt-papers.3","0.116923"
"2013.iwslt-papers.3","W17-5712","0.165"
"W17-5712","2013.iwslt-papers.3","0.165"
"2013.iwslt-papers.3","W18-2711","0.04"
"W18-2711","2013.iwslt-papers.3","0.04"
"2013.iwslt-papers.3","W19-4106","0.04"
"W19-4106","2013.iwslt-papers.3","0.04"
"2020.acl-main.327","2020.coling-main.319","0.04"
"2020.coling-main.319","2020.acl-main.327","0.04"
"2020.acl-main.327","2020.iwslt-1.21","0.206667"
"2020.iwslt-1.21","2020.acl-main.327","0.206667"
"2020.acl-main.327","2021.humeval-1.5","1.24"
"2021.humeval-1.5","2020.acl-main.327","1.24"
"2020.acl-main.327","2021.iwslt-1.27","0.04"
"2021.iwslt-1.27","2020.acl-main.327","0.04"
"2020.acl-main.327","C08-3006","0.54"
"C08-3006","2020.acl-main.327","0.54"
"2020.acl-main.327","C14-1106","0.04"
"C14-1106","2020.acl-main.327","0.04"
"2020.acl-main.327","D15-1250","0.04"
"D15-1250","2020.acl-main.327","0.04"
"2020.acl-main.327","D16-1162","0.04"
"D16-1162","2020.acl-main.327","0.04"
"2020.acl-main.327","N09-2056","0.54"
"N09-2056","2020.acl-main.327","0.54"
"2020.acl-main.327","N16-1003","0.04"
"N16-1003","2020.acl-main.327","0.04"
"2020.acl-main.327","P14-2090","0.04"
"P14-2090","2020.acl-main.327","0.04"
"2020.acl-main.327","P15-1020","0.04"
"P15-1020","2020.acl-main.327","0.04"
"2020.acl-main.327","P15-2094","0.04"
"P15-2094","2020.acl-main.327","0.04"
"2020.acl-main.327","P17-1079","0.206667"
"P17-1079","2020.acl-main.327","0.206667"
"2020.acl-main.327","W13-4604","0.04"
"W13-4604","2020.acl-main.327","0.04"
"2020.acl-main.327","W14-4004","0.04"
"W14-4004","2020.acl-main.327","0.04"
"2020.acl-main.327","W15-3057","0.04"
"W15-3057","2020.acl-main.327","0.04"
"2020.acl-main.327","W15-5003","0.04"
"W15-5003","2020.acl-main.327","0.04"
"2020.acl-main.327","W17-3208","0.04"
"W17-3208","2020.acl-main.327","0.04"
"2020.acl-main.327","W17-4709","0.04"
"W17-4709","2020.acl-main.327","0.04"
"2020.acl-main.327","W17-5712","0.04"
"W17-5712","2020.acl-main.327","0.04"
"2020.acl-main.327","W18-2711","0.04"
"W18-2711","2020.acl-main.327","0.04"
"2020.acl-main.327","W19-4106","0.04"
"W19-4106","2020.acl-main.327","0.04"
"2020.coling-main.319","2020.iwslt-1.21","0.04"
"2020.iwslt-1.21","2020.coling-main.319","0.04"
"2020.coling-main.319","2021.humeval-1.5","0.04"
"2021.humeval-1.5","2020.coling-main.319","0.04"
"2020.coling-main.319","2021.iwslt-1.27","0.04"
"2021.iwslt-1.27","2020.coling-main.319","0.04"
"2020.coling-main.319","C08-3006","0.04"
"C08-3006","2020.coling-main.319","0.04"
"2020.coling-main.319","C14-1106","0.04"
"C14-1106","2020.coling-main.319","0.04"
"2020.coling-main.319","D15-1250","0.04"
"D15-1250","2020.coling-main.319","0.04"
"2020.coling-main.319","D16-1162","0.04"
"D16-1162","2020.coling-main.319","0.04"
"2020.coling-main.319","N09-2056","0.04"
"N09-2056","2020.coling-main.319","0.04"
"2020.coling-main.319","N16-1003","0.04"
"N16-1003","2020.coling-main.319","0.04"
"2020.coling-main.319","P14-2090","0.04"
"P14-2090","2020.coling-main.319","0.04"
"2020.coling-main.319","P15-1020","0.04"
"P15-1020","2020.coling-main.319","0.04"
"2020.coling-main.319","P15-2094","0.04"
"P15-2094","2020.coling-main.319","0.04"
"2020.coling-main.319","P17-1079","0.04"
"P17-1079","2020.coling-main.319","0.04"
"2020.coling-main.319","W13-4604","0.04"
"W13-4604","2020.coling-main.319","0.04"
"2020.coling-main.319","W14-4004","0.04"
"W14-4004","2020.coling-main.319","0.04"
"2020.coling-main.319","W15-3057","0.04"
"W15-3057","2020.coling-main.319","0.04"
"2020.coling-main.319","W15-5003","0.04"
"W15-5003","2020.coling-main.319","0.04"
"2020.coling-main.319","W17-3208","1.04"
"W17-3208","2020.coling-main.319","1.04"
"2020.coling-main.319","W17-4709","0.04"
"W17-4709","2020.coling-main.319","0.04"
"2020.coling-main.319","W17-5712","0.04"
"W17-5712","2020.coling-main.319","0.04"
"2020.coling-main.319","W18-2711","0.04"
"W18-2711","2020.coling-main.319","0.04"
"2020.coling-main.319","W19-4106","1.04"
"W19-4106","2020.coling-main.319","1.04"
"2020.iwslt-1.21","2021.humeval-1.5","0.04"
"2021.humeval-1.5","2020.iwslt-1.21","0.04"
"2020.iwslt-1.21","2021.iwslt-1.27","0.04"
"2021.iwslt-1.27","2020.iwslt-1.21","0.04"
"2020.iwslt-1.21","C08-3006","0.04"
