"2020.acl-main.159","2020.cmcl-1.8","2"
"P12-1051","D11-1140","1.66667"
"D11-1140","U11-1005","1.66667"
"U11-1005","D11-1140","1.66667"
"P12-1051","U11-1005","4.16667"
"U11-1005","P12-1051","4.16667"
"D10-1119","E12-1024","2"
"E12-1024","D10-1119","2"
"D11-1140","E12-1024","2.33333"
"E12-1024","D11-1140","2.33333"
"E12-1024","P12-1051","1.33333"
"P12-1051","E12-1024","1.33333"
"E12-1024","U11-1005","1.33333"
"U11-1005","E12-1024","1.33333"
"D10-1119","D11-1059","0.333333"
"D11-1059","D10-1119","0.333333"
"D10-1119","H05-1085","0.333333"
"H05-1085","D10-1119","0.333333"
"D11-1059","D11-1140","0.333333"
"D11-1140","D11-1059","0.333333"
"D11-1059","H05-1085","0.333333"
"H05-1085","D11-1059","0.333333"
"D11-1140","H05-1085","0.333333"
"H05-1085","D11-1140","0.333333"
"D11-1059","Q13-1021","1"
"Q13-1021","D11-1059","1"
"D11-1059","W05-0615","0.5"
"W05-0615","D11-1059","0.5"
"D13-1004","W12-1913","0.5"
"W12-1913","D13-1004","0.5"
"D13-1004","D13-1005","0.833333"
"D13-1005","D13-1004","0.833333"
"D13-1005","P14-2044","0.5"
"P14-2044","D13-1005","0.5"
"D13-1004","K17-2002","1"
"K17-2002","D13-1004","1"
"D13-1004","N09-1036","0.333333"
"N09-1036","D13-1004","0.333333"
"D13-1004","Q13-1021","0.833333"
"Q13-1021","D13-1004","0.833333"
"D13-1005","N09-1036","0.833333"
"N09-1036","D13-1005","0.833333"
"D13-1005","Q13-1021","0.333333"
"Q13-1021","D13-1005","0.333333"
"N09-1036","Q13-1021","0.333333"
"Q13-1021","N09-1036","0.333333"
"D13-1004","P12-1020","0.5"
"P12-1020","D13-1004","0.5"
"P12-1020","P14-1101","0.5"
"P14-1101","P12-1020","0.5"
"E17-1032","Q13-1021","3"
"Q13-1021","E17-1032","3"
"D13-1005","P12-1020","3.33333"
"P12-1020","D13-1005","3.33333"
"D13-1005","N19-1418","0.5"
"N19-1418","D13-1005","0.5"
"N19-1418","P12-1020","0.5"
"P12-1020","N19-1418","0.5"
"N09-1036","P12-1020","0.5"
"P12-1020","N09-1036","0.5"
"D13-1005","P06-1085","0.333333"
"P06-1085","D13-1005","0.333333"
"D13-1005","W05-0615","0.333333"
"W05-0615","D13-1005","0.333333"
"P06-1085","P12-1020","0.333333"
"P12-1020","P06-1085","0.333333"
"P06-1085","W05-0615","0.333333"
"W05-0615","P06-1085","0.333333"
"P12-1020","W05-0615","0.333333"
"W05-0615","P12-1020","0.333333"
"E17-1032","K17-2002","4"
"K17-2002","E17-1032","4"
"E17-1032","W04-0105","0.5"
"W04-0105","E17-1032","0.5"
"Q13-1021","W04-0105","0.5"
"W04-0105","Q13-1021","0.5"
"E17-1116","W18-6101","2"
"W18-6101","E17-1116","2"
"E17-2076","U11-1005","1"
"U11-1005","E17-2076","1"
"E17-2076","N19-1006","2.5"
"N19-1006","E17-2076","2.5"
"E17-2076","W17-4607","1.5"
"W17-4607","E17-2076","1.5"
"N19-1006","W17-4607","0.5"
"W17-4607","N19-1006","0.5"
"K17-2002","N18-2113","1"
"N18-2113","K17-2002","1"
"K17-2002","N18-1126","0.333333"
"N18-1126","K17-2002","0.333333"
"K17-2002","N19-1418","0.333333"
"N19-1418","K17-2002","0.333333"
"K17-2002","P19-1376","0.333333"
"P19-1376","K17-2002","0.333333"
"N18-1126","N19-1418","5.33333"
"N19-1418","N18-1126","5.33333"
"N18-1126","P19-1376","0.333333"
"P19-1376","N18-1126","0.333333"
"N19-1418","P19-1376","1.33333"
"P19-1376","N19-1418","1.33333"
"N07-1018","Q13-1006","0.333333"
"Q13-1006","N07-1018","0.333333"
"N07-1018","W11-0603","0.333333"
"W11-0603","N07-1018","0.333333"
"N07-1018","W12-1913","0.333333"
"W12-1913","N07-1018","0.333333"
"Q13-1006","W11-0603","3.33333"
"W11-0603","Q13-1006","3.33333"
"Q13-1006","W12-1913","2.33333"
"W12-1913","Q13-1006","2.33333"
"W11-0603","W12-1913","0.333333"
"W12-1913","W11-0603","0.333333"
"N09-1036","P09-2085","0.5"
"P09-2085","N09-1036","0.5"
"N09-1062","P09-2085","2"
"P09-2085","N09-1062","2"
"N09-1062","W11-0603","0.5"
"W11-0603","N09-1062","0.5"
"P09-2085","W11-0603","0.5"
"W11-0603","P09-2085","0.5"
"N18-1126","N19-1006","1"
"N19-1006","N18-1126","1"
"N19-1006","N19-1418","1"
"N19-1418","N19-1006","1"
"W17-4908","W18-6101","1"
"W18-6101","W17-4908","1"
