"2020.lrec-1.606","W19-2101","9"
"L18-1222","2021.eacl-main.28","0.0454545"
"2021.eacl-main.28","N10-1121","0.0454545"
"N10-1121","2021.eacl-main.28","0.0454545"
"2021.eacl-main.28","N13-1059","0.0454545"
"N13-1059","2021.eacl-main.28","0.0454545"
"2021.eacl-main.28","N16-1092","0.212121"
"N16-1092","2021.eacl-main.28","0.212121"
"2021.eacl-main.28","N16-1094","0.462121"
"N16-1094","2021.eacl-main.28","0.462121"
"2021.eacl-main.28","N18-1095","1.74545"
"N18-1095","2021.eacl-main.28","1.74545"
"2021.eacl-main.28","R11-1039","0.0454545"
"R11-1039","2021.eacl-main.28","0.0454545"
"2021.eacl-main.28","R15-1071","0.0454545"
"R15-1071","2021.eacl-main.28","0.0454545"
"2021.eacl-main.28","W09-4628","0.378788"
"W09-4628","2021.eacl-main.28","0.378788"
"2021.eacl-main.28","W10-3111","0.0454545"
"W10-3111","2021.eacl-main.28","0.0454545"
"2021.eacl-main.28","W11-4004","0.0454545"
"W11-4004","2021.eacl-main.28","0.0454545"
"2021.eacl-main.28","W11-4635","0.0454545"
"W11-4635","2021.eacl-main.28","0.0454545"
"2021.eacl-main.28","W13-1108","0.0454545"
"W13-1108","2021.eacl-main.28","0.0454545"
"2021.eacl-main.28","W15-2921","0.0454545"
"W15-2921","2021.eacl-main.28","0.0454545"
"2021.eacl-main.28","wiegand-klakow-2010-predictive","0.378788"
"wiegand-klakow-2010-predictive","2021.eacl-main.28","0.378788"
"clematide-etal-2012-mlsa","E12-1033","0.712121"
"E12-1033","clematide-etal-2012-mlsa","0.712121"
"clematide-etal-2012-mlsa","I13-1003","0.0454545"
"I13-1003","clematide-etal-2012-mlsa","0.0454545"
"clematide-etal-2012-mlsa","I17-1063","0.378788"
"I17-1063","clematide-etal-2012-mlsa","0.378788"
"clematide-etal-2012-mlsa","K15-1022","0.0454545"
"K15-1022","clematide-etal-2012-mlsa","0.0454545"
"clematide-etal-2012-mlsa","L18-1097","0.0454545"
"L18-1097","clematide-etal-2012-mlsa","0.0454545"
"clematide-etal-2012-mlsa","L18-1222","0.0454545"
"L18-1222","clematide-etal-2012-mlsa","0.0454545"
"clematide-etal-2012-mlsa","N10-1121","0.0454545"
"N10-1121","clematide-etal-2012-mlsa","0.0454545"
"clematide-etal-2012-mlsa","N13-1059","0.0454545"
"N13-1059","clematide-etal-2012-mlsa","0.0454545"
"clematide-etal-2012-mlsa","N16-1092","0.0454545"
"N16-1092","clematide-etal-2012-mlsa","0.0454545"
"clematide-etal-2012-mlsa","N16-1094","0.0454545"
"N16-1094","clematide-etal-2012-mlsa","0.0454545"
"clematide-etal-2012-mlsa","N18-1095","0.0454545"
"N18-1095","clematide-etal-2012-mlsa","0.0454545"
"clematide-etal-2012-mlsa","R11-1039","0.0454545"
"R11-1039","clematide-etal-2012-mlsa","0.0454545"
"clematide-etal-2012-mlsa","R15-1071","0.0454545"
"R15-1071","clematide-etal-2012-mlsa","0.0454545"
"clematide-etal-2012-mlsa","W09-4628","1.37879"
"W09-4628","clematide-etal-2012-mlsa","1.37879"
"clematide-etal-2012-mlsa","W10-3111","0.378788"
"W10-3111","clematide-etal-2012-mlsa","0.378788"
"clematide-etal-2012-mlsa","W11-4004","0.378788"
"W11-4004","clematide-etal-2012-mlsa","0.378788"
"clematide-etal-2012-mlsa","W11-4635","0.0454545"
"W11-4635","clematide-etal-2012-mlsa","0.0454545"
"clematide-etal-2012-mlsa","W13-1108","0.0454545"
"W13-1108","clematide-etal-2012-mlsa","0.0454545"
"clematide-etal-2012-mlsa","W15-2921","0.712121"
"W15-2921","clematide-etal-2012-mlsa","0.712121"
"clematide-etal-2012-mlsa","wiegand-klakow-2010-predictive","0.378788"
"wiegand-klakow-2010-predictive","clematide-etal-2012-mlsa","0.378788"
"E12-1033","I13-1003","1.29545"
"I13-1003","E12-1033","1.29545"
"E12-1033","L18-1097","0.495455"
"L18-1097","E12-1033","0.495455"
"E12-1033","L18-1222","0.0454545"
"L18-1222","E12-1033","0.0454545"
"E12-1033","N13-1059","0.495455"
"N13-1059","E12-1033","0.495455"
"E12-1033","N16-1094","1.24545"
"N16-1094","E12-1033","1.24545"
"E12-1033","N18-1095","0.0454545"
"N18-1095","E12-1033","0.0454545"
"E12-1033","R15-1071","0.0454545"
"R15-1071","E12-1033","0.0454545"
"E12-1033","W09-4628","0.0454545"
"W09-4628","E12-1033","0.0454545"
"E12-1033","W10-3111","0.0454545"
"W10-3111","E12-1033","0.0454545"
"E12-1033","W11-4004","1.27879"
"W11-4004","E12-1033","1.27879"
"E12-1033","W13-1108","0.0454545"
"W13-1108","E12-1033","0.0454545"
"E12-1033","wiegand-klakow-2010-predictive","0.295455"
"wiegand-klakow-2010-predictive","E12-1033","0.295455"
"I13-1003","I17-1063","0.0454545"
"I17-1063","I13-1003","0.0454545"
"I13-1003","K15-1022","0.0454545"
"K15-1022","I13-1003","0.0454545"
"I13-1003","L18-1097","0.0454545"
"L18-1097","I13-1003","0.0454545"
"I13-1003","L18-1222","0.0454545"
"L18-1222","I13-1003","0.0454545"
"I13-1003","N10-1121","0.0454545"
"N10-1121","I13-1003","0.0454545"
"I13-1003","N13-1059","0.0454545"
"N13-1059","I13-1003","0.0454545"
"I13-1003","N16-1092","0.0454545"
"N16-1092","I13-1003","0.0454545"
"I13-1003","N16-1094","0.295455"
"N16-1094","I13-1003","0.295455"
"I13-1003","N18-1095","0.0454545"
"N18-1095","I13-1003","0.0454545"
"I13-1003","R11-1039","0.0454545"
"R11-1039","I13-1003","0.0454545"
"I13-1003","R15-1071","0.0454545"
"R15-1071","I13-1003","0.0454545"
"I13-1003","W09-4628","0.0454545"
"W09-4628","I13-1003","0.0454545"
"I13-1003","W10-3111","0.378788"
"W10-3111","I13-1003","0.378788"
"I13-1003","W11-4004","0.0454545"
"W11-4004","I13-1003","0.0454545"
"I13-1003","W11-4635","0.0454545"
"W11-4635","I13-1003","0.0454545"
"I13-1003","W13-1108","2.37879"
"W13-1108","I13-1003","2.37879"
"I13-1003","W15-2921","0.0454545"
"W15-2921","I13-1003","0.0454545"
"I13-1003","wiegand-klakow-2010-predictive","0.378788"
"wiegand-klakow-2010-predictive","I13-1003","0.378788"
"I17-1063","N16-1094","0.712121"
"N16-1094","I17-1063","0.712121"
"I17-1063","W09-4628","0.0454545"
"W09-4628","I17-1063","0.0454545"
"I17-1063","W10-3111","1.87879"
"W10-3111","I17-1063","1.87879"
"I17-1063","W11-4004","0.0454545"
"W11-4004","I17-1063","0.0454545"
"I17-1063","wiegand-klakow-2010-predictive","0.0454545"
"wiegand-klakow-2010-predictive","I17-1063","0.0454545"
"K15-1022","L18-1097","0.0454545"
"L18-1097","K15-1022","0.0454545"
"K15-1022","L18-1222","0.0454545"
"L18-1222","K15-1022","0.0454545"
"K15-1022","N13-1059","0.445455"
"N13-1059","K15-1022","0.445455"
"K15-1022","N16-1094","3.69545"
"N16-1094","K15-1022","3.69545"
"K15-1022","R15-1071","0.0454545"
"R15-1071","K15-1022","0.0454545"
"K15-1022","W09-4628","0.545455"
"W09-4628","K15-1022","0.545455"
"K15-1022","W10-3111","0.0454545"
"W10-3111","K15-1022","0.0454545"
"K15-1022","W11-4004","0.695455"
"W11-4004","K15-1022","0.695455"
"K15-1022","W13-1108","1.41212"
"W13-1108","K15-1022","1.41212"
"K15-1022","wiegand-klakow-2010-predictive","0.0454545"
"wiegand-klakow-2010-predictive","K15-1022","0.0454545"
"L18-1097","N10-1121","0.0454545"
"N10-1121","L18-1097","0.0454545"
"L18-1097","N13-1059","0.0454545"
"N13-1059","L18-1097","0.0454545"
"L18-1097","N16-1092","0.0454545"
"N16-1092","L18-1097","0.0454545"
"L18-1097","N16-1094","0.378788"
"N16-1094","L18-1097","0.378788"
"L18-1097","R11-1039","0.495455"
"R11-1039","L18-1097","0.495455"
"L18-1097","R15-1071","0.0454545"
"R15-1071","L18-1097","0.0454545"
"L18-1097","W09-4628","0.0454545"
"W09-4628","L18-1097","0.0454545"
"L18-1097","W10-3111","0.378788"
"W10-3111","L18-1097","0.378788"
"L18-1097","W11-4004","0.0454545"
"W11-4004","L18-1097","0.0454545"
"L18-1097","W11-4635","0.495455"
"W11-4635","L18-1097","0.495455"
"L18-1097","W13-1108","0.378788"
"W13-1108","L18-1097","0.378788"
"L18-1097","W15-2921","0.0454545"
"W15-2921","L18-1097","0.0454545"
"L18-1097","wiegand-klakow-2010-predictive","0.0454545"
"wiegand-klakow-2010-predictive","L18-1097","0.0454545"
"L18-1222","N10-1121","0.0454545"
"N10-1121","L18-1222","0.0454545"
"L18-1222","N13-1059","0.0454545"
"N13-1059","L18-1222","0.0454545"
"L18-1222","N16-1092","0.0454545"
"N16-1092","L18-1222","0.0454545"
"L18-1222","N16-1094","0.0454545"
"N16-1094","L18-1222","0.0454545"
"L18-1222","N18-1095","0.0454545"
"N18-1095","L18-1222","0.0454545"
"L18-1222","R11-1039","0.0454545"
"R11-1039","L18-1222","0.0454545"
"L18-1222","R15-1071","0.0454545"
"R15-1071","L18-1222","0.0454545"
"L18-1222","W09-4628","0.0454545"
"W09-4628","L18-1222","0.0454545"
"L18-1222","W10-3111","0.378788"
"W10-3111","L18-1222","0.378788"
"L18-1222","W11-4004","0.0454545"
"W11-4004","L18-1222","0.0454545"
"L18-1222","W11-4635","0.0454545"
"W11-4635","L18-1222","0.0454545"
"L18-1222","W13-1108","0.0454545"
"W13-1108","L18-1222","0.0454545"
"L18-1222","W15-2921","0.0454545"
"W15-2921","L18-1222","0.0454545"
"L18-1222","wiegand-klakow-2010-predictive","0.0454545"
"wiegand-klakow-2010-predictive","L18-1222","0.0454545"
"N10-1121","N13-1059","0.245455"
"N13-1059","N10-1121","0.245455"
"N10-1121","N16-1094","0.245455"
"N16-1094","N10-1121","0.245455"
"N10-1121","N18-1095","0.0454545"
"N18-1095","N10-1121","0.0454545"
"N10-1121","R15-1071","0.0454545"
"R15-1071","N10-1121","0.0454545"
"N10-1121","W09-4628","0.0454545"
"W09-4628","N10-1121","0.0454545"
"N10-1121","W10-3111","0.0454545"
"W10-3111","N10-1121","0.0454545"
"N10-1121","W11-4004","0.695455"
"W11-4004","N10-1121","0.695455"
"N10-1121","W13-1108","0.0454545"
"W13-1108","N10-1121","0.0454545"
"N10-1121","wiegand-klakow-2010-predictive","0.0454545"
"wiegand-klakow-2010-predictive","N10-1121","0.0454545"
"N13-1059","N16-1092","0.0454545"
"N16-1092","N13-1059","0.0454545"
"N13-1059","N16-1094","0.0454545"
"N16-1094","N13-1059","0.0454545"
"N13-1059","N18-1095","0.245455"
"N18-1095","N13-1059","0.245455"
"N13-1059","R11-1039","0.0454545"
"R11-1039","N13-1059","0.0454545"
"N13-1059","W09-4628","0.0454545"
"W09-4628","N13-1059","0.0454545"
"N13-1059","W10-3111","0.0454545"
"W10-3111","N13-1059","0.0454545"
"N13-1059","W11-4004","0.245455"
"W11-4004","N13-1059","0.245455"
"N13-1059","W11-4635","0.245455"
"W11-4635","N13-1059","0.245455"
"N13-1059","wiegand-klakow-2010-predictive","0.295455"
"wiegand-klakow-2010-predictive","N13-1059","0.295455"
"N16-1092","N16-1094","5.87879"
"N16-1094","N16-1092","5.87879"
"N16-1092","R15-1071","0.0454545"
"R15-1071","N16-1092","0.0454545"
"N16-1092","W09-4628","0.0454545"
"W09-4628","N16-1092","0.0454545"
"N16-1092","W10-3111","0.0454545"
"W10-3111","N16-1092","0.0454545"
"N16-1092","W11-4004","0.0454545"
"W11-4004","N16-1092","0.0454545"
"N16-1092","W13-1108","0.0454545"
"W13-1108","N16-1092","0.0454545"
"N16-1092","wiegand-klakow-2010-predictive","0.0454545"
"wiegand-klakow-2010-predictive","N16-1092","0.0454545"
"N16-1094","N18-1095","0.212121"
"N18-1095","N16-1094","0.212121"
"N16-1094","R11-1039","0.495455"
"R11-1039","N16-1094","0.495455"
"N16-1094","R15-1071","0.0454545"
"R15-1071","N16-1094","0.0454545"
"N16-1094","W09-4628","0.0454545"
"W09-4628","N16-1094","0.0454545"
"N16-1094","W10-3111","0.378788"
"W10-3111","N16-1094","0.378788"
"N16-1094","W11-4004","0.495455"
"W11-4004","N16-1094","0.495455"
"N16-1094","W11-4635","0.545455"
"W11-4635","N16-1094","0.545455"
"N16-1094","W13-1108","0.545455"
"W13-1108","N16-1094","0.545455"
"N16-1094","W15-2921","1.12879"
"W15-2921","N16-1094","1.12879"
"N16-1094","wiegand-klakow-2010-predictive","0.0454545"
"wiegand-klakow-2010-predictive","N16-1094","0.0454545"
"N18-1095","R11-1039","0.0454545"
"R11-1039","N18-1095","0.0454545"
"N18-1095","R15-1071","0.545455"
"R15-1071","N18-1095","0.545455"
"N18-1095","W09-4628","0.0454545"
"W09-4628","N18-1095","0.0454545"
"N18-1095","W10-3111","0.0454545"
"W10-3111","N18-1095","0.0454545"
"N18-1095","W11-4004","0.0454545"
"W11-4004","N18-1095","0.0454545"
"N18-1095","W11-4635","0.0454545"
"W11-4635","N18-1095","0.0454545"
"N18-1095","W13-1108","0.245455"
"W13-1108","N18-1095","0.245455"
"N18-1095","wiegand-klakow-2010-predictive","0.0454545"
"wiegand-klakow-2010-predictive","N18-1095","0.0454545"
"R11-1039","R15-1071","0.0454545"
"R15-1071","R11-1039","0.0454545"
"R11-1039","W09-4628","0.0454545"
"W09-4628","R11-1039","0.0454545"
"R11-1039","W10-3111","0.0454545"
"W10-3111","R11-1039","0.0454545"
"R11-1039","W11-4004","0.495455"
"W11-4004","R11-1039","0.495455"
"R11-1039","W13-1108","0.0454545"
"W13-1108","R11-1039","0.0454545"
"R11-1039","wiegand-klakow-2010-predictive","0.0454545"
"wiegand-klakow-2010-predictive","R11-1039","0.0454545"
"R15-1071","W09-4628","0.0454545"
"W09-4628","R15-1071","0.0454545"
"R15-1071","W10-3111","0.0454545"
"W10-3111","R15-1071","0.0454545"
"R15-1071","W11-4004","0.0454545"
"W11-4004","R15-1071","0.0454545"
"R15-1071","W11-4635","0.0454545"
"W11-4635","R15-1071","0.0454545"
"R15-1071","wiegand-klakow-2010-predictive","0.0454545"
"wiegand-klakow-2010-predictive","R15-1071","0.0454545"
"W09-4628","W10-3111","1.71212"
"W10-3111","W09-4628","1.71212"
"W09-4628","W11-4004","0.0454545"
"W11-4004","W09-4628","0.0454545"
"W09-4628","W11-4635","0.378788"
"W11-4635","W09-4628","0.378788"
"W09-4628","W13-1108","0.0454545"
"W13-1108","W09-4628","0.0454545"
"W09-4628","W15-2921","0.545455"
"W15-2921","W09-4628","0.545455"
"W09-4628","wiegand-klakow-2010-predictive","1.04545"
"wiegand-klakow-2010-predictive","W09-4628","1.04545"
"W10-3111","W11-4004","0.0454545"
"W11-4004","W10-3111","0.0454545"
"W10-3111","W11-4635","0.378788"
"W11-4635","W10-3111","0.378788"
"W10-3111","W13-1108","0.712121"
"W13-1108","W10-3111","0.712121"
"W10-3111","W15-2921","0.0454545"
"W15-2921","W10-3111","0.0454545"
"W10-3111","wiegand-klakow-2010-predictive","1.04545"
"wiegand-klakow-2010-predictive","W10-3111","1.04545"
"W11-4004","W11-4635","0.745455"
"W11-4635","W11-4004","0.745455"
"W11-4004","W13-1108","0.0454545"
"W13-1108","W11-4004","0.0454545"
"W11-4004","W15-2921","0.378788"
"W15-2921","W11-4004","0.378788"
"W11-4004","wiegand-klakow-2010-predictive","0.0454545"
"wiegand-klakow-2010-predictive","W11-4004","0.0454545"
"W11-4635","W13-1108","0.0454545"
"W13-1108","W11-4635","0.0454545"
"W11-4635","wiegand-klakow-2010-predictive","0.378788"
"wiegand-klakow-2010-predictive","W11-4635","0.378788"
"W13-1108","wiegand-klakow-2010-predictive","0.378788"
"wiegand-klakow-2010-predictive","W13-1108","0.378788"
"W15-2921","wiegand-klakow-2010-predictive","0.0454545"
"wiegand-klakow-2010-predictive","W15-2921","0.0454545"
"2021.eacl-main.27","N19-1060","2.41667"
"N19-1060","2021.eacl-main.27","2.41667"
"N18-1095","N19-1060","1.16667"
"N19-1060","N18-1095","1.16667"
"2021.eacl-main.27","2021.naacl-main.48","3.45"
"2021.naacl-main.48","2021.eacl-main.27","3.45"
"2021.eacl-main.27","N19-1211","0.616667"
"N19-1211","2021.eacl-main.27","0.616667"
"2021.eacl-main.28","2021.naacl-main.48","2.11667"
"2021.naacl-main.48","2021.eacl-main.28","2.11667"
"2021.eacl-main.28","N19-1211","0.783333"
"N19-1211","2021.eacl-main.28","0.783333"
"2021.germeval-1.1","2021.naacl-main.48","0.7"
"2021.naacl-main.48","2021.germeval-1.1","0.7"
"2021.germeval-1.1","N18-1095","0.366667"
"N18-1095","2021.germeval-1.1","0.366667"
"2021.germeval-1.1","N19-1211","0.2"
"N19-1211","2021.germeval-1.1","0.2"
"2021.naacl-main.48","N18-1095","0.866667"
"N18-1095","2021.naacl-main.48","0.866667"
"2021.naacl-main.48","N19-1211","0.616667"
"N19-1211","2021.naacl-main.48","0.616667"
"N18-1095","N19-1211","0.533333"
"N19-1211","N18-1095","0.533333"
"2021.eacl-main.27","W17-1101","0.333333"
"W17-1101","2021.eacl-main.27","0.333333"
"2021.eacl-main.28","N19-1060","1.58333"
"N19-1060","2021.eacl-main.28","1.58333"
"2021.eacl-main.28","W17-1101","0.333333"
"W17-1101","2021.eacl-main.28","0.333333"
"2021.germeval-1.1","N19-1060","0.166667"
"N19-1060","2021.germeval-1.1","0.166667"
"2021.germeval-1.1","W17-1101","0.166667"
"W17-1101","2021.germeval-1.1","0.166667"
"2021.naacl-main.48","N19-1060","0.916667"
"N19-1060","2021.naacl-main.48","0.916667"
"2021.naacl-main.48","W17-1101","0.833333"
"W17-1101","2021.naacl-main.48","0.833333"
"N18-1095","W17-1101","0.333333"
"W17-1101","N18-1095","0.333333"
"N19-1060","W17-1101","0.333333"
"W17-1101","N19-1060","0.333333"
