"1991.mtsummit-papers.15","C92-2121","3"
"H05-1047","D13-1123","0.416667"
"D13-1123","N12-1050","0.809524"
"N12-1050","D13-1123","0.809524"
"D13-1123","P06-1113","0.416667"
"P06-1113","D13-1123","0.416667"
"D13-1123","P11-1059","0.309524"
"P11-1059","D13-1123","0.309524"
"D13-1123","W04-2609","0.166667"
"W04-2609","D13-1123","0.166667"
"D13-1123","W04-2610","0.166667"
"W04-2610","D13-1123","0.166667"
"E14-1016","H05-1035","0.541667"
"H05-1035","E14-1016","0.541667"
"E14-1016","H05-1047","0.166667"
"H05-1047","E14-1016","0.166667"
"E14-1016","N12-1050","0.309524"
"N12-1050","E14-1016","0.309524"
"E14-1016","P06-1113","0.166667"
"P06-1113","E14-1016","0.166667"
"E14-1016","P11-1059","0.309524"
"P11-1059","E14-1016","0.309524"
"E14-1016","W04-2609","0.291667"
"W04-2609","E14-1016","0.291667"
"E14-1016","W04-2610","0.291667"
"W04-2610","E14-1016","0.291667"
"H05-1035","H05-1047","0.166667"
"H05-1047","H05-1035","0.166667"
"H05-1035","N12-1050","0.166667"
"N12-1050","H05-1035","0.166667"
"H05-1035","P06-1113","0.166667"
"P06-1113","H05-1035","0.166667"
"H05-1035","P11-1059","0.166667"
"P11-1059","H05-1035","0.166667"
"H05-1035","W04-2609","0.291667"
"W04-2609","H05-1035","0.291667"
"H05-1035","W04-2610","0.291667"
"W04-2610","H05-1035","0.291667"
"H05-1047","N12-1050","0.166667"
"N12-1050","H05-1047","0.166667"
"H05-1047","P06-1113","1.33333"
"P06-1113","H05-1047","1.33333"
"H05-1047","P11-1059","0.166667"
"P11-1059","H05-1047","0.166667"
"H05-1047","W04-2609","0.166667"
"W04-2609","H05-1047","0.166667"
"H05-1047","W04-2610","0.333333"
"W04-2610","H05-1047","0.333333"
"N12-1050","P06-1113","0.166667"
"P06-1113","N12-1050","0.166667"
"N12-1050","P11-1059","5.30952"
"P11-1059","N12-1050","5.30952"
"N12-1050","W04-2609","0.166667"
"W04-2609","N12-1050","0.166667"
"N12-1050","W04-2610","0.166667"
"W04-2610","N12-1050","0.166667"
"P06-1113","P11-1059","0.166667"
"P11-1059","P06-1113","0.166667"
"P06-1113","W04-2609","0.166667"
"W04-2609","P06-1113","0.166667"
"P06-1113","W04-2610","1.16667"
"W04-2610","P06-1113","1.16667"
"P11-1059","W04-2609","0.166667"
"W04-2609","P11-1059","0.166667"
"P11-1059","W04-2610","0.166667"
"W04-2610","P11-1059","0.166667"
"W04-2609","W04-2610","1.625"
"W04-2610","W04-2609","1.625"
"blanco-etal-2008-causal","W03-1207","0.333333"
"W03-1207","blanco-etal-2008-causal","0.333333"
"W03-1207","W04-2609","0.833333"
"W04-2609","W03-1207","0.833333"
"W03-1207","W04-2610","0.833333"
"W04-2610","W03-1207","0.833333"
"blanco-etal-2008-causal","H05-1112","0.625"
"H05-1112","blanco-etal-2008-causal","0.625"
"blanco-etal-2008-causal","J06-1005","0.625"
"J06-1005","blanco-etal-2008-causal","0.625"
"blanco-etal-2008-causal","W11-0106","0.5"
"W11-0106","blanco-etal-2008-causal","0.5"
"C10-2009","H05-1112","0.166667"
"H05-1112","C10-2009","0.166667"
"C10-2009","J06-1005","0.166667"
"J06-1005","C10-2009","0.166667"
"C10-2009","W11-0106","1.30952"
"W11-0106","C10-2009","1.30952"
"H05-1047","H05-1112","0.166667"
"H05-1112","H05-1047","0.166667"
"H05-1047","J06-1005","0.166667"
"J06-1005","H05-1047","0.166667"
"H05-1047","W11-0106","0.166667"
"W11-0106","H05-1047","0.166667"
"H05-1112","J06-1005","2.625"
"J06-1005","H05-1112","2.625"
"H05-1112","W04-2610","0.291667"
"W04-2610","H05-1112","0.291667"
"H05-1112","W11-0106","0.166667"
"W11-0106","H05-1112","0.166667"
"J06-1005","W04-2610","0.291667"
"W04-2610","J06-1005","0.291667"
"J06-1005","W11-0106","0.166667"
"W11-0106","J06-1005","0.166667"
"W04-2610","W11-0106","0.166667"
"W11-0106","W04-2610","0.166667"
"D10-1031","W11-0106","2.89286"
"W11-0106","D10-1031","2.89286"
"blanco-etal-2008-causal","moldovan-blanco-2012-polaris","1.125"
"moldovan-blanco-2012-polaris","blanco-etal-2008-causal","1.125"
"D10-1031","H05-1112","0.125"
"H05-1112","D10-1031","0.125"
"D10-1031","J06-1005","0.625"
"J06-1005","D10-1031","0.625"
"D10-1031","moldovan-blanco-2012-polaris","0.541667"
"moldovan-blanco-2012-polaris","D10-1031","0.541667"
"E14-1016","H05-1112","0.125"
"H05-1112","E14-1016","0.125"
"E14-1016","J06-1005","0.375"
"J06-1005","E14-1016","0.375"
"E14-1016","moldovan-blanco-2012-polaris","3.375"
"moldovan-blanco-2012-polaris","E14-1016","3.375"
"H05-1035","H05-1112","0.125"
"H05-1112","H05-1035","0.125"
"H05-1035","J06-1005","0.708333"
"J06-1005","H05-1035","0.708333"
"H05-1035","moldovan-blanco-2012-polaris","0.125"
"moldovan-blanco-2012-polaris","H05-1035","0.125"
"H05-1112","moldovan-blanco-2012-polaris","0.125"
"moldovan-blanco-2012-polaris","H05-1112","0.125"
"H05-1112","W04-2609","0.958333"
"W04-2609","H05-1112","0.958333"
"J06-1005","moldovan-blanco-2012-polaris","1.45833"
"moldovan-blanco-2012-polaris","J06-1005","1.45833"
"J06-1005","W04-2609","4.95833"
"W04-2609","J06-1005","4.95833"
"moldovan-blanco-2012-polaris","W04-2609","0.125"
"W04-2609","moldovan-blanco-2012-polaris","0.125"
"moldovan-blanco-2012-polaris","W04-2610","0.125"
"W04-2610","moldovan-blanco-2012-polaris","0.125"
"C02-1167","P01-1052","1"
"P01-1052","C02-1167","1"
"C02-1169","P01-1037","1"
"P01-1037","C02-1169","1"
"C02-1169","P02-1005","0.5"
"P02-1005","C02-1169","0.5"
"P01-1037","P02-1005","3.5"
"P02-1005","P01-1037","3.5"
"C02-1169","P06-2038","0.5"
"P06-2038","C02-1169","0.5"
"P01-1037","P06-2038","0.5"
"P06-2038","P01-1037","0.5"
"C10-2009","P11-1146","1.80952"
"P11-1146","C10-2009","1.80952"
"D10-1031","P11-1146","1.55952"
"P11-1146","D10-1031","1.55952"
"D13-1123","P11-1146","0.809524"
"P11-1146","D13-1123","0.809524"
"D13-1123","W11-0106","0.309524"
"W11-0106","D13-1123","0.309524"
"E14-1016","P11-1146","2.89286"
"P11-1146","E14-1016","2.89286"
"E14-1016","W11-0106","0.892857"
"W11-0106","E14-1016","0.892857"
"N12-1050","P11-1146","0.142857"
"P11-1146","N12-1050","0.142857"
"N12-1050","W11-0106","0.142857"
"W11-0106","N12-1050","0.142857"
"P11-1059","P11-1146","0.142857"
"P11-1146","P11-1059","0.142857"
"P11-1059","W11-0106","0.142857"
"W11-0106","P11-1059","0.142857"
"P11-1146","W11-0106","2.39286"
"W11-0106","P11-1146","2.39286"
"C10-2009","P06-2105","0.25"
"P06-2105","C10-2009","0.25"
"D13-1123","P06-2105","0.583333"
"P06-2105","D13-1123","0.583333"
"H05-1047","P06-2105","1.16667"
"P06-2105","H05-1047","1.16667"
"P06-1113","P06-2105","1.16667"
"P06-2105","P06-1113","1.16667"
"C10-2009","tatu-moldovan-2012-tool","1"
"tatu-moldovan-2012-tool","C10-2009","1"
"C10-2009","moldovan-blanco-2012-polaris","0.166667"
"moldovan-blanco-2012-polaris","C10-2009","0.166667"
"D13-1123","moldovan-blanco-2012-polaris","1"
"moldovan-blanco-2012-polaris","D13-1123","1"
"moldovan-blanco-2012-polaris","P11-1146","1.25"
"P11-1146","moldovan-blanco-2012-polaris","1.25"
"moldovan-blanco-2012-polaris","W11-0106","0.75"
"W11-0106","moldovan-blanco-2012-polaris","0.75"
"D10-1031","erekhinskaya-etal-2014-multilingual","0.5"
"erekhinskaya-etal-2014-multilingual","D10-1031","0.5"
"erekhinskaya-etal-2014-multilingual","J06-1005","0.5"
"J06-1005","erekhinskaya-etal-2014-multilingual","0.5"
"D13-1123","W18-3803","4"
"W18-3803","D13-1123","4"
"moldovan-blanco-2012-polaris","N12-1050","0.5"
"N12-1050","moldovan-blanco-2012-polaris","0.5"
"D13-1123","J06-1005","0.333333"
"J06-1005","D13-1123","0.333333"
"J06-1005","P06-2105","0.333333"
"P06-2105","J06-1005","0.333333"
"moldovan-blanco-2012-polaris","P06-2105","0.333333"
"P06-2105","moldovan-blanco-2012-polaris","0.333333"
"davis-moldovan-2010-feasibility","W06-3121","0.5"
"W06-3121","davis-moldovan-2010-feasibility","0.5"
"davis-moldovan-2010-feasibility","W06-3122","0.5"
"W06-3122","davis-moldovan-2010-feasibility","0.5"
"W06-3121","W06-3122","3.5"
"W06-3122","W06-3121","3.5"
"E14-1016","P06-2038","0.25"
"P06-2038","E14-1016","0.25"
"E14-1016","W06-3122","0.25"
"W06-3122","E14-1016","0.25"
"H05-1035","P06-2038","0.583333"
"P06-2038","H05-1035","0.583333"
"H05-1035","W06-3122","0.25"
"W06-3122","H05-1035","0.25"
"J06-1005","P06-2038","0.583333"
"P06-2038","J06-1005","0.583333"
"J06-1005","W06-3122","0.25"
"W06-3122","J06-1005","0.25"
"P06-2038","W06-3122","0.25"
"W06-3122","P06-2038","0.25"
"H05-1035","N03-1011","0.333333"
"N03-1011","H05-1035","0.333333"
"J06-1005","N03-1011","0.833333"
"N03-1011","J06-1005","0.833333"
"N03-1011","P06-2038","0.333333"
"P06-2038","N03-1011","0.333333"
"H05-1047","N03-1022","0.583333"
"N03-1022","H05-1047","0.583333"
"N03-1022","P06-1113","0.583333"
"P06-1113","N03-1022","0.583333"
"N03-1022","P06-2105","0.583333"
"P06-2105","N03-1022","0.583333"
"H05-1047","W04-0840","0.583333"
"W04-0840","H05-1047","0.583333"
"N03-1022","W04-0840","0.25"
"W04-0840","N03-1022","0.25"
"P06-1113","W04-0840","0.583333"
"W04-0840","P06-1113","0.583333"
"P06-2105","W04-0840","0.583333"
"W04-0840","P06-2105","0.583333"
"H05-1112","N03-1011","0.5"
"N03-1011","H05-1112","0.5"
"J06-1005","S01-1031","1"
"S01-1031","J06-1005","1"
"N12-1050","P06-2038","2"
"P06-2038","N12-1050","2"
"P06-2105","P11-1059","1"
"P11-1059","P06-2105","1"
"P99-1020","W98-0703","8"
"W98-0703","P99-1020","8"
"W00-1104","W98-0703","1"
"W98-0703","W00-1104","1"
"W04-2609","W06-3122","0.5"
"W06-3122","W04-2609","0.5"
"W04-2610","W06-3122","0.5"
"W06-3122","W04-2610","0.5"
