"2004.jeptalnrecital-poster.21","da-silva-etal-2004-cluster","2"
"P10-1150","D09-1099","2.76154"
"D09-1099","P11-1162","0.594877"
"P11-1162","D09-1099","0.594877"
"D09-1099","W12-4107","0.678211"
"W12-4107","D09-1099","0.678211"
"D10-1108","D11-1011","1.49488"
"D11-1011","D10-1108","1.49488"
"D10-1108","P08-1119","3.43377"
"P08-1119","D10-1108","3.43377"
"D10-1108","P10-1150","1.79488"
"P10-1150","D10-1108","1.79488"
"D10-1108","P11-1162","0.744877"
"P11-1162","D10-1108","0.744877"
"D10-1108","W12-4107","1.09488"
"W12-4107","D10-1108","1.09488"
"D11-1011","P08-1119","0.683766"
"P08-1119","D11-1011","0.683766"
"D11-1011","P10-1150","1.71154"
"P10-1150","D11-1011","1.71154"
"D11-1011","P11-1162","2.32821"
"P11-1162","D11-1011","2.32821"
"D11-1011","W12-4107","0.928211"
"W12-4107","D11-1011","0.928211"
"P08-1119","P10-1150","2.85043"
"P10-1150","P08-1119","2.85043"
"P08-1119","P11-1162","0.683766"
"P11-1162","P08-1119","0.683766"
"P08-1119","W12-4107","0.5671"
"W12-4107","P08-1119","0.5671"
"P10-1150","P11-1162","1.12821"
"P11-1162","P10-1150","1.12821"
"P10-1150","W12-4107","1.76154"
"W12-4107","P10-1150","1.76154"
"P11-1162","W12-4107","0.678211"
"W12-4107","P11-1162","0.678211"
"C12-2059","R11-1045","0.735354"
"R11-1045","C12-2059","0.735354"
"C12-2059","W09-2415","0.624242"
"W09-2415","C12-2059","0.624242"
"R11-1045","W09-2415","3.62424"
"W09-2415","R11-1045","3.62424"
"R11-1045","W12-4107","0.785354"
"W12-4107","R11-1045","0.785354"
"W09-2415","W12-4107","1.42424"
"W12-4107","W09-2415","1.42424"
"C12-2059","N10-1087","1.03535"
"N10-1087","C12-2059","1.03535"
"C12-2059","P16-2018","0.70202"
"P16-2018","C12-2059","0.70202"
"D09-1099","N10-1087","0.20202"
"N10-1087","D09-1099","0.20202"
"D09-1099","P16-2018","0.20202"
"P16-2018","D09-1099","0.20202"
"D09-1099","R11-1045","0.20202"
"R11-1045","D09-1099","0.20202"
"D09-1099","W09-2415","0.0909091"
"W09-2415","D09-1099","0.0909091"
"D10-1108","N10-1087","0.70202"
"N10-1087","D10-1108","0.70202"
"D10-1108","P16-2018","0.20202"
"P16-2018","D10-1108","0.20202"
"D10-1108","R11-1045","0.65202"
"R11-1045","D10-1108","0.65202"
"D10-1108","W09-2415","0.290909"
"W09-2415","D10-1108","0.290909"
"D11-1011","N10-1087","0.535354"
"N10-1087","D11-1011","0.535354"
"D11-1011","P16-2018","0.20202"
"P16-2018","D11-1011","0.20202"
"D11-1011","R11-1045","1.15202"
"R11-1045","D11-1011","1.15202"
"D11-1011","W09-2415","0.790909"
"W09-2415","D11-1011","0.790909"
"N10-1087","P08-1119","0.0909091"
"P08-1119","N10-1087","0.0909091"
"N10-1087","P10-1150","2.53535"
"P10-1150","N10-1087","2.53535"
"N10-1087","P11-1162","0.20202"
"P11-1162","N10-1087","0.20202"
"N10-1087","P16-2018","1.20202"
"P16-2018","N10-1087","1.20202"
"N10-1087","R11-1045","0.20202"
"R11-1045","N10-1087","0.20202"
"N10-1087","W09-2415","0.0909091"
"W09-2415","N10-1087","0.0909091"
"N10-1087","W12-4107","0.20202"
"W12-4107","N10-1087","0.20202"
"P08-1119","P16-2018","0.0909091"
"P16-2018","P08-1119","0.0909091"
"P08-1119","R11-1045","0.0909091"
"R11-1045","P08-1119","0.0909091"
"P08-1119","W09-2415","0.0909091"
"W09-2415","P08-1119","0.0909091"
"P10-1150","P16-2018","0.20202"
"P16-2018","P10-1150","0.20202"
"P10-1150","R11-1045","0.45202"
"R11-1045","P10-1150","0.45202"
"P10-1150","W09-2415","0.0909091"
"W09-2415","P10-1150","0.0909091"
"P11-1162","P16-2018","0.70202"
"P16-2018","P11-1162","0.70202"
"P11-1162","R11-1045","0.40202"
"R11-1045","P11-1162","0.40202"
"P11-1162","W09-2415","0.290909"
"W09-2415","P11-1162","0.290909"
"P16-2018","R11-1045","1.20202"
"R11-1045","P16-2018","1.20202"
"P16-2018","W09-2415","0.0909091"
"W09-2415","P16-2018","0.0909091"
"P16-2018","W12-4107","0.20202"
"W12-4107","P16-2018","0.20202"
"C12-2059","W11-2213","0.5"
"W11-2213","C12-2059","0.5"
"D10-1108","W11-2213","0.5"
"W11-2213","D10-1108","0.5"
"D09-1099","W07-1703","0.833333"
"W07-1703","D09-1099","0.833333"
"P08-1119","W07-1703","1.83333"
"W07-1703","P08-1119","1.83333"
"P10-1150","W07-1703","0.333333"
"W07-1703","P10-1150","0.333333"
"D19-1402","P16-2018","0.5"
"P16-2018","D19-1402","0.5"
"D19-1506","P16-2018","0.5"
"P16-2018","D19-1506","0.5"
"E06-3004","P16-2018","2"
"P16-2018","E06-3004","2"
"P13-1067","S07-1072","2"
"S07-1072","P13-1067","2"
"R11-1045","S13-2025","2.5"
"S13-2025","R11-1045","2.5"
"S13-2025","W09-2415","2.5"
"W09-2415","S13-2025","2.5"
"S07-1073","W11-2213","3"
"W11-2213","S07-1073","3"
"S07-1073","W07-1703","1"
"W07-1703","S07-1073","1"
"W07-1703","W11-2213","1"
"W11-2213","W07-1703","1"
"S10-1006","W09-2415","1"
"W09-2415","S10-1006","1"
"W06-2004","W07-1703","1"
"W07-1703","W06-2004","1"
