"2005.jeptalnrecital-long.12","W05-0209","1"
"W09-1206","johansson-nugues-2006-construction","0.111111"
"johansson-nugues-2006-construction","W09-4621","0.111111"
"W09-4621","johansson-nugues-2006-construction","0.111111"
"johansson-nugues-2008-comparing","W09-1206","0.611111"
"W09-1206","johansson-nugues-2008-comparing","0.611111"
"johansson-nugues-2008-comparing","W09-4621","0.111111"
"W09-4621","johansson-nugues-2008-comparing","0.111111"
"P06-2057","W05-0624","0.111111"
"W05-0624","P06-2057","0.111111"
"P06-2057","W09-1206","0.111111"
"W09-1206","P06-2057","0.111111"
"P06-2057","W09-4621","0.111111"
"W09-4621","P06-2057","0.111111"
"W04-0908","W05-0624","0.111111"
"W05-0624","W04-0908","0.111111"
"W04-0908","W09-1206","0.111111"
"W09-1206","W04-0908","0.111111"
"W04-0908","W09-4621","0.111111"
"W09-4621","W04-0908","0.111111"
"W05-0624","W09-1206","0.111111"
"W09-1206","W05-0624","0.111111"
"W05-0624","W09-4621","0.111111"
"W09-4621","W05-0624","0.111111"
"C08-1050","W11-1905","0.2"
"W11-1905","C08-1050","0.2"
"C08-1050","W12-4505","0.2"
"W12-4505","C08-1050","0.2"
"D07-1123","johansson-nugues-2008-comparing","0.2"
"johansson-nugues-2008-comparing","D07-1123","0.2"
"D07-1123","W11-1905","0.2"
"W11-1905","D07-1123","0.2"
"D07-1123","W12-4505","0.2"
"W12-4505","D07-1123","0.2"
"johansson-nugues-2008-comparing","S07-1048","0.533333"
"S07-1048","johansson-nugues-2008-comparing","0.533333"
"johansson-nugues-2008-comparing","W11-1905","0.2"
"W11-1905","johansson-nugues-2008-comparing","0.2"
"johansson-nugues-2008-comparing","W12-4505","0.2"
"W12-4505","johansson-nugues-2008-comparing","0.2"
"S07-1048","W11-1905","0.2"
"W11-1905","S07-1048","0.2"
"S07-1048","W12-4505","0.2"
"W12-4505","S07-1048","0.2"
"W11-1905","W12-4505","2.03333"
"W12-4505","W11-1905","2.03333"
"C08-1050","K15-1019","0.5"
"K15-1019","C08-1050","0.5"
"K15-1019","S07-1048","0.5"
"S07-1048","K15-1019","0.5"
"C08-1050","W08-2123","0.25"
"W08-2123","C08-1050","0.25"
"D08-1008","W08-2123","1.91667"
"W08-2123","D08-1008","1.91667"
"S07-1048","W08-2123","0.25"
"W08-2123","S07-1048","0.25"
"S07-1048","W09-1206","0.25"
"W09-1206","S07-1048","0.25"
"W08-2123","W09-1206","0.416667"
"W09-1206","W08-2123","0.416667"
"C10-1093","W07-2416","0.47619"
"W07-2416","C10-1093","0.47619"
"C10-1093","W06-2930","0.75"
"W06-2930","C10-1093","0.75"
"W06-2930","W09-3806","0.5"
"W09-3806","W06-2930","0.5"
"C10-1093","D08-1008","0.416667"
"D08-1008","C10-1093","0.416667"
"C10-1093","W08-2123","0.416667"
"W08-2123","C10-1093","0.416667"
"D07-1123","W06-2930","0.25"
"W06-2930","D07-1123","0.25"
"D07-1123","W08-2123","0.75"
"W08-2123","D07-1123","0.75"
"D08-1008","W06-2930","0.25"
"W06-2930","D08-1008","0.25"
"W06-2930","W08-2123","0.25"
"W08-2123","W06-2930","0.25"
"C10-1093","S15-1029","1.14286"
"S15-1029","C10-1093","1.14286"
"C10-1093","C16-1096","0.142857"
"C16-1096","C10-1093","0.142857"
"C10-1093","C16-2016","0.142857"
"C16-2016","C10-1093","0.142857"
"C10-1093","W15-2004","0.142857"
"W15-2004","C10-1093","0.142857"
"C16-1096","C16-2016","0.342857"
"C16-2016","C16-1096","0.342857"
"C16-1096","L16-1654","0.342857"
"L16-1654","C16-1096","0.342857"
"C16-1096","S07-1048","0.142857"
"S07-1048","C16-1096","0.142857"
"C16-1096","W15-2004","0.142857"
"W15-2004","C16-1096","0.142857"
"C16-2016","L16-1654","0.67619"
"L16-1654","C16-2016","0.67619"
"C16-2016","S07-1048","0.142857"
"S07-1048","C16-2016","0.142857"
"C16-2016","S15-1029","0.342857"
"S15-1029","C16-2016","0.342857"
"C16-2016","W07-2416","0.142857"
"W07-2416","C16-2016","0.142857"
"C16-2016","W15-2004","0.142857"
"W15-2004","C16-2016","0.142857"
"L16-1654","S15-1029","0.342857"
"S15-1029","L16-1654","0.342857"
"L16-1654","W07-2416","0.142857"
"W07-2416","L16-1654","0.142857"
"L16-1654","W15-2004","0.142857"
"W15-2004","L16-1654","0.142857"
"S07-1048","S15-1029","0.142857"
"S15-1029","S07-1048","0.142857"
"S07-1048","W15-2004","0.142857"
"W15-2004","S07-1048","0.142857"
"S15-1029","W07-2416","0.142857"
"W07-2416","S15-1029","0.142857"
"S15-1029","W15-2004","0.142857"
"W15-2004","S15-1029","0.142857"
"W07-2416","W15-2004","0.142857"
"W15-2004","W07-2416","0.142857"
"C10-1093","C10-3009","0.166667"
"C10-3009","C10-1093","0.166667"
"C10-1093","exner-nugues-2012-constructing","0.166667"
"exner-nugues-2012-constructing","C10-1093","0.166667"
"C10-1093","W09-1206","0.166667"
"W09-1206","C10-1093","0.166667"
"C10-1093","W09-4621","0.166667"
"W09-4621","C10-1093","0.166667"
"C10-3009","exner-nugues-2012-constructing","1.16667"
"exner-nugues-2012-constructing","C10-3009","1.16667"
"C10-3009","W08-2123","0.666667"
"W08-2123","C10-3009","0.666667"
"D08-1008","exner-nugues-2012-constructing","0.166667"
"exner-nugues-2012-constructing","D08-1008","0.166667"
"exner-nugues-2012-constructing","W08-2123","0.166667"
"W08-2123","exner-nugues-2012-constructing","0.166667"
"exner-nugues-2012-constructing","W09-1206","0.166667"
"W09-1206","exner-nugues-2012-constructing","0.166667"
"exner-nugues-2012-constructing","W09-4621","0.416667"
"W09-4621","exner-nugues-2012-constructing","0.416667"
"W08-2123","W09-4621","0.166667"
"W09-4621","W08-2123","0.166667"
"C10-3009","exner-nugues-2014-refractive","0.25"
"exner-nugues-2014-refractive","C10-3009","0.25"
"C10-3009","sundberg-etal-2012-visualizing","0.25"
"sundberg-etal-2012-visualizing","C10-3009","0.25"
"C16-1096","exner-nugues-2014-refractive","1.03333"
"exner-nugues-2014-refractive","C16-1096","1.03333"
"C16-1096","sundberg-etal-2012-visualizing","0.25"
"sundberg-etal-2012-visualizing","C16-1096","0.25"
"exner-nugues-2014-refractive","S15-1029","1.03333"
"S15-1029","exner-nugues-2014-refractive","1.03333"
"exner-nugues-2014-refractive","sundberg-etal-2012-visualizing","0.25"
"sundberg-etal-2012-visualizing","exner-nugues-2014-refractive","0.25"
"S15-1029","sundberg-etal-2012-visualizing","0.25"
"sundberg-etal-2012-visualizing","S15-1029","0.25"
"C10-3009","johansson-nugues-2008-comparing","0.5"
"johansson-nugues-2008-comparing","C10-3009","0.5"
"C16-1096","W17-0206","2.36667"
"W17-0206","C16-1096","2.36667"
"C16-2016","exner-nugues-2014-refractive","0.2"
"exner-nugues-2014-refractive","C16-2016","0.2"
"C16-2016","W17-0206","0.533333"
"W17-0206","C16-2016","0.533333"
"exner-nugues-2014-refractive","L16-1654","0.2"
"L16-1654","exner-nugues-2014-refractive","0.2"
"exner-nugues-2014-refractive","W17-0206","0.2"
"W17-0206","exner-nugues-2014-refractive","0.2"
"L16-1654","W17-0206","0.533333"
"W17-0206","L16-1654","0.533333"
"S15-1029","W17-0206","0.7"
"W17-0206","S15-1029","0.7"
"C16-1096","exner-nugues-2012-constructing","0.583333"
"exner-nugues-2012-constructing","C16-1096","0.583333"
"exner-nugues-2012-constructing","exner-nugues-2014-refractive","0.583333"
"exner-nugues-2014-refractive","exner-nugues-2012-constructing","0.583333"
"exner-nugues-2012-constructing","S15-1029","0.583333"
"S15-1029","exner-nugues-2012-constructing","0.583333"
"johansson-nugues-2006-construction","W17-0206","0.666667"
"W17-0206","johansson-nugues-2006-construction","0.666667"
"P06-2057","W17-0206","0.666667"
"W17-0206","P06-2057","0.666667"
"exner-nugues-2014-refractive","W09-4621","0.25"
"W09-4621","exner-nugues-2014-refractive","0.25"
"C16-2016","L18-1540","1"
"L18-1540","C16-2016","1"
"C16-2016","W17-0227","2.66667"
"W17-0227","C16-2016","2.66667"
"C16-2016","W19-6148","0.333333"
"W19-6148","C16-2016","0.333333"
"L18-1540","W17-0227","0.666667"
"W17-0227","L18-1540","0.666667"
"L18-1540","W19-6148","0.333333"
"W19-6148","L18-1540","0.333333"
"W17-0227","W19-6148","0.333333"
"W19-6148","W17-0227","0.333333"
"L16-1654","L18-1540","0.333333"
"L18-1540","L16-1654","0.333333"
"L18-1540","W17-0206","1.33333"
"W17-0206","L18-1540","1.33333"
"C16-2016","W16-4410","0.333333"
"W16-4410","C16-2016","0.333333"
"L18-1540","W16-4410","0.333333"
"W16-4410","L18-1540","0.333333"
"W16-4410","W17-0227","0.333333"
"W17-0227","W16-4410","0.333333"
"D08-1008","W09-3806","0.25"
"W09-3806","D08-1008","0.25"
"johansson-nugues-2008-comparing","W08-2123","0.25"
"W08-2123","johansson-nugues-2008-comparing","0.25"
"johansson-nugues-2008-comparing","W09-3806","0.25"
"W09-3806","johansson-nugues-2008-comparing","0.25"
"W07-2416","W08-2123","0.25"
"W08-2123","W07-2416","0.25"
"W07-2416","W09-3806","0.25"
"W09-3806","W07-2416","0.25"
"W08-2123","W09-3806","0.25"
"W09-3806","W08-2123","0.25"
"dutoit-etal-2004-integral","dutoit-nugues-2002-algorithm","1"
"dutoit-nugues-2002-algorithm","dutoit-etal-2004-integral","1"
"E03-2002","W04-0908","1.5"
"W04-0908","E03-2002","1.5"
"E03-2002","E06-1049","0.5"
"E06-1049","E03-2002","0.5"
"E06-1049","W04-0908","0.5"
"W04-0908","E06-1049","0.5"
"E06-2013","S07-1048","0.5"
"S07-1048","E06-2013","0.5"
"S07-1048","W05-0624","0.5"
"W05-0624","S07-1048","0.5"
"K15-1019","L18-1540","1"
"L18-1540","K15-1019","1"
"W04-0908","W11-1905","0.333333"
"W11-1905","W04-0908","0.333333"
"W04-0908","W12-4505","0.333333"
"W12-4505","W04-0908","0.333333"
"W04-0908","W17-0206","0.333333"
"W17-0206","W04-0908","0.333333"
"W11-1905","W17-0206","0.833333"
"W17-0206","W11-1905","0.833333"
"W12-4505","W17-0206","1.83333"
"W17-0206","W12-4505","1.83333"
"W17-0211","W17-0227","1"
"W17-0227","W17-0211","1"
