"W18-6706","P16-1093","0.142857"
"P16-1093","Y14-1063","1.64286"
"Y14-1063","P16-1093","1.64286"
"P16-4020","W17-0408","0.142857"
"W17-0408","P16-4020","0.142857"
"P16-4020","W17-6306","0.142857"
"W17-6306","P16-4020","0.142857"
"P16-4020","W18-6706","0.142857"
"W18-6706","P16-4020","0.142857"
"P16-4020","Y14-1063","0.642857"
"Y14-1063","P16-4020","0.642857"
"W17-0408","W17-6306","1.64286"
"W17-6306","W17-0408","1.64286"
"W17-0408","W18-6706","0.142857"
"W18-6706","W17-0408","0.142857"
"W17-0408","Y14-1063","0.142857"
"Y14-1063","W17-0408","0.142857"
"W17-6306","W18-6706","0.142857"
"W18-6706","W17-6306","0.142857"
"W17-6306","Y14-1063","0.142857"
"Y14-1063","W17-6306","0.142857"
"W18-6706","Y14-1063","0.142857"
"Y14-1063","W18-6706","0.142857"
"L18-1647","P12-2049","0.5"
"P12-2049","L18-1647","0.5"
"P12-2049","W17-0408","0.5"
"W17-0408","P12-2049","0.5"
"L18-1647","W16-5403","0.333333"
"W16-5403","L18-1647","0.333333"
"L18-1647","W17-6530","0.333333"
"W17-6530","L18-1647","0.333333"
"W16-5403","W17-6530","3.83333"
"W17-6530","W16-5403","3.83333"
"W16-5403","W18-6706","0.333333"
"W18-6706","W16-5403","0.333333"
"W17-6530","W18-6706","0.333333"
"W18-6706","W17-6530","0.333333"
"lee-haug-2010-porting","W12-1011","0.5"
"W12-1011","lee-haug-2010-porting","0.5"
"lee-haug-2010-porting","Y14-1063","0.5"
"Y14-1063","lee-haug-2010-porting","0.5"
"W12-1011","Y14-1063","0.5"
"Y14-1063","W12-1011","0.5"
"N04-2006","W09-3010","1"
"W09-3010","N04-2006","1"
"N07-2024","P07-1011","4.25"
"P07-1011","N07-2024","4.25"
"N07-2024","P08-1021","0.75"
"P08-1021","N07-2024","0.75"
"P07-1011","P08-1021","0.75"
"P08-1021","P07-1011","0.75"
"N07-2024","P16-1093","0.25"
"P16-1093","N07-2024","0.25"
"N07-2024","P16-4020","0.25"
"P16-4020","N07-2024","0.25"
"P07-1011","P16-1093","0.25"
"P16-1093","P07-1011","0.25"
"P07-1011","P16-4020","0.25"
"P16-4020","P07-1011","0.25"
"P08-1021","P16-1093","0.25"
"P16-1093","P08-1021","0.25"
"P08-1021","P16-4020","0.25"
"P16-4020","P08-1021","0.25"
"N07-2024","W09-3010","0.5"
"W09-3010","N07-2024","0.5"
"P07-1011","W09-3010","0.5"
"W09-3010","P07-1011","0.5"
"P06-2113","P07-1060","1"
"P07-1060","P06-2113","1"
"P08-1021","P12-2049","1"
"P12-2049","P08-1021","1"
"P12-2049","Y14-1063","1"
"Y14-1063","P12-2049","1"
"P16-1093","W17-5015","3"
"W17-5015","P16-1093","3"
"P16-1093","U19-1021","2"
"U19-1021","P16-1093","2"
"P16-1093","W17-5903","1.5"
"W17-5903","P16-1093","1.5"
"P16-4020","U19-1021","1"
"U19-1021","P16-4020","1"
"P16-4020","W17-5015","1"
"W17-5015","P16-4020","1"
"U19-1021","W17-5015","4.5"
"W17-5015","U19-1021","4.5"
"U19-1021","W17-5903","1.5"
"W17-5903","U19-1021","1.5"
"W17-5015","W17-5903","2"
"W17-5903","W17-5015","2"
"W12-1011","Y12-1022","1"
"Y12-1022","W12-1011","1"
"W15-5949","W18-1809","1"
"W18-1809","W15-5949","1"
"W17-6530","W18-1809","0.5"
"W18-1809","W17-6530","0.5"
"W16-5403","Y12-1022","1"
"Y12-1022","W16-5403","1"
"W17-5015","W18-1809","0.5"
"W18-1809","W17-5015","0.5"
"W17-5903","W18-1809","0.5"
"W18-1809","W17-5903","0.5"
