graph_labels,name,PaperCount_field,CitationCount_field,hIndex_field
1,1,274.0,28.394160583941606,45.0
0,111,95.0,119.54736842105264,32.0
0,211,70.0,43.1,25.0
0,227,68.0,18.470588235294116,17.0
0,103,98.0,78.68367346938776,41.0
0,125,91.0,46.18681318681319,32.0
0,43,140.0,20.77857142857143,30.0
0,115,94.0,13.47872340425532,18.0
0,207,72.0,17.76388888888889,18.0
0,93,101.0,45.0990099009901,35.0
1,41,142.0,117.09154929577464,50.0
0,124,91.0,22.692307692307693,25.0
0,158,81.0,33.23456790123457,22.0
0,152,83.0,27.97590361445783,23.0
1,77,109.0,150.348623853211,39.0
0,237,67.0,8.880597014925373,12.0
0,83,106.0,13.5,20.0
0,27,161.0,37.149068322981364,38.0
0,176,77.0,10.090909090909092,16.0
1,112,95.0,18.652631578947368,21.0
0,36,147.0,27.891156462585034,36.0
0,221,68.0,33.529411764705884,21.0
0,130,90.0,13.044444444444444,19.0
0,149,84.0,59.98809523809524,32.0
1,127,90.0,39.48888888888889,27.0
0,32,154.0,10.941558441558442,20.0
0,194,74.0,31.5,21.0
0,28,158.0,35.651898734177216,34.0
0,64,119.0,19.88235294117647,28.0
0,201,72.0,34.52777777777778,27.0
1,65,117.0,31.34188034188034,29.0
0,72,113.0,0.8141592920353983,4.0
0,189,75.0,7.44,12.0
0,120,92.0,9.141304347826088,15.0
0,4,237.0,12.734177215189874,26.0
0,197,73.0,12.082191780821917,15.0
0,166,80.0,8.2375,15.0
0,92,102.0,32.3921568627451,21.0
1,7,221.0,37.23529411764706,50.0
0,160,81.0,13.938271604938272,16.0
0,8,217.0,18.18433179723502,34.0
0,128,90.0,15.122222222222222,22.0
0,179,77.0,34.532467532467535,28.0
0,76,110.0,46.57272727272727,35.0
0,187,75.0,12.32,14.0
1,215,70.0,44.52857142857143,24.0
1,11,207.0,43.130434782608695,51.0
1,154,83.0,34.44578313253012,24.0
0,148,85.0,14.776470588235295,21.0
0,136,88.0,34.42045454545455,30.0
0,219,69.0,43.01449275362319,20.0
0,57,121.0,12.421487603305785,19.0
0,107,97.0,30.432989690721648,32.0
0,123,92.0,61.15217391304348,37.0
0,172,79.0,67.77215189873418,34.0
1,178,77.0,100.67532467532467,37.0
0,110,96.0,16.9375,18.0
0,229,68.0,10.0,14.0
0,99,100.0,6.37,11.0
0,21,172.0,81.02325581395348,55.0
1,226,68.0,33.98529411764706,20.0
1,190,75.0,52.42666666666667,30.0
0,184,76.0,16.86842105263158,17.0
0,62,119.0,27.310924369747898,26.0
0,132,89.0,4.730337078651686,13.0
0,58,121.0,34.33884297520661,40.0
0,23,166.0,31.783132530120483,39.0
1,25,161.0,140.27950310559007,72.0
0,140,87.0,15.045977011494253,17.0
0,170,79.0,12.708860759493671,13.0
1,71,114.0,137.98245614035088,47.0
0,79,108.0,43.22222222222222,34.0
0,109,96.0,21.864583333333332,25.0
0,212,70.0,41.94285714285714,27.0
0,54,125.0,23.208,29.0
0,139,87.0,48.50574712643678,34.0
0,5,231.0,0.6753246753246753,5.0
0,87,103.0,36.52427184466019,32.0
0,56,121.0,0.628099173553719,3.0
0,53,126.0,9.11111111111111,17.0
0,114,94.0,14.180851063829786,16.0
0,100,100.0,27.31,25.0
0,153,83.0,31.012048192771083,23.0
0,137,88.0,65.2159090909091,35.0
0,183,76.0,9.947368421052632,14.0
0,126,91.0,8.989010989010989,16.0
0,95,101.0,9.099009900990099,17.0
1,40,142.0,31.077464788732396,32.0
0,228,68.0,24.823529411764707,17.0
1,113,95.0,27.33684210526316,25.0
0,180,77.0,23.662337662337663,21.0
1,16,186.0,59.94086021505376,58.0
0,173,78.0,0.28205128205128205,2.0
0,144,85.0,0.8235294117647058,4.0
