"2020.lrec-1.720","2020.semeval-1.3","7"
"ljubesic-toral-2014-cawac","rubino-etal-2014-quality","0.333333"
"rubino-etal-2014-quality","ljubesic-toral-2014-cawac","0.333333"
"ljubesic-toral-2014-cawac","W14-0405","0.333333"
"W14-0405","ljubesic-toral-2014-cawac","0.333333"
"ljubesic-toral-2014-cawac","W15-3022","0.333333"
"W15-3022","ljubesic-toral-2014-cawac","0.333333"
"ljubesic-toral-2014-cawac","W16-3421","0.333333"
"W16-3421","ljubesic-toral-2014-cawac","0.333333"
"rubino-etal-2014-quality","W14-0405","0.333333"
"W14-0405","rubino-etal-2014-quality","0.333333"
"rubino-etal-2014-quality","W15-3022","0.333333"
"W15-3022","rubino-etal-2014-quality","0.333333"
"rubino-etal-2014-quality","W16-3421","0.333333"
"W16-3421","rubino-etal-2014-quality","0.333333"
"W14-0405","W15-3022","0.333333"
"W15-3022","W14-0405","0.333333"
"W14-0405","W16-3421","0.666667"
"W16-3421","W14-0405","0.666667"
"W15-3022","W16-3421","0.333333"
"W16-3421","W15-3022","0.333333"
"fiser-etal-2012-addressing","R11-1018","1"
"R11-1018","fiser-etal-2012-addressing","1"
"L16-1242","R15-1049","1.33333"
"R15-1049","L16-1242","1.33333"
"L16-1242","R15-1050","0.25"
"R15-1050","L16-1242","0.25"
"L16-1242","W13-2408","0.583333"
"W13-2408","L16-1242","0.583333"
"L16-1242","W14-0405","0.642857"
"W14-0405","L16-1242","0.642857"
"L16-1242","W15-5301","0.583333"
"W15-5301","L16-1242","0.583333"
"R15-1050","W14-0405","0.25"
"W14-0405","R15-1050","0.25"
"R15-1050","W15-5301","0.25"
"W15-5301","R15-1050","0.25"
"W13-2408","W15-5301","0.25"
"W15-5301","W13-2408","0.25"
"W14-0405","W15-5301","0.25"
"W15-5301","W14-0405","0.25"
"L16-1242","L16-1676","2.05952"
"L16-1676","L16-1242","2.05952"
"L16-1676","R15-1049","0.333333"
"R15-1049","L16-1676","0.333333"
"L16-1676","W13-2408","0.666667"
"W13-2408","L16-1676","0.666667"
"R15-1049","W13-2408","0.333333"
"W13-2408","R15-1049","0.333333"
"L16-1242","ljubesic-etal-2014-tweetcat","0.5"
"ljubesic-etal-2014-tweetcat","L16-1242","0.5"
"L16-1242","W16-3904","0.5"
"W16-3904","L16-1242","0.5"
"ljubesic-etal-2014-tweetcat","W16-3904","0.5"
"W16-3904","ljubesic-etal-2014-tweetcat","0.5"
"L16-1242","W14-5307","0.142857"
"W14-5307","L16-1242","0.142857"
"L16-1242","W15-5401","0.142857"
"W15-5401","L16-1242","0.142857"
"L16-1242","W16-4801","0.142857"
"W16-4801","L16-1242","0.142857"
"L16-1242","W17-1201","0.142857"
"W17-1201","L16-1242","0.142857"
"L16-1242","W18-3917","0.142857"
"W18-3917","L16-1242","0.142857"
"L16-1676","W14-0405","2.22619"
"W14-0405","L16-1676","2.22619"
"L16-1676","W14-5307","0.142857"
"W14-5307","L16-1676","0.142857"
"L16-1676","W15-5401","0.142857"
"W15-5401","L16-1676","0.142857"
"L16-1676","W16-4801","0.142857"
"W16-4801","L16-1676","0.142857"
"L16-1676","W17-1201","0.142857"
"W17-1201","L16-1676","0.142857"
"L16-1676","W18-3917","0.142857"
"W18-3917","L16-1676","0.142857"
"W14-0405","W14-5307","0.142857"
"W14-5307","W14-0405","0.142857"
"W14-0405","W15-5401","0.142857"
"W15-5401","W14-0405","0.142857"
"W14-0405","W16-4801","0.142857"
"W16-4801","W14-0405","0.142857"
"W14-0405","W17-1201","0.142857"
"W17-1201","W14-0405","0.142857"
"W14-0405","W18-3917","0.142857"
"W18-3917","W14-0405","0.142857"
"W14-5307","W18-3917","0.142857"
"W18-3917","W14-5307","0.142857"
"W15-5401","W18-3917","0.142857"
"W18-3917","W15-5401","0.142857"
"W16-4801","W18-3917","0.142857"
"W18-3917","W16-4801","0.142857"
"W17-1201","W18-3917","0.142857"
"W18-3917","W17-1201","0.142857"
"L16-1242","W17-1410","0.25"
"W17-1410","L16-1242","0.25"
"L16-1242","W18-3901","0.25"
"W18-3901","L16-1242","0.25"
"L16-1676","W17-1410","0.25"
"W17-1410","L16-1676","0.25"
"L16-1676","W18-3901","0.25"
"W18-3901","L16-1676","0.25"
"W14-0405","W17-1410","0.25"
"W17-1410","W14-0405","0.25"
"W14-0405","W18-3901","1.75"
"W18-3901","W14-0405","1.75"
"W17-1410","W18-3901","0.75"
"W18-3901","W17-1410","0.75"
"L16-1242","W19-3704","0.333333"
"W19-3704","L16-1242","0.333333"
"L16-1676","W19-3704","0.333333"
"W19-3704","L16-1676","0.333333"
"W15-5301","W19-3704","0.333333"
"W19-3704","W15-5301","0.333333"
"L16-1676","ljubesic-etal-2014-tweetcat","1"
"ljubesic-etal-2014-tweetcat","L16-1676","1"
"L16-1676","W15-5306","0.333333"
"W15-5306","L16-1676","0.333333"
"W13-2408","W15-5306","0.333333"
"W15-5306","W13-2408","0.333333"
"W14-0405","W15-5306","0.333333"
"W15-5306","W14-0405","0.333333"
"L16-1676","W17-1407","0.5"
"W17-1407","L16-1676","0.5"
"W14-0405","W17-1407","0.5"
"W17-1407","W14-0405","0.5"
"ljubesic-etal-2014-tweetcat","R15-1049","0.5"
"R15-1049","ljubesic-etal-2014-tweetcat","0.5"
"R15-1049","W14-0405","0.5"
"W14-0405","R15-1049","0.5"
"ljubesic-etal-2014-tweetcat","W16-4801","1"
"W16-4801","ljubesic-etal-2014-tweetcat","1"
"ljubesic-etal-2014-tweetcat","R11-1018","0.5"
"R11-1018","ljubesic-etal-2014-tweetcat","0.5"
"ljubesic-etal-2014-tweetcat","W13-2411","0.5"
"W13-2411","ljubesic-etal-2014-tweetcat","0.5"
"R11-1018","W13-2411","0.5"
"W13-2411","R11-1018","0.5"
"P18-2061","W14-5307","1"
"W14-5307","P18-2061","1"
"P18-2061","W17-2901","1"
"W17-2901","P18-2061","1"
"W13-2408","W18-3901","0.5"
"W18-3901","W13-2408","0.5"
"W13-2411","W14-0405","1"
"W14-0405","W13-2411","1"
"W14-0405","W14-4210","0.666667"
"W14-4210","W14-0405","0.666667"
"W14-0405","W16-4813","0.666667"
"W16-4813","W14-0405","0.666667"
"W14-4210","W16-3421","0.833333"
"W16-3421","W14-4210","0.833333"
"W14-4210","W16-4813","0.666667"
"W16-4813","W14-4210","0.666667"
"W16-3421","W16-4813","0.333333"
"W16-4813","W16-3421","0.333333"
"W14-0405","W16-3422","0.333333"
"W16-3422","W14-0405","0.333333"
"W14-4210","W16-3422","1.83333"
"W16-3422","W14-4210","1.83333"
"W16-3422","W16-4813","0.333333"
"W16-4813","W16-3422","0.333333"
"W16-3421","W16-3422","0.5"
"W16-3422","W16-3421","0.5"
"W15-5301","W17-1407","1"
"W17-1407","W15-5301","1"
"W17-1410","W18-3917","0.5"
"W18-3917","W17-1410","0.5"
"W18-3901","W18-3917","0.5"
"W18-3917","W18-3901","0.5"
"W17-3007","W18-5116","1"
"W18-5116","W17-3007","1"
