"2003.mtsummit-papers.30","2003.mtsummit-papers.41","1"
"loaiciga-etal-2014-english","W13-3305","1"
"W13-3305","loaiciga-etal-2014-english","1"
"loaiciga-etal-2014-english","W16-2345","2"
"W16-2345","loaiciga-etal-2014-english","2"
"N18-1124","W17-4701","1"
"W17-4701","N18-1124","1"
"P11-4014","P13-2115","1"
"P13-2115","P11-4014","1"
"P98-2172","W04-0710","1"
"W04-0710","P98-2172","1"
"popescu-belis-etal-2004-online","W04-0710","1"
"W04-0710","popescu-belis-etal-2004-online","1"
"W11-1211","W11-2022","0.5"
"W11-2022","W11-1211","0.5"
"W15-2513","W16-3416","1"
"W16-3416","W15-2513","1"
"W16-2345","W17-4802","2"
"W17-4802","W16-2345","2"
