"2020.lrec-1.768","2021.wanlp-1.36","5"
"L16-1577","palmer-etal-2008-pilot","0.225"
"palmer-etal-2008-pilot","L16-1577","0.225"
"L16-1577","W10-1836","0.225"
"W10-1836","L16-1577","0.225"
"L16-1577","W12-2015","0.1"
"W12-2015","L16-1577","0.1"
"L16-1577","W12-2511","0.225"
"W12-2511","L16-1577","0.225"
"L16-1577","W14-3605","0.1"
"W14-3605","L16-1577","0.1"
"L16-1577","W15-3204","0.1"
"W15-3204","L16-1577","0.1"
"L16-1577","W15-3209","1.6"
"W15-3209","L16-1577","1.6"
"maamouri-etal-2010-speech","palmer-etal-2008-pilot","0.586111"
"palmer-etal-2008-pilot","maamouri-etal-2010-speech","0.586111"
"maamouri-etal-2010-speech","W10-1836","0.586111"
"W10-1836","maamouri-etal-2010-speech","0.586111"
"maamouri-etal-2010-speech","W12-2015","0.1"
"W12-2015","maamouri-etal-2010-speech","0.1"
"maamouri-etal-2010-speech","W12-2511","0.586111"
"W12-2511","maamouri-etal-2010-speech","0.586111"
"maamouri-etal-2010-speech","W14-3605","0.211111"
"W14-3605","maamouri-etal-2010-speech","0.211111"
"maamouri-etal-2010-speech","W15-3204","0.211111"
"W15-3204","maamouri-etal-2010-speech","0.211111"
"maamouri-etal-2010-speech","W15-3209","0.961111"
"W15-3209","maamouri-etal-2010-speech","0.961111"
"palmer-etal-2008-pilot","W10-1836","5.58611"
"W10-1836","palmer-etal-2008-pilot","5.58611"
"palmer-etal-2008-pilot","W12-2015","0.1"
"W12-2015","palmer-etal-2008-pilot","0.1"
"palmer-etal-2008-pilot","W12-2511","0.586111"
"W12-2511","palmer-etal-2008-pilot","0.586111"
"palmer-etal-2008-pilot","W14-3605","0.211111"
"W14-3605","palmer-etal-2008-pilot","0.211111"
"palmer-etal-2008-pilot","W15-3204","0.211111"
"W15-3204","palmer-etal-2008-pilot","0.211111"
"palmer-etal-2008-pilot","W15-3209","0.211111"
"W15-3209","palmer-etal-2008-pilot","0.211111"
"W10-1836","W12-2015","0.1"
"W12-2015","W10-1836","0.1"
"W10-1836","W12-2511","0.586111"
"W12-2511","W10-1836","0.586111"
"W10-1836","W14-3605","0.211111"
"W14-3605","W10-1836","0.211111"
"W10-1836","W15-3204","0.211111"
"W15-3204","W10-1836","0.211111"
"W10-1836","W15-3209","0.211111"
"W15-3209","W10-1836","0.211111"
"W12-2015","W12-2511","0.1"
"W12-2511","W12-2015","0.1"
"W12-2015","W14-3605","0.1"
"W14-3605","W12-2015","0.1"
"W12-2015","W15-3204","0.1"
"W15-3204","W12-2015","0.1"
"W12-2015","W15-3209","0.1"
"W15-3209","W12-2015","0.1"
"W12-2511","W14-3605","0.211111"
"W14-3605","W12-2511","0.211111"
"W12-2511","W15-3204","0.211111"
"W15-3204","W12-2511","0.211111"
"W12-2511","W15-3209","0.211111"
"W15-3209","W12-2511","0.211111"
"W14-3605","W15-3209","0.211111"
"W15-3209","W14-3605","0.211111"
"W15-3204","W15-3209","0.211111"
"W15-3209","W15-3204","0.211111"
"maamouri-etal-2010-speech","W15-1614","0.236111"
"W15-1614","maamouri-etal-2010-speech","0.236111"
"maamouri-etal-2010-speech","zaghouani-etal-2014-large","0.819444"
"zaghouani-etal-2014-large","maamouri-etal-2010-speech","0.819444"
"palmer-etal-2008-pilot","W15-1614","0.236111"
"W15-1614","palmer-etal-2008-pilot","0.236111"
"palmer-etal-2008-pilot","zaghouani-etal-2014-large","0.236111"
"zaghouani-etal-2014-large","palmer-etal-2008-pilot","0.236111"
"W10-1836","W15-1614","0.236111"
"W15-1614","W10-1836","0.236111"
"W10-1836","zaghouani-etal-2014-large","0.236111"
"zaghouani-etal-2014-large","W10-1836","0.236111"
"W12-2511","W15-1614","0.236111"
"W15-1614","W12-2511","0.236111"
"W12-2511","zaghouani-etal-2014-large","0.236111"
"zaghouani-etal-2014-large","W12-2511","0.236111"
"W15-1614","W15-3209","0.111111"
"W15-3209","W15-1614","0.111111"
"W15-3209","zaghouani-etal-2014-large","0.361111"
"zaghouani-etal-2014-large","W15-3209","0.361111"
"L16-1577","L18-1574","0.125"
"L18-1574","L16-1577","0.125"
"L16-1577","W15-1614","0.125"
"W15-1614","L16-1577","0.125"
"L16-1577","zaghouani-etal-2014-large","0.125"
"zaghouani-etal-2014-large","L16-1577","0.125"
"L18-1574","maamouri-etal-2010-speech","0.458333"
"maamouri-etal-2010-speech","L18-1574","0.458333"
"L18-1574","palmer-etal-2008-pilot","0.125"
"palmer-etal-2008-pilot","L18-1574","0.125"
"L18-1574","W10-1836","0.125"
"W10-1836","L18-1574","0.125"
"L18-1574","W12-2511","0.125"
"W12-2511","L18-1574","0.125"
"L16-1577","W16-4115","0.5"
"W16-4115","L16-1577","0.5"
"W15-3209","W16-4115","0.5"
"W16-4115","W15-3209","0.5"
"L18-1111","L18-1535","1.45"
"L18-1535","L18-1111","1.45"
"L18-1111","L18-1574","1.2"
"L18-1574","L18-1111","1.2"
"L18-1111","W14-3605","0.2"
"W14-3605","L18-1111","0.2"
"L18-1111","W15-3204","0.2"
"W15-3204","L18-1111","0.2"
"L18-1111","zaghouani-etal-2014-large","0.45"
"zaghouani-etal-2014-large","L18-1111","0.45"
"L18-1535","L18-1574","2.86667"
"L18-1574","L18-1535","2.86667"
"L18-1535","W14-3605","0.533333"
"W14-3605","L18-1535","0.533333"
"L18-1535","W15-3204","0.2"
"W15-3204","L18-1535","0.2"
"L18-1535","zaghouani-etal-2014-large","2.28333"
"zaghouani-etal-2014-large","L18-1535","2.28333"
"L18-1574","W14-3605","0.533333"
"W14-3605","L18-1574","0.533333"
"L18-1574","W15-3204","0.2"
"W15-3204","L18-1574","0.2"
"L18-1111","maamouri-etal-2010-speech","1"
"maamouri-etal-2010-speech","L18-1111","1"
"L18-1111","W15-3209","0.75"
"W15-3209","L18-1111","0.75"
"L18-1535","maamouri-etal-2010-speech","0.583333"
"maamouri-etal-2010-speech","L18-1535","0.583333"
"L18-1535","W15-3209","0.25"
"W15-3209","L18-1535","0.25"
"L18-1111","palmer-etal-2008-pilot","0.25"
"palmer-etal-2008-pilot","L18-1111","0.25"
"L18-1111","W10-1836","0.25"
"W10-1836","L18-1111","0.25"
"L18-1111","W12-2511","0.25"
"W12-2511","L18-1111","0.25"
"L18-1415","L18-1535","0.833333"
"L18-1535","L18-1415","0.833333"
"L18-1415","L18-1574","0.833333"
"L18-1574","L18-1415","0.833333"
"L18-1415","W14-3605","0.333333"
"W14-3605","L18-1415","0.333333"
"pouliquen-etal-2006-geocoding","zaghouani-etal-2010-adapting","1"
"zaghouani-etal-2010-adapting","pouliquen-etal-2006-geocoding","1"
"W14-3618","W15-1614","0.333333"
"W15-1614","W14-3618","0.333333"
