"2007.sigdial-1.10","2007.sigdial-1.9","1"
"C08-2003","E09-1085","0.75"
"E09-1085","C08-2003","0.75"
"C08-2003","W08-0113","0.5"
"W08-0113","C08-2003","0.5"
"E09-1085","W08-0113","1.14286"
"W08-0113","E09-1085","1.14286"
"C08-2003","N09-1043","0.25"
"N09-1043","C08-2003","0.25"
"C08-2003","W10-4302","0.25"
"W10-4302","C08-2003","0.25"
"C08-2003","W10-4308","0.25"
"W10-4308","C08-2003","0.25"
"W10-4302","W10-4308","0.25"
"W10-4308","W10-4302","0.25"
"C14-1170","E09-1081","0.142857"
"E09-1081","C14-1170","0.142857"
"C14-1170","E09-1085","0.142857"
"E09-1085","C14-1170","0.142857"
"C14-1170","E12-1052","0.142857"
"E12-1052","C14-1170","0.142857"
"C14-1170","W08-0113","0.142857"
"W08-0113","C14-1170","0.142857"
"C14-1170","W09-3905","0.309524"
"W09-3905","C14-1170","0.309524"
"C14-1170","W13-4030","0.642857"
"W13-4030","C14-1170","0.642857"
"C14-1170","W13-4048","0.309524"
"W13-4048","C14-1170","0.309524"
"W08-0113","W13-4030","0.142857"
"W13-4030","W08-0113","0.142857"
"W09-3905","W13-4030","0.642857"
"W13-4030","W09-3905","0.642857"
"C14-1170","N15-1031","0.5"
"N15-1031","C14-1170","0.5"
"C14-1170","W15-0124","0.333333"
"W15-0124","C14-1170","0.333333"
"N15-1031","W13-4030","0.75"
"W13-4030","N15-1031","0.75"
"N15-1031","W15-0124","0.333333"
"W15-0124","N15-1031","0.333333"
"W13-4030","W15-0124","0.333333"
"W15-0124","W13-4030","0.333333"
"C14-1170","W12-1643","0.166667"
"W12-1643","C14-1170","0.166667"
"C14-1170","W15-0125","0.166667"
"W15-0125","C14-1170","0.166667"
"N15-1031","W09-3905","0.166667"
"W09-3905","N15-1031","0.166667"
"N15-1031","W12-1643","0.166667"
"W12-1643","N15-1031","0.166667"
"N15-1031","W13-4048","0.166667"
"W13-4048","N15-1031","0.166667"
"N15-1031","W15-0125","0.166667"
"W15-0125","N15-1031","0.166667"
"W09-3905","W15-0125","0.166667"
"W15-0125","W09-3905","0.166667"
"W12-1643","W15-0125","0.166667"
"W15-0125","W12-1643","0.166667"
"W13-4030","W15-0125","0.166667"
"W15-0125","W13-4030","0.166667"
"W13-4048","W15-0125","0.166667"
"W15-0125","W13-4048","0.166667"
"D17-1100","E09-1081","1"
"E09-1081","D17-1100","1"
"D17-1100","W13-4030","0.5"
"W13-4030","D17-1100","0.5"
"D17-1100","W16-3637","0.5"
"W16-3637","D17-1100","0.5"
"W13-4030","W16-3637","0.666667"
"W16-3637","W13-4030","0.666667"
"E09-1081","P12-3018","2.33333"
"P12-3018","E09-1081","2.33333"
"E09-1081","W09-3943","0.47619"
"W09-3943","E09-1081","0.47619"
"N09-1043","P12-3018","0.5"
"P12-3018","N09-1043","0.5"
"N09-1043","W09-3943","0.47619"
"W09-3943","N09-1043","0.47619"
"P12-3018","W09-3943","0.333333"
"W09-3943","P12-3018","0.333333"
"W10-4308","W12-1814","2.08333"
"W12-1814","W10-4308","2.08333"
"E09-1081","W14-4312","0.5"
"W14-4312","E09-1081","0.5"
"W12-1814","W14-4312","1"
"W14-4312","W12-1814","1"
"E09-1081","W11-2015","1.58333"
"W11-2015","E09-1081","1.58333"
"E09-1085","W11-2015","1.75"
"W11-2015","E09-1085","1.75"
"W10-4308","W11-2015","0.25"
"W11-2015","W10-4308","0.25"
"W11-2015","W12-1814","0.25"
"W12-1814","W11-2015","0.25"
"W10-4342","W11-2015","0.333333"
"W11-2015","W10-4342","0.333333"
"P12-3018","W10-4308","0.333333"
"W10-4308","P12-3018","0.333333"
"P12-3018","W12-1814","1.5"
"W12-1814","P12-3018","1.5"
"E09-1085","W09-3943","0.142857"
"W09-3943","E09-1085","0.142857"
"E12-1052","W09-3943","0.142857"
"W09-3943","E12-1052","0.142857"
"W09-3905","W09-3943","0.142857"
"W09-3943","W09-3905","0.142857"
"W09-3943","W10-4302","0.142857"
"W10-4302","W09-3943","0.142857"
"W09-3943","W10-4342","0.142857"
"W10-4342","W09-3943","0.142857"
"N09-1043","W09-0509","0.333333"
"W09-0509","N09-1043","0.333333"
"P12-3018","W12-1641","0.833333"
"W12-1641","P12-3018","0.833333"
"E09-1081","W14-0212","0.333333"
"W14-0212","E09-1081","0.333333"
"W12-1814","W14-0212","0.333333"
"W14-0212","W12-1814","0.333333"
"W13-4048","W14-0212","0.333333"
"W14-0212","W13-4048","0.333333"
"E09-1081","P16-1058","0.333333"
"P16-1058","E09-1081","0.333333"
"P12-3018","P16-1058","0.333333"
"P16-1058","P12-3018","0.333333"
"P16-1058","W12-1814","0.333333"
"W12-1814","P16-1058","0.333333"
"E09-1081","W16-3630","0.333333"
"W16-3630","E09-1081","0.333333"
"E09-1081","W16-3631","0.333333"
"W16-3631","E09-1081","0.333333"
"W10-4342","W16-3630","0.333333"
"W16-3630","W10-4342","0.333333"
"W10-4342","W16-3631","0.333333"
"W16-3631","W10-4342","0.333333"
"W16-3630","W16-3631","0.333333"
"W16-3631","W16-3630","0.333333"
"E09-1085","P12-3018","0.166667"
"P12-3018","E09-1085","0.166667"
"E09-1085","W16-3637","0.166667"
"W16-3637","E09-1085","0.166667"
"N09-1043","W11-2015","0.166667"
"W11-2015","N09-1043","0.166667"
"N09-1043","W16-3637","0.166667"
"W16-3637","N09-1043","0.166667"
"P12-3018","W10-4302","0.166667"
"W10-4302","P12-3018","0.166667"
"P12-3018","W11-2015","0.166667"
"W11-2015","P12-3018","0.166667"
"P12-3018","W13-4030","0.166667"
"W13-4030","P12-3018","0.166667"
"P12-3018","W16-3637","0.166667"
"W16-3637","P12-3018","0.166667"
"W10-4302","W11-2015","0.166667"
"W11-2015","W10-4302","0.166667"
"W10-4302","W16-3637","0.166667"
"W16-3637","W10-4302","0.166667"
"W11-2015","W13-4030","0.166667"
"W13-4030","W11-2015","0.166667"
"W11-2015","W16-3637","0.166667"
"W16-3637","W11-2015","0.166667"
"W10-4308","W10-4342","0.583333"
"W10-4342","W10-4308","0.583333"
"E09-1085","W13-4042","2.75"
"W13-4042","E09-1085","2.75"
"W09-3905","W12-1641","0.333333"
"W12-1641","W09-3905","0.333333"
"N09-1043","W08-0113","0.5"
"W08-0113","N09-1043","0.5"
"E09-1085","W04-2325","0.333333"
"W04-2325","E09-1085","0.333333"
"W04-2325","W10-4308","0.333333"
"W10-4308","W04-2325","0.333333"
"W04-2325","W10-4342","0.333333"
"W10-4342","W04-2325","0.333333"
"W09-3905","W13-4042","1"
"W13-4042","W09-3905","1"
"E09-1085","L16-1019","0.5"
"L16-1019","E09-1085","0.5"
"E09-1085","P15-1029","0.5"
"P15-1029","E09-1085","0.5"
"L16-1019","P15-1029","1"
"P15-1029","L16-1019","1"
"E09-1085","N15-1031","0.25"
"N15-1031","E09-1085","0.25"
"E09-1085","W14-4312","0.25"
"W14-4312","E09-1085","0.25"
"N09-1043","N15-1031","0.25"
"N15-1031","N09-1043","0.25"
"N09-1043","W14-4312","0.25"
"W14-4312","N09-1043","0.25"
"N15-1031","W14-4312","0.25"
"W14-4312","N15-1031","0.25"
"W13-4030","W14-4312","0.25"
"W14-4312","W13-4030","0.25"
"E09-1085","W16-3630","0.5"
"W16-3630","E09-1085","0.5"
"W12-1814","W16-3630","0.5"
"W16-3630","W12-1814","0.5"
"E09-1085","W16-3632","0.25"
"W16-3632","E09-1085","0.25"
"W09-3905","W16-3632","0.5"
"W16-3632","W09-3905","0.5"
"W10-4342","W13-4042","0.25"
"W13-4042","W10-4342","0.25"
"W10-4342","W16-3632","0.25"
"W16-3632","W10-4342","0.25"
"W13-4042","W16-3632","0.5"
"W16-3632","W13-4042","0.5"
"E17-2014","P16-1115","2"
"P16-1115","E17-2014","2"
"E17-2014","P17-1023","1.5"
"P17-1023","E17-2014","1.5"
"P16-1115","P17-1023","1.5"
"P17-1023","P16-1115","1.5"
"E17-2014","P16-1058","0.5"
"P16-1058","E17-2014","0.5"
"P16-1058","P16-1115","2"
"P16-1115","P16-1058","2"
"I17-2061","W18-6563","1"
"W18-6563","I17-2061","1"
"L16-1019","W15-0124","0.5"
"W15-0124","L16-1019","0.5"
"P15-1029","W15-0124","0.5"
"W15-0124","P15-1029","0.5"
"L16-1019","W13-4030","1"
"W13-4030","L16-1019","1"
"L16-1019","P16-1058","1"
"P16-1058","L16-1019","1"
"L16-1019","W18-6547","1"
"W18-6547","L16-1019","1"
"L18-1333","W18-6906","1"
"W18-6906","L18-1333","1"
"P05-1031","W03-2106","2"
"W03-2106","P05-1031","2"
"P15-1029","P16-1115","5.5"
"P16-1115","P15-1029","5.5"
"P15-1029","W12-1814","1.5"
"W12-1814","P15-1029","1.5"
"P15-1029","W14-4312","1.5"
"W14-4312","P15-1029","1.5"
"P15-1029","W09-3905","0.583333"
"W09-3905","P15-1029","0.583333"
"P15-1029","W10-4302","0.333333"
"W10-4302","P15-1029","0.333333"
"P15-1029","W13-4030","0.333333"
"W13-4030","P15-1029","0.333333"
"P15-1029","P16-1058","1"
"P16-1058","P15-1029","1"
"P15-1029","W16-3630","2.75"
"W16-3630","P15-1029","2.75"
"P16-1115","W16-3630","0.5"
"W16-3630","P16-1115","0.5"
"P15-1029","W13-4042","0.25"
"W13-4042","P15-1029","0.25"
"P15-1029","W16-3632","0.25"
"W16-3632","P15-1029","0.25"
"W09-3905","W16-3630","0.25"
"W16-3630","W09-3905","0.25"
"W13-4042","W16-3630","0.25"
"W16-3630","W13-4042","0.25"
"W16-3630","W16-3632","0.25"
"W16-3632","W16-3630","0.25"
"P16-1058","W18-6563","1"
"W18-6563","P16-1058","1"
"P16-1058","W16-6642","0.5"
"W16-6642","P16-1058","0.5"
"P16-1115","W16-6642","0.5"
"W16-6642","P16-1115","0.5"
"P16-1058","W10-4342","1"
"W10-4342","P16-1058","1"
"P16-1058","W18-6547","1"
"W18-6547","P16-1058","1"
"P16-1115","W19-0424","1"
"W19-0424","P16-1115","1"
"W04-2325","W19-5938","1"
"W19-5938","W04-2325","1"
"W09-3905","W12-4705","1"
"W12-4705","W09-3905","1"
"W13-4048","W15-0124","1"
"W15-0124","W13-4048","1"
