"2020.argmining-1.13","2020.coling-main.402","1"
"W07-1604","P11-2089","0.125"
"Q16-1013","W07-1604","0.125"
"W07-1604","Q16-1013","0.125"
"Q16-1013","W10-1006","0.625"
"W10-1006","Q16-1013","0.625"
"W07-1604","W10-1006","0.625"
"W10-1006","W07-1604","0.625"
"D19-5504","E17-2037","1.33333"
"E17-2037","D19-5504","1.33333"
"D19-5504","Q19-1032","0.333333"
"Q19-1032","D19-5504","0.333333"
"D19-5504","W17-5019","0.333333"
"W17-5019","D19-5504","0.333333"
"E17-2037","W17-5019","0.333333"
"W17-5019","E17-2037","0.333333"
"Q19-1032","W17-5019","0.333333"
"W17-5019","Q19-1032","0.333333"
"D19-5504","W13-1706","0.333333"
"W13-1706","D19-5504","0.333333"
"D19-5504","W13-3601","0.333333"
"W13-3601","D19-5504","0.333333"
"D19-5504","W17-5007","0.333333"
"W17-5007","D19-5504","0.333333"
"W13-1706","W13-3601","1.33333"
"W13-3601","W13-1706","1.33333"
"W13-3601","W17-5007","1.83333"
"W17-5007","W13-3601","1.83333"
"E17-2037","W19-4449","1.33333"
"W19-4449","E17-2037","1.33333"
"P14-2029","W19-4449","0.333333"
"W19-4449","P14-2029","0.333333"
"P15-2097","W19-4449","0.333333"
"W19-4449","P15-2097","0.333333"
"E17-2037","W12-2005","0.333333"
"W12-2005","E17-2037","0.333333"
"N13-1055","W12-2005","1.33333"
"W12-2005","N13-1055","1.33333"
"P14-2029","W12-2005","0.333333"
"W12-2005","P14-2029","0.333333"
"E17-2037","W18-6105","1"
"W18-6105","E17-2037","1"
"E99-1031","P99-1079","1"
"P99-1079","E99-1031","1"
"E99-1031","J01-4003","1"
"J01-4003","E99-1031","1"
"han-etal-2010-using","W13-1706","1"
"W13-1706","han-etal-2010-using","1"
"han-etal-2010-using","W09-3010","1"
"W09-3010","han-etal-2010-using","1"
"J01-4003","P99-1079","2"
"P99-1079","J01-4003","2"
"J01-4003","swift-etal-2004-semi","1"
"swift-etal-2004-semi","J01-4003","1"
"N07-2001","N07-2011","1"
"N07-2011","N07-2001","1"
"N10-1099","N19-1373","1"
"N19-1373","N10-1099","1"
"N10-1099","W18-5023","3"
"W18-5023","N10-1099","3"
"N10-1099","Q16-1005","1"
"Q16-1005","N10-1099","1"
"N12-1019","N13-1055","1"
"N13-1055","N12-1019","1"
"N12-1019","P10-2065","1"
"P10-2065","N12-1019","1"
"N12-1029","N13-1055","1"
"N13-1055","N12-1029","1"
"N12-1029","W13-3601","0.5"
"W13-3601","N12-1029","0.5"
"N13-1055","W13-1706","0.5"
"W13-1706","N13-1055","0.5"
"N18-1012","P15-2097","3"
"P15-2097","N18-1012","3"
"N18-1012","W15-0620","1"
"W15-0620","N18-1012","1"
"N18-1012","Q16-1005","7"
"Q16-1005","N18-1012","7"
"N18-1012","P14-2029","2"
"P14-2029","N18-1012","2"
"N18-1012","W13-3601","1"
"W13-3601","N18-1012","1"
"P10-2065","W19-4449","0.5"
"W19-4449","P10-2065","0.5"
"W13-3601","W19-4449","0.5"
"W19-4449","W13-3601","0.5"
"P10-2065","P14-2029","1"
"P14-2029","P10-2065","1"
"P10-2065","W12-2005","0.5"
"W12-2005","P10-2065","0.5"
"W12-2005","W13-3601","1.5"
"W13-3601","W12-2005","1.5"
"P11-2089","W09-3010","0.25"
"W09-3010","P11-2089","0.25"
"W09-3010","W10-1006","0.25"
"W10-1006","W09-3010","0.25"
"W09-3010","W13-3601","0.25"
"W13-3601","W09-3010","0.25"
"P14-2029","W08-1205","0.2"
"W08-1205","P14-2029","0.2"
"P14-2029","W11-2111","0.2"
"W11-2111","P14-2029","0.2"
"P15-2097","W11-2111","0.2"
"W11-2111","P15-2097","0.2"
"Q16-1013","W11-2111","0.2"
"W11-2111","Q16-1013","0.2"
"W11-2111","W13-3601","0.2"
"W13-3601","W11-2111","0.2"
"Q16-1005","W13-3601","0.5"
"W13-3601","Q16-1005","0.5"
"Q16-1005","W17-0802","1"
"W17-0802","Q16-1005","1"
"swift-etal-2004-semi","W04-0214","2"
"W04-0214","swift-etal-2004-semi","2"
"W08-1205","W13-1706","1"
"W13-1706","W08-1205","1"
