"P09-1069","N07-2021","0.45"
"P06-2034","P09-1069","0.45"
"P09-1069","P06-2034","0.45"
"N07-2021","P15-1085","1"
"P15-1085","N07-2021","1"
"N07-2021","P07-1073","0.2"
"P07-1073","N07-2021","0.2"
"P06-1115","P07-1073","0.2"
"P07-1073","P06-1115","0.2"
"P06-2034","P07-1073","0.2"
"P07-1073","P06-2034","0.2"
"P07-1073","P07-1121","0.2"
"P07-1121","P07-1073","0.2"
"P07-1073","P09-1069","0.2"
"P09-1069","P07-1073","0.2"
"N10-1013","P07-1073","1"
"P07-1073","N10-1013","1"
"N10-1013","W11-0112","1"
"W11-0112","N10-1013","1"
"P09-1069","P15-1085","0.333333"
"P15-1085","P09-1069","0.333333"
"P06-2034","P13-1022","1"
"P13-1022","P06-2034","1"
"P07-1073","W10-2924","2"
"W10-2924","P07-1073","2"
"P07-1073","P14-1114","0.333333"
"P14-1114","P07-1073","0.333333"
"P07-1073","S13-1002","1.33333"
"S13-1002","P07-1073","1.33333"
"P07-1073","W11-0112","0.333333"
"W11-0112","P07-1073","0.333333"
"P14-1114","S13-1002","6.83333"
"S13-1002","P14-1114","6.83333"
"P14-1114","W11-0112","3.33333"
"W11-0112","P14-1114","3.33333"
"S13-1002","W11-0112","9.83333"
"W11-0112","S13-1002","9.83333"
"P07-1073","W97-1002","1"
"W97-1002","P07-1073","1"
"P07-1121","S13-1002","1.5"
"S13-1002","P07-1121","1.5"
"P07-1121","W11-0112","0.5"
"W11-0112","P07-1121","0.5"
"P14-1114","S14-2141","1"
"S14-2141","P14-1114","1"
"P14-1114","W14-2402","0.5"
"W14-2402","P14-1114","0.5"
"S13-1002","W14-2402","0.5"
"W14-2402","S13-1002","0.5"
"P15-1018","W10-2924","1"
"W10-2924","P15-1018","1"
"P97-1062","W96-0208","1"
"W96-0208","P97-1062","1"
"W00-1317","W14-2402","1"
"W14-2402","W00-1317","1"
"W19-4807","W19-4812","3"
"W19-4812","W19-4807","3"
