"2016.gwc-1.41","kedzia-etal-2017-graph","1"
"2018.gwc-1.29","2018.gwc-1.26","1"
"2018.gwc-1.39","L18-1665","0.75"
"L18-1665","2018.gwc-1.39","0.75"
"2018.gwc-1.39","R15-1092","0.75"
"R15-1092","2018.gwc-1.39","0.75"
"L18-1665","R15-1092","2.75"
"R15-1092","L18-1665","2.75"
"2018.gwc-1.39","piasecki-etal-2017-recognition","0.25"
"piasecki-etal-2017-recognition","2018.gwc-1.39","0.25"
"2018.gwc-1.39","W14-0142","0.25"
"W14-0142","2018.gwc-1.39","0.25"
"L18-1665","piasecki-etal-2017-recognition","0.25"
"piasecki-etal-2017-recognition","L18-1665","0.25"
"L18-1665","W14-0142","0.25"
"W14-0142","L18-1665","0.25"
"piasecki-etal-2017-recognition","R15-1092","0.25"
"R15-1092","piasecki-etal-2017-recognition","0.25"
"piasecki-etal-2017-recognition","W14-0142","0.25"
"W14-0142","piasecki-etal-2017-recognition","0.25"
"R15-1092","W14-0142","0.416667"
"W14-0142","R15-1092","0.416667"
"2019.gwc-1.45","R13-1058","0.333333"
"R13-1058","2019.gwc-1.45","0.333333"
"broda-etal-2012-tools","C12-2101","1"
"C12-2101","broda-etal-2012-tools","1"
"C12-2101","kedzia-piasecki-2014-ruled","0.5"
"kedzia-piasecki-2014-ruled","C12-2101","0.5"
"C12-2101","R13-1073","0.166667"
"R13-1073","C12-2101","0.166667"
"C12-2101","W14-0142","0.666667"
"W14-0142","C12-2101","0.666667"
"kedzia-piasecki-2014-ruled","R13-1058","0.166667"
"R13-1058","kedzia-piasecki-2014-ruled","0.166667"
"kedzia-piasecki-2014-ruled","R13-1073","0.166667"
"R13-1073","kedzia-piasecki-2014-ruled","0.166667"
"kedzia-piasecki-2014-ruled","R15-1056","0.5"
"R15-1056","kedzia-piasecki-2014-ruled","0.5"
"kedzia-piasecki-2014-ruled","R15-1092","0.5"
"R15-1092","kedzia-piasecki-2014-ruled","0.5"
"kedzia-piasecki-2014-ruled","W14-0142","0.166667"
"W14-0142","kedzia-piasecki-2014-ruled","0.166667"
"R13-1058","R13-1073","0.166667"
"R13-1073","R13-1058","0.166667"
"R13-1058","R15-1056","1"
"R15-1056","R13-1058","1"
"R13-1058","W14-0142","1.16667"
"W14-0142","R13-1058","1.16667"
"R13-1073","R15-1056","0.166667"
"R15-1056","R13-1073","0.166667"
"R13-1073","R15-1092","0.166667"
"R15-1092","R13-1073","0.166667"
"R13-1073","W14-0142","0.166667"
"W14-0142","R13-1073","0.166667"
"R15-1056","R15-1092","0.833333"
"R15-1092","R15-1056","0.833333"
"R15-1056","W14-0142","1.16667"
"W14-0142","R15-1056","1.16667"
"C16-1213","W14-0142","1.5"
"W14-0142","C16-1213","1.5"
"C12-2101","kurc-etal-2012-constraint","0.5"
"kurc-etal-2012-constraint","C12-2101","0.5"
"kurc-etal-2012-constraint","R13-1058","1.5"
"R13-1058","kurc-etal-2012-constraint","1.5"
"C16-1213","kedzia-piasecki-2014-ruled","2"
"kedzia-piasecki-2014-ruled","C16-1213","2"
"kurc-etal-2012-constraint","R15-1056","1"
"R15-1056","kurc-etal-2012-constraint","1"
