"2020.acl-main.338","P19-1345","2"
"C12-1099","P11-1113","2.03333"
"P11-1113","C12-1099","2.03333"
"C12-1100","D12-1092","0.2"
"D12-1092","C12-1100","0.2"
"C12-1100","P10-1113","0.2"
"P10-1113","C12-1100","0.2"
"C12-1100","P11-1113","0.2"
"P11-1113","C12-1100","0.2"
"D12-1092","P10-1113","1.7"
"P10-1113","D12-1092","1.7"
"D12-1092","P11-1113","4.53333"
"P11-1113","D12-1092","4.53333"
"P10-1113","P11-1113","0.7"
"P11-1113","P10-1113","0.7"
"C10-1068","D09-1102","1.5"
"D09-1102","C10-1068","1.5"
"C10-1068","D09-1103","0.5"
"D09-1103","C10-1068","0.5"
"C10-1068","P02-1060","0.333333"
"P02-1060","C10-1068","0.333333"
"C10-1068","D09-1133","0.166667"
"D09-1133","C10-1068","0.166667"
"C10-1068","D10-1086","0.166667"
"D10-1086","C10-1068","0.166667"
"C10-1068","I08-1004","0.166667"
"I08-1004","C10-1068","0.166667"
"C10-1068","P04-1017","0.166667"
"P04-1017","C10-1068","0.166667"
"D09-1102","D10-1086","1.16667"
"D10-1086","D09-1102","1.16667"
"D09-1102","P04-1017","0.166667"
"P04-1017","D09-1102","0.166667"
"D09-1103","D10-1086","1.16667"
"D10-1086","D09-1103","1.16667"
"D09-1103","P04-1017","0.166667"
"P04-1017","D09-1103","0.166667"
"D09-1133","D10-1086","0.166667"
"D10-1086","D09-1133","0.166667"
"D09-1133","P04-1017","0.166667"
"P04-1017","D09-1133","0.166667"
"D10-1086","I08-1004","3.16667"
"I08-1004","D10-1086","3.16667"
"D10-1086","P04-1017","0.166667"
"P04-1017","D10-1086","0.166667"
"I08-1004","P04-1017","0.166667"
"P04-1017","I08-1004","0.166667"
"C10-1072","P10-1043","2"
"P10-1043","C10-1072","2"
"C10-1072","P13-2091","1"
"P13-2091","C10-1072","1"
"C10-1076","D15-1187","0.5"
"D15-1187","C10-1076","0.5"
"C10-1076","D16-1078","2.33333"
"D16-1078","C10-1076","2.33333"
