"2010.jeptalnrecital-court.18","2010.jeptalnrecital-recital.5","1"
"2020.wanlp-1.9","bouamor-etal-2014-multidialectal","0.25"
"bouamor-etal-2014-multidialectal","2020.wanlp-1.9","0.25"
"2020.wanlp-1.9","salama-etal-2014-youdacc","0.25"
"salama-etal-2014-youdacc","2020.wanlp-1.9","0.25"
"bouamor-etal-2014-multidialectal","C18-1113","3.08333"
"C18-1113","bouamor-etal-2014-multidialectal","3.08333"
"bouamor-etal-2014-multidialectal","salama-etal-2014-youdacc","3.08333"
"salama-etal-2014-youdacc","bouamor-etal-2014-multidialectal","3.08333"
"bouamor-etal-2014-multidialectal","W19-4622","3.08333"
"W19-4622","bouamor-etal-2014-multidialectal","3.08333"
"C18-1113","salama-etal-2014-youdacc","0.25"
"salama-etal-2014-youdacc","C18-1113","0.25"
"salama-etal-2014-youdacc","W19-4622","0.45"
"W19-4622","salama-etal-2014-youdacc","0.45"
"2021.wanlp-1.28","C18-1113","1"
"C18-1113","2021.wanlp-1.28","1"
"bouamor-etal-2014-multidialectal","L18-1535","1.33333"
"L18-1535","bouamor-etal-2014-multidialectal","1.33333"
"bouamor-etal-2014-multidialectal","N19-4002","0.333333"
"N19-4002","bouamor-etal-2014-multidialectal","0.333333"
"N19-4002","W19-4622","0.333333"
"W19-4622","N19-4002","0.333333"
"bouamor-etal-2014-multidialectal","L18-1574","0.666667"
"L18-1574","bouamor-etal-2014-multidialectal","0.666667"
"bouamor-etal-2014-multidialectal","W14-3627","0.833333"
"W14-3627","bouamor-etal-2014-multidialectal","0.833333"
"L18-1574","salama-etal-2014-youdacc","0.783333"
"salama-etal-2014-youdacc","L18-1574","0.783333"
"L18-1574","W14-3627","0.533333"
"W14-3627","L18-1574","0.533333"
"salama-etal-2014-youdacc","W14-3627","1.03333"
"W14-3627","salama-etal-2014-youdacc","1.03333"
"bouamor-etal-2014-multidialectal","L18-1415","0.333333"
"L18-1415","bouamor-etal-2014-multidialectal","0.333333"
"C18-1113","L18-1415","1"
"L18-1415","C18-1113","1"
"C18-1113","N13-1046","0.5"
"N13-1046","C18-1113","0.5"
"N13-1046","W19-4622","0.5"
"W19-4622","N13-1046","0.5"
"D12-1066","E12-1073","1"
"E12-1073","D12-1066","1"
"D14-1026","W15-1614","0.5"
"W15-1614","D14-1026","0.5"
"D14-1026","W15-3204","0.5"
"W15-3204","D14-1026","0.5"
"W15-1614","W15-3204","3.33333"
"W15-3204","W15-1614","3.33333"
"L16-1295","W15-1614","1.58333"
"W15-1614","L16-1295","1.58333"
"L16-1295","W15-3204","1.16667"
"W15-3204","L16-1295","1.16667"
"L16-1295","W15-3209","0.666667"
"W15-3209","L16-1295","0.666667"
"W15-1614","W15-3209","0.333333"
"W15-3209","W15-1614","0.333333"
"W15-3204","W15-3209","0.666667"
"W15-3209","W15-3204","0.666667"
"L16-1295","L16-1577","0.583333"
"L16-1577","L16-1295","0.583333"
"L16-1295","L18-1574","0.75"
"L18-1574","L16-1295","0.75"
"L16-1295","salama-etal-2014-youdacc","0.25"
"salama-etal-2014-youdacc","L16-1295","0.25"
"L16-1577","L18-1574","0.25"
"L18-1574","L16-1577","0.25"
"L16-1577","salama-etal-2014-youdacc","0.25"
"salama-etal-2014-youdacc","L16-1577","0.25"
"L16-1577","W15-1614","0.25"
"W15-1614","L16-1577","0.25"
"L18-1574","W15-1614","0.75"
"W15-1614","L18-1574","0.75"
"salama-etal-2014-youdacc","W15-1614","0.25"
"W15-1614","salama-etal-2014-youdacc","0.25"
"L16-1577","W15-3204","0.333333"
"W15-3204","L16-1577","0.333333"
"L16-1577","W15-3209","1.83333"
"W15-3209","L16-1577","1.83333"
"L16-1577","W16-4115","0.5"
"W16-4115","L16-1577","0.5"
"W15-3209","W16-4115","0.5"
"W16-4115","W15-3209","0.5"
"L18-1535","salama-etal-2014-youdacc","0.2"
"salama-etal-2014-youdacc","L18-1535","0.2"
"L18-1535","W14-3627","0.2"
"W14-3627","L18-1535","0.2"
"L18-1535","W15-3204","0.2"
"W15-3204","L18-1535","0.2"
"L18-1574","W15-3204","0.2"
"W15-3204","L18-1574","0.2"
"salama-etal-2014-youdacc","W15-3204","0.2"
"W15-3204","salama-etal-2014-youdacc","0.2"
"W14-3627","W15-3204","0.2"
"W15-3204","W14-3627","0.2"
"W14-3627","W19-4622","0.2"
"W19-4622","W14-3627","0.2"
"W15-3204","W19-4622","0.2"
"W19-4622","W15-3204","0.2"
"L18-1535","W15-3209","1"
"W15-3209","L18-1535","1"
"W14-3618","W15-3204","1"
"W15-3204","W14-3618","1"
"W14-3618","W15-3217","0.5"
"W15-3217","W14-3618","0.5"
"W14-3618","W15-3221","0.5"
"W15-3221","W14-3618","0.5"
"W15-3217","W15-3221","1"
"W15-3221","W15-3217","1"
"W14-3618","W15-1614","1"
"W15-1614","W14-3618","1"
"W15-1614","W15-3217","0.5"
"W15-3217","W15-1614","0.5"
"W15-1614","W15-3221","0.5"
"W15-3221","W15-1614","0.5"
