"2020.acl-srw.22","W17-7507","1"
"I08-2099","W09-3030","2.5"
"W09-3030","I08-2099","2.5"
"I08-2099","W16-1716","1.33333"
"W16-1716","I08-2099","1.33333"
"I08-2099","W13-3705","0.5"
"W13-3705","I08-2099","0.5"
"W13-3705","W17-6529","0.5"
"W17-6529","W13-3705","0.5"
"I08-2099","N16-1159","0.333333"
"N16-1159","I08-2099","0.333333"
"I08-2099","N18-1090","0.333333"
"N18-1090","I08-2099","0.333333"
"N16-1159","W16-1716","0.333333"
"W16-1716","N16-1159","0.333333"
"N18-1090","W16-1716","0.583333"
"W16-1716","N18-1090","0.583333"
"W09-3030","W09-3036","0.75"
"W09-3036","W09-3030","0.75"
"I08-2099","W11-0414","0.333333"
"W11-0414","I08-2099","0.333333"
"W09-3029","W09-3036","0.333333"
"W09-3036","W09-3029","0.333333"
"W09-3029","W11-0414","2.33333"
"W11-0414","W09-3029","2.33333"
"W09-3036","W11-0414","0.333333"
"W11-0414","W09-3036","0.333333"
"I13-1130","I13-1151","0.2"
"I13-1151","I13-1130","0.2"
"I13-1130","L16-1727","0.2"
"L16-1727","I13-1130","0.2"
"I13-1130","W02-1202","0.2"
"W02-1202","I13-1130","0.2"
"I13-1130","W09-3036","0.2"
"W09-3036","I13-1130","0.2"
"I13-1130","W16-1716","0.2"
"W16-1716","I13-1130","0.2"
"I13-1151","L16-1727","0.2"
"L16-1727","I13-1151","0.2"
"I13-1151","W02-1202","0.2"
"W02-1202","I13-1151","0.2"
"I13-1151","W09-3036","1.2"
"W09-3036","I13-1151","1.2"
"I13-1151","W16-1716","0.2"
"W16-1716","I13-1151","0.2"
"L16-1727","W02-1202","0.2"
"W02-1202","L16-1727","0.2"
"L16-1727","W09-3036","0.45"
"W09-3036","L16-1727","0.45"
"L16-1727","W16-1716","0.45"
"W16-1716","L16-1727","0.45"
"W02-1202","W09-3036","0.2"
"W09-3036","W02-1202","0.2"
"W02-1202","W16-1716","0.7"
"W16-1716","W02-1202","0.7"
"L16-1727","N18-1090","0.25"
"N18-1090","L16-1727","0.25"
"L16-1727","W19-4020","0.25"
"W19-4020","L16-1727","0.25"
"N18-1090","W09-3036","0.25"
"W09-3036","N18-1090","0.25"
"N18-1090","W19-4020","0.25"
"W19-4020","N18-1090","0.25"
"W09-3036","W19-4020","0.75"
"W19-4020","W09-3036","0.75"
"W16-1716","W19-4020","0.25"
"W19-4020","W16-1716","0.25"
"N10-1093","W10-1403","1"
"W10-1403","N10-1093","1"
"N10-1093","W12-3607","0.5"
"W12-3607","N10-1093","0.5"
"N16-2010","W09-3029","1"
"W09-3029","N16-2010","1"
"W02-1202","W19-7724","1"
"W19-7724","W02-1202","1"
"W02-1202","W17-6529","0.5"
"W17-6529","W02-1202","0.5"
"W16-1716","W17-6529","0.5"
"W17-6529","W16-1716","0.5"
"W09-3030","W10-1403","0.25"
"W10-1403","W09-3030","0.25"
"W09-3030","W12-3607","0.25"
"W12-3607","W09-3030","0.25"
"W09-3030","Y09-2020","0.25"
"Y09-2020","W09-3030","0.25"
"W12-3607","Y09-2020","0.75"
"Y09-2020","W12-3607","0.75"
"W09-3036","W10-3216","0.5"
"W10-3216","W09-3036","0.5"
"W10-3216","W19-4020","0.5"
"W19-4020","W10-3216","0.5"
"W12-2302","W12-3623","1"
"W12-3623","W12-2302","1"
