"2008.iwslt-evaluation.17","2008.iwslt-evaluation.6","1"
"P08-1064","P07-1090","1.16667"
"C08-1138","P07-1090","0.333333"
"P07-1090","C08-1138","0.333333"
"C08-1138","P08-1064","8.83333"
"P08-1064","C08-1138","8.83333"
"C08-1138","P08-2038","0.333333"
"P08-2038","C08-1138","0.333333"
"P07-1090","P08-2038","0.333333"
"P08-2038","P07-1090","0.333333"
"C08-1138","P09-1020","0.5"
"P09-1020","C08-1138","0.5"
"C10-2165","P04-1021","1.53333"
"P04-1021","C10-2165","1.53333"
"C10-2165","W09-3501","1.03333"
"W09-3501","C10-2165","1.03333"
"C10-2165","W10-2401","0.866667"
"W10-2401","C10-2165","0.866667"
"C10-2165","W10-2403","0.7"
"W10-2403","C10-2165","0.7"
"C10-2165","W11-3201","0.2"
"W11-3201","C10-2165","0.2"
"P04-1021","W10-2401","6.18333"
"W10-2401","P04-1021","6.18333"
"P04-1021","W10-2403","1.2"
"W10-2403","P04-1021","1.2"
"P04-1021","W11-3201","1.4"
"W11-3201","P04-1021","1.4"
"W09-3501","W10-2401","3.18333"
"W10-2401","W09-3501","3.18333"
"W09-3501","W10-2403","1.03333"
"W10-2403","W09-3501","1.03333"
"W09-3501","W11-3201","0.4"
"W11-3201","W09-3501","0.4"
"W10-2401","W10-2403","1.7"
"W10-2403","W10-2401","1.7"
"W10-2401","W11-3201","0.9"
"W11-3201","W10-2401","0.9"
"W10-2403","W11-3201","0.2"
"W11-3201","W10-2403","0.2"
"C10-2165","W12-4401","0.833333"
"W12-4401","C10-2165","0.833333"
"P04-1021","W12-4401","2.66667"
"W12-4401","P04-1021","2.66667"
"W10-2401","W12-4401","0.333333"
"W12-4401","W10-2401","0.333333"
"W09-3502","W10-2401","0.333333"
"W10-2401","W09-3502","0.333333"
"P09-1016","W12-4401","0.5"
"W12-4401","P09-1016","0.5"
"D09-1073","D09-1108","0.333333"
"D09-1108","D09-1073","0.333333"
"D09-1073","P09-1020","0.333333"
"P09-1020","D09-1073","0.333333"
"D09-1108","P08-1064","1.33333"
"P08-1064","D09-1108","1.33333"
"D09-1108","P09-1020","0.833333"
"P09-1020","D09-1108","0.833333"
"D09-1108","N10-1016","0.5"
"N10-1016","D09-1108","0.5"
"N10-1016","P08-1064","2.5"
"P08-1064","N10-1016","2.5"
"D10-1043","P09-1020","2"
"P09-1020","D10-1043","2"
"D10-1043","P12-1095","2"
"P12-1095","D10-1043","2"
"D11-1007","P10-1062","1"
"P10-1062","D11-1007","1"
"D11-1007","P08-1064","0.5"
"P08-1064","D11-1007","0.5"
"D11-1007","P09-1020","0.5"
"P09-1020","D11-1007","0.5"
"D11-1109","P12-1023","1"
"P12-1023","D11-1109","1"
"I05-1053","P04-1021","0.666667"
"P04-1021","I05-1053","0.666667"
"I05-1053","P07-1016","0.666667"
"P07-1016","I05-1053","0.666667"
"I05-1053","P09-1016","0.666667"
"P09-1016","I05-1053","0.666667"
"P04-1021","P07-1016","8.28333"
"P07-1016","P04-1021","8.28333"
"P07-1016","P09-1016","0.666667"
"P09-1016","P07-1016","0.666667"
"I08-1008","P07-1016","1"
"P07-1016","I08-1008","1"
"I08-4003","P06-1142","2"
"P06-1142","I08-4003","2"
"I08-4003","W10-2403","1"
"W10-2403","I08-4003","1"
"P06-1142","W10-2403","1"
"W10-2403","P06-1142","1"
"I08-4003","P04-1021","1.53333"
"P04-1021","I08-4003","1.53333"
"I08-4003","P07-1016","1.53333"
"P07-1016","I08-4003","1.53333"
"I08-4003","W09-3502","0.333333"
"W09-3502","I08-4003","0.333333"
"P07-1016","W09-3502","1.16667"
"W09-3502","P07-1016","1.16667"
"I08-4003","W09-3501","0.2"
"W09-3501","I08-4003","0.2"
"I08-4003","W10-2401","0.2"
"W10-2401","I08-4003","0.2"
"I08-4003","W12-4402","0.2"
"W12-4402","I08-4003","0.2"
"P04-1021","W12-4402","1.28333"
"W12-4402","P04-1021","1.28333"
"P07-1016","W09-3501","2.95"
"W09-3501","P07-1016","2.95"
"P07-1016","W10-2401","1.11667"
"W10-2401","P07-1016","1.11667"
"P07-1016","W12-4402","0.533333"
"W12-4402","P07-1016","0.533333"
"W09-3501","W12-4402","0.2"
"W12-4402","W09-3501","0.2"
"W10-2401","W12-4402","0.45"
"W12-4402","W10-2401","0.45"
"N10-1016","P09-1036","2.5"
"P09-1036","N10-1016","2.5"
"N10-1016","P12-1095","0.833333"
"P12-1095","N10-1016","0.833333"
"P09-1036","P12-1095","0.5"
"P12-1095","P09-1036","0.5"
"N10-1016","P09-1020","1"
"P09-1020","N10-1016","1"
"N10-1016","P07-1090","0.333333"
"P07-1090","N10-1016","0.333333"
"N10-1016","P09-1037","0.333333"
"P09-1037","N10-1016","0.333333"
"P07-1090","P09-1037","4.33333"
"P09-1037","P07-1090","4.33333"
"P07-1090","P12-1095","0.833333"
"P12-1095","P07-1090","0.833333"
"P09-1037","P12-1095","1.83333"
"P12-1095","P09-1037","1.83333"
"O06-3004","P05-1064","1"
"P05-1064","O06-3004","1"
"P04-1021","P06-1142","3.5"
"P06-1142","P04-1021","3.5"
"P04-1021","W10-2404","1.5"
"W10-2404","P04-1021","1.5"
"P06-1142","P07-1016","0.5"
"P07-1016","P06-1142","0.5"
"W10-2403","W10-2404","0.833333"
"W10-2404","W10-2403","0.833333"
"P07-1016","W12-4401","0.333333"
"W12-4401","P07-1016","0.333333"
"W12-4401","W12-4402","0.333333"
"W12-4402","W12-4401","0.333333"
"P04-1021","W10-2402","2.78333"
"W10-2402","P04-1021","2.78333"
"P04-1021","W11-3202","2.95"
"W11-3202","P04-1021","2.95"
"W09-3501","W10-2402","0.866667"
"W10-2402","W09-3501","0.866667"
"W09-3501","W11-3202","0.45"
"W11-3202","W09-3501","0.45"
"W10-2401","W10-2402","0.783333"
"W10-2402","W10-2401","0.783333"
"W10-2401","W11-3202","0.95"
"W11-3202","W10-2401","0.95"
"W10-2402","W11-3201","0.45"
"W11-3201","W10-2402","0.45"
"W10-2402","W11-3202","0.45"
"W11-3202","W10-2402","0.45"
"W11-3201","W11-3202","0.7"
"W11-3202","W11-3201","0.7"
"W11-3201","W12-4402","0.75"
"W12-4402","W11-3201","0.75"
"W11-3202","W12-4402","0.25"
"W12-4402","W11-3202","0.25"
"P04-1021","W15-3902","1"
"W15-3902","P04-1021","1"
"P07-1016","W11-3202","0.25"
"W11-3202","P07-1016","0.25"
"P06-1142","W12-4402","1"
"W12-4402","P06-1142","1"
"P06-1142","W09-3501","1"
"W09-3501","P06-1142","1"
"P08-1064","P09-1037","0.5"
"P09-1037","P08-1064","0.5"
"P08-1064","P12-1095","1"
"P12-1095","P08-1064","1"
"P09-1036","P09-1037","1"
"P09-1037","P09-1036","1"
"W09-3501","W10-2404","0.833333"
"W10-2404","W09-3501","0.833333"
"W09-3501","W18-2409","0.5"
"W18-2409","W09-3501","0.5"
"W10-2404","W18-2409","0.5"
"W18-2409","W10-2404","0.5"
"W09-3501","W15-3902","1"
"W15-3902","W09-3501","1"
"W10-2402","W10-2403","0.333333"
"W10-2403","W10-2402","0.333333"
"W10-2402","W10-2404","0.333333"
"W10-2404","W10-2402","0.333333"
"W10-2403","W16-2709","2"
"W16-2709","W10-2403","2"
