"1995.tmi-1.13","C96-1075","1"
"W13-0805","W05-0836","2.27857"
"W05-0836","W13-2264","0.952381"
"W13-2264","W05-0836","0.952381"
"W11-2124","W13-0805","3.2369"
"W13-0805","W11-2124","3.2369"
"W11-2124","W13-2264","2.41071"
"W13-2264","W11-2124","2.41071"
"W13-0805","W13-2264","2.05357"
"W13-2264","W13-0805","2.05357"
"2010.iwslt-evaluation.11","2012.iwslt-papers.3","0.666667"
"2012.iwslt-papers.3","2010.iwslt-evaluation.11","0.666667"
"2012.iwslt-papers.3","W05-0836","1.25"
"W05-0836","2012.iwslt-papers.3","1.25"
"2012.iwslt-papers.3","W11-2124","1.72619"
"W11-2124","2012.iwslt-papers.3","1.72619"
"2010.iwslt-evaluation.11","2013.iwslt-evaluation.16","0.142857"
"2013.iwslt-evaluation.16","2010.iwslt-evaluation.11","0.142857"
"2010.iwslt-evaluation.11","W14-3313","0.142857"
"W14-3313","2010.iwslt-evaluation.11","0.142857"
"2011.iwslt-evaluation.9","2013.iwslt-evaluation.16","0.267857"
"2013.iwslt-evaluation.16","2011.iwslt-evaluation.9","0.267857"
"2011.iwslt-evaluation.9","W14-3313","0.142857"
"W14-3313","2011.iwslt-evaluation.9","0.142857"
"2013.iwslt-evaluation.16","W05-0836","0.142857"
"W05-0836","2013.iwslt-evaluation.16","0.142857"
"2013.iwslt-evaluation.16","W11-2124","1.26786"
"W11-2124","2013.iwslt-evaluation.16","1.26786"
"2013.iwslt-evaluation.16","W11-2145","0.142857"
"W11-2145","2013.iwslt-evaluation.16","0.142857"
"2013.iwslt-evaluation.16","W13-0805","0.267857"
"W13-0805","2013.iwslt-evaluation.16","0.267857"
"2013.iwslt-evaluation.16","W14-3313","0.142857"
"W14-3313","2013.iwslt-evaluation.16","0.142857"
"W05-0836","W14-3313","0.47619"
"W14-3313","W05-0836","0.47619"
"W11-2124","W14-3313","0.47619"
"W14-3313","W11-2124","0.47619"
"W11-2145","W13-0805","0.142857"
"W13-0805","W11-2145","0.142857"
"W11-2145","W14-3313","0.142857"
"W14-3313","W11-2145","0.142857"
"W13-0805","W14-3313","0.142857"
"W14-3313","W13-0805","0.142857"
"2011.iwslt-papers.6","2012.amta-papers.19","0.542857"
"2012.amta-papers.19","2011.iwslt-papers.6","0.542857"
"2011.iwslt-papers.6","W13-0805","0.542857"
"W13-0805","2011.iwslt-papers.6","0.542857"
"2011.iwslt-papers.6","W13-2264","0.142857"
"W13-2264","2011.iwslt-papers.6","0.142857"
"2010.iwslt-evaluation.11","2014.iwslt-evaluation.17","1.33333"
"2014.iwslt-evaluation.17","2010.iwslt-evaluation.11","1.33333"
"2010.iwslt-evaluation.11","2015.iwslt-evaluation.9","1"
"2015.iwslt-evaluation.9","2010.iwslt-evaluation.11","1"
"2010.iwslt-evaluation.11","W15-3008","0.333333"
"W15-3008","2010.iwslt-evaluation.11","0.333333"
"2012.iwslt-papers.3","2014.iwslt-evaluation.17","0.333333"
"2014.iwslt-evaluation.17","2012.iwslt-papers.3","0.333333"
"2012.iwslt-papers.3","W15-3008","0.333333"
"W15-3008","2012.iwslt-papers.3","0.333333"
"2014.iwslt-evaluation.17","W15-3008","0.333333"
"W15-3008","2014.iwslt-evaluation.17","0.333333"
"2011.iwslt-evaluation.12","2011.iwslt-papers.2","0.5"
"2011.iwslt-papers.2","2011.iwslt-evaluation.12","0.5"
"2011.iwslt-evaluation.12","2012.iwslt-evaluation.11","0.5"
"2012.iwslt-evaluation.11","2011.iwslt-evaluation.12","0.5"
"2011.iwslt-papers.2","2012.iwslt-evaluation.11","0.5"
"2012.iwslt-evaluation.11","2011.iwslt-papers.2","0.5"
"2011.iwslt-evaluation.9","2012.iwslt-papers.3","0.892857"
"2012.iwslt-papers.3","2011.iwslt-evaluation.9","0.892857"
"2011.iwslt-evaluation.9","W12-3140","0.342857"
"W12-3140","2011.iwslt-evaluation.9","0.342857"
"2011.iwslt-evaluation.9","W13-2223","0.142857"
"W13-2223","2011.iwslt-evaluation.9","0.142857"
"2012.amta-papers.19","2012.iwslt-papers.3","0.434524"
"2012.iwslt-papers.3","2012.amta-papers.19","0.434524"
"2012.amta-papers.19","W12-3140","0.142857"
"W12-3140","2012.amta-papers.19","0.142857"
"2012.amta-papers.19","W13-2223","0.142857"
"W13-2223","2012.amta-papers.19","0.142857"
"2012.iwslt-papers.3","W12-3140","0.142857"
"W12-3140","2012.iwslt-papers.3","0.142857"
"2012.iwslt-papers.3","W13-0805","0.72619"
"W13-0805","2012.iwslt-papers.3","0.72619"
"2012.iwslt-papers.3","W13-2223","0.142857"
"W13-2223","2012.iwslt-papers.3","0.142857"
"2012.iwslt-papers.3","W13-2264","0.72619"
"W13-2264","2012.iwslt-papers.3","0.72619"
"W11-2124","W12-3140","0.342857"
"W12-3140","W11-2124","0.342857"
"W11-2124","W13-2223","0.142857"
"W13-2223","W11-2124","0.142857"
"W12-3140","W13-0805","0.342857"
"W13-0805","W12-3140","0.342857"
"W12-3140","W13-2223","0.642857"
"W13-2223","W12-3140","0.642857"
"W12-3140","W13-2264","0.142857"
"W13-2264","W12-3140","0.142857"
"W13-0805","W13-2223","0.142857"
"W13-2223","W13-0805","0.142857"
"W13-2223","W13-2264","0.142857"
"W13-2264","W13-2223","0.142857"
"2011.iwslt-evaluation.9","2012.iwslt-papers.15","0.416667"
"2012.iwslt-papers.15","2011.iwslt-evaluation.9","0.416667"
"2012.amta-papers.19","2012.iwslt-papers.15","0.416667"
"2012.iwslt-papers.15","2012.amta-papers.19","0.416667"
"2012.iwslt-papers.15","2012.iwslt-papers.3","0.291667"
"2012.iwslt-papers.3","2012.iwslt-papers.15","0.291667"
"2012.iwslt-papers.15","W11-2124","0.916667"
"W11-2124","2012.iwslt-papers.15","0.916667"
"2012.iwslt-papers.15","W13-0805","1.66667"
"W13-0805","2012.iwslt-papers.15","1.66667"
"2012.iwslt-papers.15","W13-2264","0.416667"
"W13-2264","2012.iwslt-papers.15","0.416667"
"2011.iwslt-evaluation.9","2014.amta-researchers.17","0.25"
"2014.amta-researchers.17","2011.iwslt-evaluation.9","0.25"
"2012.amta-papers.19","2014.amta-researchers.17","0.125"
"2014.amta-researchers.17","2012.amta-papers.19","0.125"
"2012.iwslt-papers.15","2014.amta-researchers.17","0.125"
"2014.amta-researchers.17","2012.iwslt-papers.15","0.125"
"2012.iwslt-papers.15","W05-0836","0.625"
"W05-0836","2012.iwslt-papers.15","0.625"
"2012.iwslt-papers.3","2014.amta-researchers.17","0.25"
"2014.amta-researchers.17","2012.iwslt-papers.3","0.25"
"2014.amta-researchers.17","W05-0836","0.25"
"W05-0836","2014.amta-researchers.17","0.25"
"2014.amta-researchers.17","W11-2124","0.25"
"W11-2124","2014.amta-researchers.17","0.25"
"2014.amta-researchers.17","W13-0805","0.25"
"W13-0805","2014.amta-researchers.17","0.25"
"2014.amta-researchers.17","W13-2264","0.25"
"W13-2264","2014.amta-researchers.17","0.25"
"2011.iwslt-evaluation.9","W09-0413","0.325"
"W09-0413","2011.iwslt-evaluation.9","0.325"
"2011.iwslt-evaluation.9","W14-3310","0.125"
"W14-3310","2011.iwslt-evaluation.9","0.125"
"2012.amta-papers.19","2013.iwslt-evaluation.16","0.125"
"2013.iwslt-evaluation.16","2012.amta-papers.19","0.125"
"2012.amta-papers.19","W09-0413","0.125"
"W09-0413","2012.amta-papers.19","0.125"
"2012.amta-papers.19","W14-3310","0.375"
"W14-3310","2012.amta-papers.19","0.375"
"2012.iwslt-papers.15","2013.iwslt-evaluation.16","0.125"
"2013.iwslt-evaluation.16","2012.iwslt-papers.15","0.125"
"2012.iwslt-papers.15","W09-0413","0.125"
"W09-0413","2012.iwslt-papers.15","0.125"
"2012.iwslt-papers.15","W14-3310","0.125"
"W14-3310","2012.iwslt-papers.15","0.125"
"2013.iwslt-evaluation.16","W09-0413","0.125"
"W09-0413","2013.iwslt-evaluation.16","0.125"
"2013.iwslt-evaluation.16","W13-2264","0.125"
"W13-2264","2013.iwslt-evaluation.16","0.125"
"2013.iwslt-evaluation.16","W14-3310","1.95833"
"W14-3310","2013.iwslt-evaluation.16","1.95833"
"W09-0413","W11-2124","0.325"
"W11-2124","W09-0413","0.325"
"W09-0413","W13-0805","0.325"
"W13-0805","W09-0413","0.325"
"W09-0413","W13-2264","0.125"
"W13-2264","W09-0413","0.125"
"W09-0413","W14-3310","0.125"
"W14-3310","W09-0413","0.125"
"W11-2124","W14-3310","0.125"
"W14-3310","W11-2124","0.125"
"W13-0805","W14-3310","0.125"
"W14-3310","W13-0805","0.125"
"W13-2264","W14-3310","0.375"
"W14-3310","W13-2264","0.375"
"W05-0836","W09-0413","1.2"
"W09-0413","W05-0836","1.2"
"W05-0836","W12-3140","0.2"
"W12-3140","W05-0836","0.2"
"W09-0413","W12-3140","0.2"
"W12-3140","W09-0413","0.2"
"2011.iwslt-evaluation.9","W15-3030","0.267857"
"W15-3030","2011.iwslt-evaluation.9","0.267857"
"2012.iwslt-papers.3","W10-1719","0.125"
"W10-1719","2012.iwslt-papers.3","0.125"
"2012.iwslt-papers.3","W15-3030","0.291667"
"W15-3030","2012.iwslt-papers.3","0.291667"
"2014.amta-researchers.17","W10-1719","0.125"
"W10-1719","2014.amta-researchers.17","0.125"
"2014.amta-researchers.17","W15-3030","0.125"
"W15-3030","2014.amta-researchers.17","0.125"
"W05-0836","W15-3030","0.517857"
"W15-3030","W05-0836","0.517857"
"W10-1719","W13-0805","0.125"
"W13-0805","W10-1719","0.125"
"W10-1719","W13-2264","0.125"
"W13-2264","W10-1719","0.125"
"W10-1719","W15-3030","0.125"
"W15-3030","W10-1719","0.125"
"W11-2124","W15-3030","0.541667"
"W15-3030","W11-2124","0.541667"
"W13-0805","W15-3030","0.684524"
"W15-3030","W13-0805","0.684524"
"W13-2264","W15-3030","0.684524"
"W15-3030","W13-2264","0.684524"
"2011.iwslt-evaluation.9","2015.iwslt-papers.3","0.142857"
"2015.iwslt-papers.3","2011.iwslt-evaluation.9","0.142857"
"2011.iwslt-evaluation.9","W15-3012","0.142857"
"W15-3012","2011.iwslt-evaluation.9","0.142857"
"2011.iwslt-evaluation.9","W15-4917","0.142857"
"W15-4917","2011.iwslt-evaluation.9","0.142857"
"2015.iwslt-papers.3","W05-0836","0.142857"
"W05-0836","2015.iwslt-papers.3","0.142857"
"2015.iwslt-papers.3","W13-0805","0.309524"
"W13-0805","2015.iwslt-papers.3","0.309524"
"2015.iwslt-papers.3","W13-2264","0.559524"
"W13-2264","2015.iwslt-papers.3","0.559524"
"2015.iwslt-papers.3","W15-3012","0.142857"
"W15-3012","2015.iwslt-papers.3","0.142857"
"2015.iwslt-papers.3","W15-3030","0.309524"
"W15-3030","2015.iwslt-papers.3","0.309524"
"2015.iwslt-papers.3","W15-4917","0.142857"
"W15-4917","2015.iwslt-papers.3","0.142857"
"W05-0836","W15-3012","0.142857"
"W15-3012","W05-0836","0.142857"
"W05-0836","W15-4917","0.142857"
"W15-4917","W05-0836","0.142857"
"W13-0805","W15-3012","0.142857"
"W15-3012","W13-0805","0.142857"
"W13-0805","W15-4917","0.142857"
"W15-4917","W13-0805","0.142857"
"W13-2264","W15-3012","0.142857"
"W15-3012","W13-2264","0.142857"
"W13-2264","W15-4917","0.142857"
"W15-4917","W13-2264","0.142857"
"W15-3012","W15-3030","0.142857"
"W15-3030","W15-3012","0.142857"
"W15-3012","W15-4917","0.142857"
"W15-4917","W15-3012","0.142857"
"W15-3030","W15-4917","0.142857"
"W15-4917","W15-3030","0.142857"
"2011.iwslt-evaluation.9","C16-1172","0.5"
"C16-1172","2011.iwslt-evaluation.9","0.5"
"2011.iwslt-evaluation.9","W17-3202","0.5"
"W17-3202","2011.iwslt-evaluation.9","0.5"
"C16-1172","W17-3202","0.5"
"W17-3202","C16-1172","0.5"
"2011.iwslt-evaluation.9","zhang-etal-2004-interpreting","1"
"zhang-etal-2004-interpreting","2011.iwslt-evaluation.9","1"
"2011.iwslt-evaluation.9","W12-3144","0.333333"
"W12-3144","2011.iwslt-evaluation.9","0.333333"
"2011.iwslt-evaluation.9","W13-2210","0.333333"
"W13-2210","2011.iwslt-evaluation.9","0.333333"
"W11-2124","W12-3144","0.333333"
"W12-3144","W11-2124","0.333333"
"W11-2124","W13-2210","0.333333"
"W13-2210","W11-2124","0.333333"
"W12-3144","W13-2210","0.333333"
"W13-2210","W12-3144","0.333333"
"2011.iwslt-papers.2","stuker-etal-2012-kit","1"
"stuker-etal-2012-kit","2011.iwslt-papers.2","1"
"2011.iwslt-papers.6","C16-1172","1"
"C16-1172","2011.iwslt-papers.6","1"
"2012.amta-papers.19","N09-2038","1"
"N09-2038","2012.amta-papers.19","1"
"2012.amta-papers.19","2014.iwslt-evaluation.7","0.25"
"2014.iwslt-evaluation.7","2012.amta-papers.19","0.25"
"2012.amta-papers.19","2015.iwslt-papers.3","0.25"
"2015.iwslt-papers.3","2012.amta-papers.19","0.25"
"2014.iwslt-evaluation.7","2015.iwslt-papers.3","0.25"
"2015.iwslt-papers.3","2014.iwslt-evaluation.7","0.25"
"2014.iwslt-evaluation.7","W13-2264","0.25"
"W13-2264","2014.iwslt-evaluation.7","0.25"
"2014.iwslt-evaluation.7","W14-3310","3.08333"
"W14-3310","2014.iwslt-evaluation.7","3.08333"
"2015.iwslt-papers.3","W14-3310","0.25"
"W14-3310","2015.iwslt-papers.3","0.25"
"2012.iwslt-papers.10","Q14-1014","1"
"Q14-1014","2012.iwslt-papers.10","1"
"2012.iwslt-papers.15","2013.iwslt-papers.12","0.5"
"2013.iwslt-papers.12","2012.iwslt-papers.15","0.5"
"2012.iwslt-papers.15","E14-4009","0.25"
"E14-4009","2012.iwslt-papers.15","0.25"
"2013.iwslt-papers.12","E14-4009","0.25"
"E14-4009","2013.iwslt-papers.12","0.25"
"2013.iwslt-papers.12","W05-0836","0.5"
"W05-0836","2013.iwslt-papers.12","0.5"
"2013.iwslt-papers.12","W11-2124","0.5"
"W11-2124","2013.iwslt-papers.12","0.5"
"E14-4009","W05-0836","0.25"
"W05-0836","E14-4009","0.25"
"E14-4009","W11-2124","0.75"
"W11-2124","E14-4009","0.75"
"2012.iwslt-papers.15","2015.iwslt-papers.8","0.833333"
"2015.iwslt-papers.8","2012.iwslt-papers.15","0.833333"
"2012.iwslt-papers.15","P19-1115","0.5"
"P19-1115","2012.iwslt-papers.15","0.5"
"2015.iwslt-papers.8","P19-1115","0.5"
"P19-1115","2015.iwslt-papers.8","0.5"
"2012.iwslt-papers.15","2020.iwltp-1.7","0.333333"
"2020.iwltp-1.7","2012.iwslt-papers.15","0.333333"
"2012.iwslt-papers.15","N16-3017","0.333333"
"N16-3017","2012.iwslt-papers.15","0.333333"
"2015.iwslt-papers.8","2020.iwltp-1.7","0.333333"
"2020.iwltp-1.7","2015.iwslt-papers.8","0.333333"
"2015.iwslt-papers.8","N16-3017","0.333333"
"N16-3017","2015.iwslt-papers.8","0.333333"
"2020.iwltp-1.7","N16-3017","0.333333"
"N16-3017","2020.iwltp-1.7","0.333333"
"2013.iwslt-papers.12","W13-0805","0.25"
"W13-0805","2013.iwslt-papers.12","0.25"
"2012.iwslt-papers.3","W14-3313","0.333333"
"W14-3313","2012.iwslt-papers.3","0.333333"
"2012.iwslt-papers.3","W14-3307","1"
"W14-3307","2012.iwslt-papers.3","1"
"2012.iwslt-papers.3","2014.iwslt-papers.10","0.166667"
"2014.iwslt-papers.10","2012.iwslt-papers.3","0.166667"
"2012.iwslt-papers.3","2015.iwslt-papers.3","0.166667"
"2015.iwslt-papers.3","2012.iwslt-papers.3","0.166667"
"2014.iwslt-papers.10","2015.iwslt-papers.3","0.166667"
"2015.iwslt-papers.3","2014.iwslt-papers.10","0.166667"
"2014.iwslt-papers.10","W11-2124","0.166667"
"W11-2124","2014.iwslt-papers.10","0.166667"
"2014.iwslt-papers.10","W13-0805","0.166667"
"W13-0805","2014.iwslt-papers.10","0.166667"
"2014.iwslt-papers.10","W13-2264","0.166667"
"W13-2264","2014.iwslt-papers.10","0.166667"
"2014.iwslt-papers.10","W15-3030","0.166667"
"W15-3030","2014.iwslt-papers.10","0.166667"
"2015.iwslt-papers.3","W11-2124","0.166667"
"W11-2124","2015.iwslt-papers.3","0.166667"
"2013.iwslt-evaluation.16","W13-2223","1"
"W13-2223","2013.iwslt-evaluation.16","1"
"2013.iwslt-evaluation.16","2014.iwslt-evaluation.7","0.833333"
"2014.iwslt-evaluation.7","2013.iwslt-evaluation.16","0.833333"
"2013.iwslt-evaluation.16","W16-2320","0.333333"
"W16-2320","2013.iwslt-evaluation.16","0.333333"
"2014.iwslt-evaluation.7","W16-2320","0.333333"
"W16-2320","2014.iwslt-evaluation.7","0.333333"
"W14-3310","W16-2320","0.333333"
"W16-2320","W14-3310","0.333333"
"2013.iwslt-papers.11","W13-0805","1"
"W13-0805","2013.iwslt-papers.11","1"
"2013.iwslt-papers.12","cho-etal-2014-corpus","1"
"cho-etal-2014-corpus","2013.iwslt-papers.12","1"
"2015.iwslt-evaluation.9","2015.iwslt-papers.8","1"
"2015.iwslt-papers.8","2015.iwslt-evaluation.9","1"
"2020.eamt-1.53","N16-3017","1.5"
"N16-3017","2020.eamt-1.53","1.5"
"2020.eamt-1.53","2021.eacl-demos.32","0.5"
"2021.eacl-demos.32","2020.eamt-1.53","0.5"
"2021.eacl-demos.32","N16-3017","0.5"
"N16-3017","2021.eacl-demos.32","0.5"
"A00-2025","C00-2140","1.5"
"C00-2140","A00-2025","1.5"
"A00-2025","C98-2232","0.5"
"C98-2232","A00-2025","0.5"
"A00-2025","P98-2237","0.5"
"P98-2237","A00-2025","0.5"
"C98-2232","P98-2237","2.5"
"P98-2237","C98-2232","2.5"
"A00-2025","ries-etal-2000-shallow","0.5"
"ries-etal-2000-shallow","A00-2025","0.5"
"C00-2140","ries-etal-2000-shallow","0.5"
"ries-etal-2000-shallow","C00-2140","0.5"
"C04-1114","W03-1502","3"
"W03-1502","C04-1114","3"
"C96-1075","C98-2216","0.2"
"C98-2216","C96-1075","0.2"
"C96-1075","D17-1145","0.2"
"D17-1145","C96-1075","0.2"
"C96-1075","P19-1115","1.2"
"P19-1115","C96-1075","1.2"
"C96-1075","P98-2221","0.2"
"P98-2221","C96-1075","0.2"
"C96-1075","Q19-1020","1.2"
"Q19-1020","C96-1075","1.2"
"C98-2216","D17-1145","0.2"
"D17-1145","C98-2216","0.2"
"C98-2216","P19-1115","0.2"
"P19-1115","C98-2216","0.2"
"C98-2216","P98-2221","10.7"
