"2020.acl-main.173","2021.acl-long.474","1"
"petrov-etal-2012-universal","P05-1012","5.39167"
"petrov-etal-2012-universal","Q13-1001","21.2"
"Q13-1001","petrov-etal-2012-universal","21.2"
"petrov-etal-2012-universal","W06-1615","4.03333"
"W06-1615","petrov-etal-2012-universal","4.03333"
"Q13-1001","W06-1615","4.03333"
"W06-1615","Q13-1001","4.03333"
"D07-1013","P08-1108","13.1512"
"P08-1108","D07-1013","13.1512"
"D07-1013","W06-2932","10.2512"
"W06-2932","D07-1013","10.2512"
"D07-1013","E06-1011","13.0845"
"E06-1011","D07-1013","13.0845"
"D07-1013","W07-2216","1.49286"
"W07-2216","D07-1013","1.49286"
"E06-1011","W06-2932","9.33452"
"W06-2932","E06-1011","9.33452"
"E06-1011","W07-2216","8.99286"
"W07-2216","E06-1011","8.99286"
"P05-1012","W06-2932","12.3179"
"W06-2932","P05-1012","12.3179"
"P05-1012","W07-2216","7.59286"
"W07-2216","P05-1012","7.59286"
"W06-2932","W07-2216","2.45952"
"W07-2216","W06-2932","2.45952"
"D07-1096","P08-1108","13.3679"
"P08-1108","D07-1096","13.3679"
"D07-1013","D11-1017","2.53333"
"D11-1017","D07-1013","2.53333"
"D07-1013","D12-1030","0.325"
"D12-1030","D07-1013","0.325"
"D07-1096","D11-1017","0.825"
"D11-1017","D07-1096","0.825"
"D07-1096","D12-1030","2.275"
"D12-1030","D07-1096","2.275"
"D11-1017","D12-1030","0.2"
"D12-1030","D11-1017","0.2"
"D11-1017","E06-1011","0.325"
"E06-1011","D11-1017","0.325"
"D11-1017","P05-1012","0.658333"
"P05-1012","D11-1017","0.658333"
"D12-1030","E06-1011","6.64167"
"E06-1011","D12-1030","6.64167"
"D12-1030","P05-1012","6.35833"
"P05-1012","D12-1030","6.35833"
"D07-1013","H05-1066","15.3179"
"H05-1066","D07-1013","15.3179"
"D07-1096","H05-1066","35.6429"
"H05-1066","D07-1096","35.6429"
"D07-1013","W04-3111","0.25"
"W04-3111","D07-1013","0.25"
"D07-1013","W06-1615","1.91667"
"W06-1615","D07-1013","1.91667"
"E06-1011","W04-3111","0.25"
"W04-3111","E06-1011","0.25"
"E06-1011","W06-1615","1.95"
"W06-1615","E06-1011","1.95"
"H05-1066","W04-3111","1.33333"
"W04-3111","H05-1066","1.33333"
"H05-1066","W06-1615","5.11667"
"W06-1615","H05-1066","5.11667"
"W04-3111","W06-1615","0.583333"
"W06-1615","W04-3111","0.583333"
"H05-1066","W06-2932","13.0345"
"W06-2932","H05-1066","13.0345"
"H05-1066","W07-2216","13.5929"
"W07-2216","H05-1066","13.5929"
"P08-1108","W06-2932","7.33452"
"W06-2932","P08-1108","7.33452"
"P08-1108","W07-2216","3.65952"
"W07-2216","P08-1108","3.65952"
"P05-1012","W06-1615","4.7"
"W06-1615","P05-1012","4.7"
"W06-1615","W06-2932","1.33333"
"W06-2932","W06-1615","1.33333"
"D11-1017","W06-1615","0.333333"
"W06-1615","D11-1017","0.333333"
"J11-1007","P08-1108","1.85833"
"P08-1108","J11-1007","1.85833"
"D12-1030","H05-1066","3.525"
"H05-1066","D12-1030","3.525"
"D12-1030","J11-1007","0.625"
"J11-1007","D12-1030","0.625"
"D12-1030","P08-1108","1.79167"
"P08-1108","D12-1030","1.79167"
"D12-1030","W06-2932","2.125"
"W06-2932","D12-1030","2.125"
"D07-1013","petrov-etal-2012-universal","2.75"
"petrov-etal-2012-universal","D07-1013","2.75"
"D07-1096","W07-2216","1.94286"
"W07-2216","D07-1096","1.94286"
"D07-1013","D11-1006","1.25"
"D11-1006","D07-1013","1.25"
"D07-1013","L16-1262","2.83333"
"L16-1262","D07-1013","2.83333"
"H05-1066","L16-1262","11.0833"
"L16-1262","H05-1066","11.0833"
"D07-1013","P13-2017","1.58333"
"P13-2017","D07-1013","1.58333"
"P13-2017","petrov-etal-2012-universal","29.475"
"petrov-etal-2012-universal","P13-2017","29.475"
"D07-1013","N12-1052","0.25"
"N12-1052","D07-1013","0.25"
"D11-1006","N12-1052","19.85"
"N12-1052","D11-1006","19.85"
"D11-1006","petrov-etal-2012-universal","17.975"
"petrov-etal-2012-universal","D11-1006","17.975"
"N12-1052","P13-2017","6.65"
"P13-2017","N12-1052","6.65"
"N12-1052","petrov-etal-2012-universal","15.0167"
"petrov-etal-2012-universal","N12-1052","15.0167"
"D07-1013","P16-1015","0.333333"
"P16-1015","D07-1013","0.333333"
"H05-1066","P16-1015","0.333333"
"P16-1015","H05-1066","0.333333"
"L16-1262","P16-1015","0.333333"
"P16-1015","L16-1262","0.333333"
"D07-1013","P14-2107","0.333333"
"P14-2107","D07-1013","0.333333"
"D07-1096","P13-2017","5.65833"
"P13-2017","D07-1096","5.65833"
"D07-1096","P14-2107","2.58333"
"P14-2107","D07-1096","2.58333"
"P13-2017","P14-2107","0.333333"
"P14-2107","P13-2017","0.333333"
"D07-1096","petrov-etal-2012-universal","9.90833"
"petrov-etal-2012-universal","D07-1096","9.90833"
"L16-1262","P13-2017","15.5833"
"P13-2017","L16-1262","15.5833"
"L16-1262","petrov-etal-2012-universal","28.6667"
"petrov-etal-2012-universal","L16-1262","28.6667"
"D12-1030","W07-2216","1.03333"
"W07-2216","D12-1030","1.03333"
"D07-1096","W04-3111","5.58333"
"W04-3111","D07-1096","5.58333"
"P05-1012","W04-3111","0.75"
"W04-3111","P05-1012","0.75"
"W04-3111","W06-2932","1.25"
"W06-2932","W04-3111","1.25"
"D07-1096","W06-1615","9.36667"
"W06-1615","D07-1096","9.36667"
"W06-1615","W07-2216","0.533333"
"W07-2216","W06-1615","0.533333"
"D07-1096","D11-1138","1"
"D11-1138","D07-1096","1"
"D11-1138","P05-1012","1.5"
"P05-1012","D11-1138","1.5"
"D11-1006","H05-1066","6.775"
"H05-1066","D11-1006","6.775"
"D07-1096","N12-1052","3.78333"
"N12-1052","D07-1096","3.78333"
"D11-1006","P05-1012","8.05833"
"P05-1012","D11-1006","8.05833"
"N12-1052","P05-1012","2.51667"
"P05-1012","N12-1052","2.51667"
"D07-1096","E06-1038","1"
"E06-1038","D07-1096","1"
"D07-1096","Q13-1001","2.41667"
"Q13-1001","D07-1096","2.41667"
"D07-1096","J14-2001","1.5"
"J14-2001","D07-1096","1.5"
"H05-1066","J14-2001","1.25"
"J14-2001","H05-1066","1.25"
"E06-1011","Q13-1001","0.5"
"Q13-1001","E06-1011","0.5"
"D07-1096","N13-1126","1.28333"
"N13-1126","D07-1096","1.28333"
"D11-1006","N13-1126","18.4833"
"N13-1126","D11-1006","18.4833"
"H05-1066","N12-1052","1.03333"
"N12-1052","H05-1066","1.03333"
"H05-1066","N13-1126","2.45"
"N13-1126","H05-1066","2.45"
"H05-1066","P13-2017","7.24167"
"P13-2017","H05-1066","7.24167"
"H05-1066","petrov-etal-2012-universal","2.65833"
"petrov-etal-2012-universal","H05-1066","2.65833"
"N12-1052","N13-1126","8.56667"
"N13-1126","N12-1052","8.56667"
"N13-1126","P13-2017","4.73333"
"P13-2017","N13-1126","4.73333"
"N13-1126","petrov-etal-2012-universal","7.35"
"petrov-etal-2012-universal","N13-1126","7.35"
"N13-1126","P05-1012","3.93333"
"P05-1012","N13-1126","3.93333"
"N12-1052","Q13-1001","8.28333"
"Q13-1001","N12-1052","8.28333"
"N13-1126","Q13-1001","3.83333"
"Q13-1001","N13-1126","3.83333"
"D07-1096","D13-1093","0.625"
"D13-1093","D07-1096","0.625"
"D12-1030","D13-1093","1.95"
"D13-1093","D12-1030","1.95"
"D13-1093","E06-1011","1.575"
"E06-1011","D13-1093","1.575"
"D13-1093","P05-1012","3.625"
"P05-1012","D13-1093","3.625"
"D11-1006","D11-1017","0.125"
"D11-1017","D11-1006","0.125"
"D11-1006","D13-1093","0.125"
"D13-1093","D11-1006","0.125"
"D11-1006","E06-1011","0.858333"
"E06-1011","D11-1006","0.858333"
"D11-1017","D13-1093","0.125"
"D13-1093","D11-1017","0.125"
"D11-1017","H05-1066","0.125"
"H05-1066","D11-1017","0.125"
"D11-1017","P13-2017","0.125"
"P13-2017","D11-1017","0.125"
"D11-1017","petrov-etal-2012-universal","0.125"
"petrov-etal-2012-universal","D11-1017","0.125"
"D13-1093","H05-1066","1.15833"
"H05-1066","D13-1093","1.15833"
"D13-1093","P13-2017","0.125"
"P13-2017","D13-1093","0.125"
"D13-1093","petrov-etal-2012-universal","0.125"
"petrov-etal-2012-universal","D13-1093","0.125"
"E06-1011","P13-2017","2.375"
"P13-2017","E06-1011","2.375"
"P05-1012","P13-2017","5.44167"
"P13-2017","P05-1012","5.44167"
"D11-1017","D11-1138","1.5"
"D11-1138","D11-1017","1.5"
"D12-1030","P14-2107","1.86667"
"P14-2107","D12-1030","1.86667"
"D13-1093","P14-2107","1.53333"
"P14-2107","D13-1093","1.53333"
"P05-1012","P14-2107","2"
"P14-2107","P05-1012","2"
"H05-1066","Q13-1001","0.166667"
"Q13-1001","H05-1066","0.166667"
"P05-1012","Q13-1001","0.5"
"Q13-1001","P05-1012","0.5"
"J14-2001","W06-1615","0.5"
"W06-1615","J14-2001","0.5"
"L16-1262","N13-1126","3.08333"
"N13-1126","L16-1262","3.08333"
"D11-1006","W07-2216","0.333333"
"W07-2216","D11-1006","0.333333"
"N13-1126","W07-2216","0.833333"
"W07-2216","N13-1126","0.833333"
"E06-1011","N12-1052","1.73333"
"N12-1052","E06-1011","1.73333"
"E06-1011","N13-1126","1.28333"
"N13-1126","E06-1011","1.28333"
"D11-1006","P08-1108","0.333333"
"P08-1108","D11-1006","0.333333"
"N12-1052","P08-1108","0.333333"
"P08-1108","N12-1052","0.333333"
"P08-1108","petrov-etal-2012-universal","1.33333"
"petrov-etal-2012-universal","P08-1108","1.33333"
"L16-1262","N12-1052","3.25"
"N12-1052","L16-1262","3.25"
"L16-1262","P05-1012","3.25"
"P05-1012","L16-1262","3.25"
"L16-1262","Q13-1001","0.25"
"Q13-1001","L16-1262","0.25"
"D11-1006","W06-1615","0.7"
"W06-1615","D11-1006","0.7"
"N12-1052","W06-2932","0.7"
"W06-2932","N12-1052","0.7"
"N12-1052","W06-1615","1.7"
"W06-1615","N12-1052","1.7"
"P13-2017","W06-1615","0.2"
"W06-1615","P13-2017","0.2"
"D11-1006","D11-1138","0.5"
"D11-1138","D11-1006","0.5"
"D11-1138","N12-1052","0.5"
"N12-1052","D11-1138","0.5"
"D11-1138","H05-1066","1.5"
"H05-1066","D11-1138","1.5"
"D11-1138","E06-1038","0.5"
"E06-1038","D11-1138","0.5"
"E06-1038","H05-1066","3.83333"
"H05-1066","E06-1038","3.83333"
"P08-1108","P14-2107","0.333333"
"P14-2107","P08-1108","0.333333"
"D12-1030","P13-2017","0.5"
"P13-2017","D12-1030","0.5"
"D12-1030","N15-1068","0.2"
"N15-1068","D12-1030","0.2"
"D13-1093","N15-1068","0.2"
"N15-1068","D13-1093","0.2"
"E06-1011","N15-1068","1.03333"
"N15-1068","E06-1011","1.03333"
"E06-1011","P14-2107","0.616667"
"P14-2107","E06-1011","0.616667"
"H05-1066","N15-1068","2.36667"
"N15-1068","H05-1066","2.36667"
"H05-1066","P14-2107","3.36667"
"P14-2107","H05-1066","3.36667"
"N15-1068","P14-2107","1.7"
"P14-2107","N15-1068","1.7"
"D12-1030","N10-1069","0.333333"
"N10-1069","D12-1030","0.333333"
"E06-1011","N10-1069","0.833333"
"N10-1069","E06-1011","0.833333"
"N10-1069","P05-1012","4.16667"
"P05-1012","N10-1069","4.16667"
"D13-1093","W06-2932","0.833333"
"W06-2932","D13-1093","0.833333"
"D12-1030","N13-1126","0.25"
"N13-1126","D12-1030","0.25"
"N13-1126","P08-1108","2.58333"
"P08-1108","N13-1126","2.58333"
"P14-2107","W06-2932","0.333333"
"W06-2932","P14-2107","0.333333"
"D17-1309","H05-1066","1"
"H05-1066","D17-1309","1"
"D18-1211","W19-5032","1"
"W19-5032","D18-1211","1"
"D18-1211","W18-5304","2"
"W18-5304","D18-1211","2"
"E06-1011","J14-2001","1.58333"
"J14-2001","E06-1011","1.58333"
"E06-1011","L16-1262","1.25"
"L16-1262","E06-1011","1.25"
"J14-2001","L16-1262","0.25"
"L16-1262","J14-2001","0.25"
"J14-2001","P05-1012","1.08333"
"P05-1012","J14-2001","1.08333"
"P13-2017","W06-2932","1.33333"
"W06-2932","P13-2017","1.33333"
"J14-2001","N13-1126","0.333333"
"N13-1126","J14-2001","0.333333"
"P08-1108","W06-1615","1.66667"
"W06-1615","P08-1108","1.66667"
"J11-1007","J14-2001","0.5"
"J14-2001","J11-1007","0.5"
"N15-1068","P13-2017","0.333333"
"P13-2017","N15-1068","0.333333"
"J11-1007","N15-1068","0.166667"
"N15-1068","J11-1007","0.166667"
"J11-1007","P14-2107","0.166667"
"P14-2107","J11-1007","0.166667"
"N15-1068","P05-1012","0.5"
"P05-1012","N15-1068","0.5"
"N15-1068","petrov-etal-2012-universal","0.166667"
"petrov-etal-2012-universal","N15-1068","0.166667"
"P14-2107","petrov-etal-2012-universal","0.166667"
"petrov-etal-2012-universal","P14-2107","0.166667"
"N15-1068","W07-2216","1.33333"
"W07-2216","N15-1068","1.33333"
"E06-1011","E06-1038","0.333333"
"E06-1038","E06-1011","0.333333"
"E06-1038","P05-1012","9.66667"
"P05-1012","E06-1038","9.66667"
"E06-1038","N10-1069","0.333333"
"N10-1069","E06-1038","0.333333"
"E06-1038","P14-2107","0.333333"
"P14-2107","E06-1038","0.333333"
"N10-1069","P14-2107","0.333333"
"P14-2107","N10-1069","0.333333"
"E06-1038","petrov-etal-2012-universal","1"
"petrov-etal-2012-universal","E06-1038","1"
"E09-1059","P08-1036","7.33333"
"P08-1036","E09-1059","7.33333"
"E09-1059","N09-2029","1.83333"
"N09-2029","E09-1059","1.83333"
"E09-1059","P07-1055","1.5"
"P07-1055","E09-1059","1.5"
"E09-1059","P05-1012","0.333333"
"P05-1012","E09-1059","0.333333"
"N09-2029","P05-1012","0.333333"
"P05-1012","N09-2029","0.333333"
"N09-2029","P08-1036","0.833333"
"P08-1036","N09-2029","0.833333"
"P05-1012","P08-1036","0.333333"
"P08-1036","P05-1012","0.333333"
"P07-1055","P08-1036","15.8333"
"P08-1036","P07-1055","15.8333"
"L16-1262","W07-2216","0.5"
"W07-2216","L16-1262","0.5"
"H05-1066","H05-1124","1.5"
"H05-1124","H05-1066","1.5"
"H05-1066","P12-2047","1"
"P12-2047","H05-1066","1"
"H05-1066","P05-1061","1"
"P05-1061","H05-1066","1"
"H05-1124","P05-1012","4.5"
"P05-1012","H05-1124","4.5"
"H05-1066","P18-1246","0.5"
"P18-1246","H05-1066","0.5"
"L16-1262","P18-1246","2.5"
"P18-1246","L16-1262","2.5"
"petrov-etal-2012-universal","W07-2216","0.5"
"W07-2216","petrov-etal-2012-universal","0.5"
"H05-1066","W10-3110","0.5"
"W10-3110","H05-1066","0.5"
"P08-1108","W10-3110","1.5"
"W10-3110","P08-1108","1.5"
"H05-1066","N10-1069","1"
"N10-1069","H05-1066","1"
"H05-1124","W04-3111","1"
"W04-3111","H05-1124","1"
"L16-1262","P08-1108","3"
"P08-1108","L16-1262","3"
"L16-1262","W06-1615","1"
"W06-1615","L16-1262","1"
"L16-1262","W04-3111","1"
"W04-3111","L16-1262","1"
"N10-1069","P08-1108","1"
"P08-1108","N10-1069","1"
"N10-1119","W10-3110","3.25"
"W10-3110","N10-1119","3.25"
"N10-1119","P07-1055","2.25"
"P07-1055","N10-1119","2.25"
"N10-1119","N12-1052","0.5"
"N12-1052","N10-1119","0.5"
"N10-1119","P13-2017","0.5"
"P13-2017","N10-1119","0.5"
"N10-1119","P05-1012","0.25"
"P05-1012","N10-1119","0.25"
"N10-1119","P11-2100","0.25"
"P11-2100","N10-1119","0.25"
"P05-1012","P07-1055","0.25"
"P07-1055","P05-1012","0.25"
"P05-1012","P11-2100","0.25"
"P11-2100","P05-1012","0.25"
"P05-1012","W10-3110","1.25"
"W10-3110","P05-1012","1.25"
"P07-1055","P11-2100","2.58333"
"P11-2100","P07-1055","2.58333"
"P07-1055","W10-3110","0.583333"
"W10-3110","P07-1055","0.583333"
"P11-2100","W10-3110","0.583333"
"W10-3110","P11-2100","0.583333"
"N12-1052","Q16-1001","0.333333"
"Q16-1001","N12-1052","0.333333"
"petrov-etal-2012-universal","Q16-1001","1.33333"
"Q16-1001","petrov-etal-2012-universal","1.33333"
"Q13-1001","Q16-1001","0.333333"
"Q16-1001","Q13-1001","0.333333"
"P05-1012","P18-1246","1"
"P18-1246","P05-1012","1"
"P05-1012","P05-1061","1"
"P05-1061","P05-1012","1"
"P07-1055","W06-1615","1"
"W06-1615","P07-1055","1"
"P08-1036","P11-2100","3.33333"
"P11-2100","P08-1036","3.33333"
"P08-1036","W10-3110","0.333333"
"W10-3110","P08-1036","0.333333"
"P08-1036","W06-1615","1"
"W06-1615","P08-1036","1"
"P12-2047","petrov-etal-2012-universal","2"
"petrov-etal-2012-universal","P12-2047","2"
"P12-2047","Q13-1001","1"
"Q13-1001","P12-2047","1"
"P12-2047","W06-1615","2"
"W06-1615","P12-2047","2"
"P14-2107","P16-1015","1"
"P16-1015","P14-2107","1"
"P18-1246","petrov-etal-2012-universal","2.5"
"petrov-etal-2012-universal","P18-1246","2.5"
"P18-1246","Q13-1001","0.5"
"Q13-1001","P18-1246","0.5"
