"1991.mtsummit-papers.7","A92-1029","1"
"2005.mtsummit-papers.25","2006.jeptalnrecital-long.6","0.583333"
"2006.jeptalnrecital-long.6","2005.mtsummit-papers.25","0.583333"
"2005.mtsummit-papers.25","2007.jeptalnrecital-poster.5","0.45"
"2007.jeptalnrecital-poster.5","2005.mtsummit-papers.25","0.45"
"2006.jeptalnrecital-long.6","2007.jeptalnrecital-poster.5","0.25"
"2007.jeptalnrecital-poster.5","2006.jeptalnrecital-long.6","0.25"
"2006.jeptalnrecital-long.6","bouillon-etal-2008-developing","0.25"
"bouillon-etal-2008-developing","2006.jeptalnrecital-long.6","0.25"
"2007.jeptalnrecital-poster.5","bouillon-etal-2008-developing","0.25"
"bouillon-etal-2008-developing","2007.jeptalnrecital-poster.5","0.25"
"2005.eamt-1.8","H05-2014","1.9"
"H05-2014","2005.eamt-1.8","1.9"
"2005.mtsummit-papers.25","H05-2014","0.7"
"H05-2014","2005.mtsummit-papers.25","0.7"
"2005.eamt-1.8","2005.jeptalnrecital-long.17","0.7"
"2005.jeptalnrecital-long.17","2005.eamt-1.8","0.7"
"2005.jeptalnrecital-long.17","2005.mtsummit-papers.25","1.7"
"2005.mtsummit-papers.25","2005.jeptalnrecital-long.17","1.7"
"2005.eamt-1.8","W07-1807","0.533333"
"W07-1807","2005.eamt-1.8","0.533333"
"bouillon-etal-2008-developing","W07-1806","0.533333"
"W07-1806","bouillon-etal-2008-developing","0.533333"
"bouillon-etal-2008-developing","W07-1807","0.533333"
"W07-1807","bouillon-etal-2008-developing","0.533333"
"tsourakis-etal-2008-building","W07-1806","0.2"
"W07-1806","tsourakis-etal-2008-building","0.2"
"tsourakis-etal-2008-building","W07-1807","0.2"
"W07-1807","tsourakis-etal-2008-building","0.2"
"W06-3702","W07-1806","0.2"
"W07-1806","W06-3702","0.2"
"W06-3702","W07-1807","0.2"
"W07-1807","W06-3702","0.2"
"W07-1806","W07-1807","0.533333"
"W07-1807","W07-1806","0.533333"
"2006.jeptalnrecital-long.6","W06-3702","0.333333"
"W06-3702","2006.jeptalnrecital-long.6","0.333333"
"2005.eamt-1.8","W07-0806","0.4"
"W07-0806","2005.eamt-1.8","0.4"
"2005.jeptalnrecital-long.17","H05-2014","0.2"
"H05-2014","2005.jeptalnrecital-long.17","0.2"
"2005.jeptalnrecital-long.17","W06-3702","0.2"
"W06-3702","2005.jeptalnrecital-long.17","0.2"
"2005.jeptalnrecital-long.17","W07-0806","0.2"
"W07-0806","2005.jeptalnrecital-long.17","0.2"
"2005.mtsummit-papers.25","W07-0806","0.2"
"W07-0806","2005.mtsummit-papers.25","0.2"
"H05-2014","W06-3702","0.2"
"W06-3702","H05-2014","0.2"
"H05-2014","W07-0806","0.4"
"W07-0806","H05-2014","0.4"
"W06-3702","W07-0806","0.2"
"W07-0806","W06-3702","0.2"
"2005.eamt-1.8","W08-1511","0.5"
"W08-1511","2005.eamt-1.8","0.5"
"W06-3702","W08-1511","0.5"
"W08-1511","W06-3702","0.5"
"2005.eamt-1.8","rayner-etal-2006-regulus","0.2"
"rayner-etal-2006-regulus","2005.eamt-1.8","0.2"
"bouillon-etal-2008-developing","H05-2014","0.2"
"H05-2014","bouillon-etal-2008-developing","0.2"
"bouillon-etal-2008-developing","rayner-etal-2006-regulus","0.2"
"rayner-etal-2006-regulus","bouillon-etal-2008-developing","0.2"
"bouillon-etal-2008-developing","W07-0806","0.2"
"W07-0806","bouillon-etal-2008-developing","0.2"
"H05-2014","rayner-etal-2006-regulus","0.2"
"rayner-etal-2006-regulus","H05-2014","0.2"
"H05-2014","tsourakis-etal-2008-building","0.2"
"tsourakis-etal-2008-building","H05-2014","0.2"
"rayner-etal-2006-regulus","tsourakis-etal-2008-building","0.2"
"tsourakis-etal-2008-building","rayner-etal-2006-regulus","0.2"
"rayner-etal-2006-regulus","W07-0806","0.2"
"W07-0806","rayner-etal-2006-regulus","0.2"
"tsourakis-etal-2008-building","W07-0806","0.2"
"W07-0806","tsourakis-etal-2008-building","0.2"
"2005.mtsummit-papers.25","2008.eamt-1.24","0.2"
"2008.eamt-1.24","2005.mtsummit-papers.25","0.2"
"2005.mtsummit-papers.25","W07-1806","0.2"
"W07-1806","2005.mtsummit-papers.25","0.2"
"2005.mtsummit-papers.25","W08-1511","0.2"
"W08-1511","2005.mtsummit-papers.25","0.2"
"2005.mtsummit-papers.25","W09-2607","0.2"
"W09-2607","2005.mtsummit-papers.25","0.2"
"2007.jeptalnrecital-poster.5","2008.eamt-1.24","0.2"
"2008.eamt-1.24","2007.jeptalnrecital-poster.5","0.2"
"2007.jeptalnrecital-poster.5","W07-1806","0.2"
"W07-1806","2007.jeptalnrecital-poster.5","0.2"
"2007.jeptalnrecital-poster.5","W08-1511","0.2"
"W08-1511","2007.jeptalnrecital-poster.5","0.2"
"2007.jeptalnrecital-poster.5","W09-2607","0.2"
"W09-2607","2007.jeptalnrecital-poster.5","0.2"
"2008.eamt-1.24","W07-1806","0.2"
"W07-1806","2008.eamt-1.24","0.2"
"2008.eamt-1.24","W08-1511","0.2"
"W08-1511","2008.eamt-1.24","0.2"
"2008.eamt-1.24","W09-2607","0.2"
"W09-2607","2008.eamt-1.24","0.2"
"W07-1806","W08-1511","0.2"
"W08-1511","W07-1806","0.2"
"W07-1806","W09-2607","0.2"
"W09-2607","W07-1806","0.2"
"W08-1511","W09-2607","0.2"
"W09-2607","W08-1511","0.2"
"2007.jeptalnrecital-poster.5","W19-6734","1"
"W19-6734","2007.jeptalnrecital-poster.5","1"
"2012.amta-papers.25","2013.mtsummit-posters.7","1"
"2013.mtsummit-posters.7","2012.amta-papers.25","1"
"2013.mtsummit-wptp.6","W14-0310","1"
"W14-0310","2013.mtsummit-wptp.6","1"
"2020.eamt-1.30","W19-6734","1"
"W19-6734","2020.eamt-1.30","1"
"C08-1090","rayner-etal-2010-multilingual","1.5"
"rayner-etal-2010-multilingual","C08-1090","1.5"
"C08-1090","rayner-etal-2012-evaluating","0.5"
"rayner-etal-2012-evaluating","C08-1090","0.5"
"rayner-etal-2010-multilingual","rayner-etal-2012-evaluating","1.5"
"rayner-etal-2012-evaluating","rayner-etal-2010-multilingual","1.5"
