"1999.mtsummit-1.81","germann-1998-making","5"
"W09-1505","W18-6412","0.166667"
"W18-6412","W09-1505","0.166667"
"W09-1505","W19-5304","0.166667"
"W19-5304","W09-1505","0.166667"
"W12-3135","W13-2816","0.166667"
"W13-2816","W12-3135","0.166667"
"W12-3135","W18-6412","0.166667"
"W18-6412","W12-3135","0.166667"
"W12-3135","W19-5304","0.166667"
"W19-5304","W12-3135","0.166667"
"W13-2816","W18-6412","0.166667"
"W18-6412","W13-2816","0.166667"
"W13-2816","W19-5304","0.166667"
"W19-5304","W13-2816","0.166667"
"P08-4006","W07-1520","4"
"W07-1520","P08-4006","4"
"W10-1717","W13-2816","1"
"W13-2816","W10-1717","1"
"W10-1717","W12-3135","1"
"W12-3135","W10-1717","1"
