"C88-1057","C90-2035","1"
"W11-0303","P10-1130","2.0421"
"P10-1130","W12-1903","1.22424"
"W12-1903","P10-1130","1.22424"
"P98-2184","W10-2902","0.0666667"
"W10-2902","P98-2184","0.0666667"
"P98-2184","W12-1903","0.0666667"
"W12-1903","P98-2184","0.0666667"
"W00-0905","W10-2902","0.0666667"
"W10-2902","W00-0905","0.0666667"
"W00-0905","W12-1903","0.0666667"
"W12-1903","W00-0905","0.0666667"
"W10-2902","W11-0303","0.925433"
"W11-0303","W10-2902","0.925433"
"W10-2902","W12-1903","1.19091"
"W12-1903","W10-2902","1.19091"
"W11-0303","W12-1903","1.30758"
"W12-1903","W11-0303","1.30758"
"C98-2179","P05-1072","0.25"
"P05-1072","C98-2179","0.25"
"J02-3001","P05-1072","0.25"
"P05-1072","J02-3001","0.25"
"P00-1065","P05-1072","0.25"
"P05-1072","P00-1065","0.25"
"P05-1072","P98-2184","0.25"
"P98-2184","P05-1072","0.25"
"D07-1107","P00-1065","2.25"
"P00-1065","D07-1107","2.25"
"D07-1107","D11-1118","0.25"
"D11-1118","D07-1107","0.25"
"D07-1107","J02-3001","0.25"
"J02-3001","D07-1107","0.25"
"D07-1107","P10-1046","0.25"
"P10-1046","D07-1107","0.25"
"D11-1118","P10-1046","0.25"
"P10-1046","D11-1118","0.25"
"J02-3001","P10-1046","1.25"
"P10-1046","J02-3001","1.25"
"P00-1065","P10-1046","1.25"
"P10-1046","P00-1065","1.25"
"D08-1027","N04-4036","0.5"
"N04-4036","D08-1027","0.5"
"D08-1027","P10-1046","0.5"
"P10-1046","D08-1027","0.5"
"J02-3001","N04-4036","0.5"
"N04-4036","J02-3001","0.5"
"N04-4036","P00-1065","0.5"
"P00-1065","N04-4036","0.5"
"N04-4036","P10-1046","0.5"
"P10-1046","N04-4036","0.5"
"D08-1027","P05-1072","1"
"P05-1072","D08-1027","1"
"D08-1073","N10-1080","0.5"
"N10-1080","D08-1073","0.5"
"D08-1073","P09-1113","0.5"
"P09-1113","D08-1073","0.5"
"N10-1080","P09-1113","0.5"
"P09-1113","N10-1080","0.5"
"D11-1117","N12-1049","0.125"
"N12-1049","D11-1117","0.125"
"D11-1118","N12-1049","0.125"
"N12-1049","D11-1118","0.125"
"D12-1063","N12-1049","0.125"
"N12-1049","D12-1063","0.125"
"D13-1204","N12-1049","0.125"
"N12-1049","D13-1204","0.125"
"N10-1116","N12-1049","0.125"
"N12-1049","N10-1116","0.125"
"N12-1049","P10-1130","0.125"
"P10-1130","N12-1049","0.125"
"N12-1049","W10-2902","0.125"
"W10-2902","N12-1049","0.125"
"N12-1049","W11-0303","0.125"
"W11-0303","N12-1049","0.125"
"D11-1117","N04-1032","0.0909091"
"N04-1032","D11-1117","0.0909091"
"D11-1118","N04-1032","1.09091"
"N04-1032","D11-1118","1.09091"
"D12-1063","N04-1032","0.0909091"
"N04-1032","D12-1063","0.0909091"
"D13-1204","N04-1032","0.0909091"
"N04-1032","D13-1204","0.0909091"
"J02-3001","N04-1032","0.0909091"
"N04-1032","J02-3001","0.0909091"
"N04-1032","N10-1116","0.0909091"
"N10-1116","N04-1032","0.0909091"
"N04-1032","P00-1065","0.0909091"
"P00-1065","N04-1032","0.0909091"
"N04-1032","P10-1130","0.0909091"
"P10-1130","N04-1032","0.0909091"
"N04-1032","W10-2902","0.0909091"
"W10-2902","N04-1032","0.0909091"
"N04-1032","W11-0303","0.0909091"
"W11-0303","N04-1032","0.0909091"
"N04-1032","W12-1903","0.0909091"
"W12-1903","N04-1032","0.0909091"
"D11-1118","J96-4003","1"
"J96-4003","D11-1118","1"
"D13-1204","W05-0634","1"
"W05-0634","D13-1204","1"
"I05-3005","N04-1032","2"
"N04-1032","I05-3005","2"
"I05-3005","I05-3027","1"
"I05-3027","I05-3005","1"
"J00-3003","W98-0319","2"
"W98-0319","J00-3003","2"
"J00-3003","N13-1127","1"
"N13-1127","J00-3003","1"
"J96-4003","P95-1001","0.5"
"P95-1001","J96-4003","0.5"
"J96-4003","P95-1002","2.5"
"P95-1002","J96-4003","2.5"
"P95-1001","P95-1002","0.5"
"P95-1002","P95-1001","0.5"
"N01-1024","W00-0712","3"
"W00-0712","N01-1024","3"
"N01-1024","W01-0513","1"
"W01-0513","N01-1024","1"
"N04-1032","N04-4036","1.75"
"N04-4036","N04-1032","1.75"
"N04-1032","P05-1072","1.75"
"P05-1072","N04-1032","1.75"
"N04-1032","W05-0634","1.25"
"W05-0634","N04-1032","1.25"
"N04-4036","P05-1072","3.58333"
"P05-1072","N04-4036","3.58333"
"N04-4036","W05-0634","2.08333"
"W05-0634","N04-4036","2.08333"
"P05-1072","W05-0634","4.58333"
"W05-0634","P05-1072","4.58333"
"N04-1032","N04-4038","0.25"
"N04-4038","N04-1032","0.25"
"N04-4036","N04-4038","0.583333"
"N04-4038","N04-4036","0.583333"
"N04-4038","P05-1072","0.583333"
"P05-1072","N04-4038","0.583333"
"N04-4038","W05-0634","0.583333"
"W05-0634","N04-4038","0.583333"
"N04-1032","W09-0436","1"
"W09-0436","N04-1032","1"
"N04-4036","P10-1130","1"
"P10-1130","N04-4036","1"
"N10-1080","W09-0404","3"
"W09-0404","N10-1080","3"
"N10-1080","W09-0436","2.5"
"W09-0436","N10-1080","2.5"
"N10-1080","N10-2003","6.5"
"N10-2003","N10-1080","6.5"
"N10-2003","W09-0436","1.5"
"W09-0436","N10-2003","1.5"
"N10-2003","W09-0404","1"
"W09-0404","N10-2003","1"
"P05-1072","W04-2416","0.5"
"W04-2416","P05-1072","0.5"
"W04-2416","W05-0634","1.5"
"W05-0634","W04-2416","1.5"
"P05-1072","W11-0303","1"
"W11-0303","P05-1072","1"
"P06-1101","P09-1113","2"
"P09-1113","P06-1101","2"
"P06-1101","W01-0513","1"
"W01-0513","P06-1101","1"
"P10-1130","reschke-etal-2014-event","1"
"reschke-etal-2014-event","P10-1130","1"
