"2003.mtsummit-papers.23","C94-2153","1"
"P12-2057","C10-1036","0.0777126"
"C10-1036","P13-1017","0.0930736"
"P13-1017","C10-1036","0.0930736"
"C10-1036","P14-1013","0.127713"
"P14-1013","C10-1036","0.127713"
"C10-1036","P16-1212","0.0777126"
"P16-1212","C10-1036","0.0777126"
"C10-1036","W08-0301","0.0454545"
"W08-0301","C10-1036","0.0454545"
"C10-1054","C10-2025","0.140213"
"C10-2025","C10-1054","0.140213"
"C10-1054","C10-2084","0.123167"
"C10-2084","C10-1054","0.123167"
"C10-1054","C14-1108","0.0985459"
"C14-1108","C10-1054","0.0985459"
"C10-1054","C14-1210","0.140213"
"C14-1210","C10-1054","0.140213"
"C10-1054","C16-1290","0.111742"
"C16-1290","C10-1054","0.111742"
"C10-1054","D09-1038","0.0454545"
"D09-1038","C10-1054","0.0454545"
"C10-1054","D13-1107","0.348546"
"D13-1107","C10-1054","0.348546"
"C10-1054","J15-2004","0.0454545"
"J15-2004","C10-1054","0.0454545"
"C10-1054","K18-1019","0.107955"
"K18-1019","C10-1054","0.107955"
"C10-1054","P10-1033","0.123167"
"P10-1033","C10-1054","0.123167"
"C10-1054","P12-2008","0.0777126"
"P12-2008","C10-1054","0.0777126"
"C10-1054","P12-2057","0.185667"
"P12-2057","C10-1054","0.185667"
"C10-1054","P13-1017","0.132576"
"P13-1017","C10-1054","0.132576"
"C10-1054","P14-1013","0.0985459"
"P14-1013","C10-1054","0.0985459"
"C10-1054","P16-1212","0.140213"
"P16-1212","C10-1054","0.140213"
"C10-1054","W08-0301","0.107955"
"W08-0301","C10-1054","0.107955"
"C10-2025","C10-2084","0.177963"
"C10-2084","C10-2025","0.177963"
"C10-2025","C14-1108","0.234511"
"C14-1108","C10-2025","0.234511"
"C10-2025","C14-1210","0.323797"
"C14-1210","C10-2025","0.323797"
"C10-2025","C16-1290","0.0662879"
"C16-1290","C10-2025","0.0662879"
"C10-2025","D09-1038","0.339044"
"D09-1038","C10-2025","0.339044"
"C10-2025","D13-1107","0.148546"
"D13-1107","C10-2025","0.148546"
"C10-2025","J15-2004","0.0454545"
"J15-2004","C10-2025","0.0454545"
"C10-2025","K18-1019","0.107955"
"K18-1019","C10-2025","0.107955"
"C10-2025","P10-1033","0.258665"
"P10-1033","C10-2025","0.258665"
"C10-2025","P12-2008","0.244379"
"P12-2008","C10-2025","0.244379"
"C10-2025","P12-2057","0.217136"
"P12-2057","C10-2025","0.217136"
"C10-2025","P13-1017","0.13474"
"P13-1017","C10-2025","0.13474"
"C10-2025","P14-1013","0.148546"
"P14-1013","C10-2025","0.148546"
"C10-2025","P16-1212","0.140213"
"P16-1212","C10-2025","0.140213"
"C10-2025","W08-0301","1.19129"
"W08-0301","C10-2025","1.19129"
"C10-2084","C14-1108","0.1859"
"C14-1108","C10-2084","0.1859"
"C10-2084","C14-1210","0.177963"
"C14-1210","C10-2084","0.177963"
"C10-2084","C16-1290","0.340909"
"C16-1290","C10-2084","0.340909"
"C10-2084","D09-1038","0.0454545"
"D09-1038","C10-2084","0.0454545"
"C10-2084","D13-1107","0.0777126"
"D13-1107","C10-2084","0.0777126"
"C10-2084","J15-2004","0.0454545"
"J15-2004","C10-2084","0.0454545"
"C10-2084","K18-1019","0.0454545"
"K18-1019","C10-2084","0.0454545"
"C10-2084","P10-1033","6.33745"
"P10-1033","C10-2084","6.33745"
"C10-2084","P12-2008","0.0777126"
"P12-2008","C10-2084","0.0777126"
"C10-2084","P12-2057","0.123167"
"P12-2057","C10-2084","0.123167"
"C10-2084","P13-1017","0.721861"
"P13-1017","C10-2084","0.721861"
"C10-2084","P14-1013","0.0777126"
"P14-1013","C10-2084","0.0777126"
"C10-2084","P16-1212","0.0777126"
"P16-1212","C10-2084","0.0777126"
"C10-2084","W08-0301","0.0454545"
"W08-0301","C10-2084","0.0454545"
"C14-1108","C14-1210","2.56784"
"C14-1210","C14-1108","2.56784"
"C14-1108","C16-1290","0.0662879"
"C16-1290","C14-1108","0.0662879"
"C14-1108","D09-1038","0.0454545"
"D09-1038","C14-1108","0.0454545"
"C14-1108","D13-1107","0.0985459"
"D13-1107","C14-1108","0.0985459"
"C14-1108","J15-2004","0.0454545"
"J15-2004","C14-1108","0.0454545"
"C14-1108","K18-1019","0.0662879"
"K18-1019","C14-1108","0.0662879"
"C14-1108","P10-1033","0.161046"
"P10-1033","C14-1108","0.161046"
"C14-1108","P12-2008","0.0777126"
"P12-2008","C14-1108","0.0777126"
"C14-1108","P12-2057","0.0985459"
"P12-2057","C14-1108","0.0985459"
"C14-1108","P13-1017","0.0454545"
"P13-1017","C14-1108","0.0454545"
"C14-1108","P14-1013","0.431879"
"P14-1013","C14-1108","0.431879"
"C14-1108","P16-1212","0.223546"
"P16-1212","C14-1108","0.223546"
"C14-1108","W08-0301","0.149621"
"W08-0301","C14-1108","0.149621"
"C14-1210","C16-1290","0.0662879"
"C16-1290","C14-1210","0.0662879"
"C14-1210","D09-1038","0.0454545"
"D09-1038","C14-1210","0.0454545"
"C14-1210","D13-1107","0.0985459"
"D13-1107","C14-1210","0.0985459"
"C14-1210","J15-2004","0.0454545"
"J15-2004","C14-1210","0.0454545"
"C14-1210","K18-1019","0.107955"
"K18-1019","C14-1210","0.107955"
"C14-1210","P10-1033","0.208665"
"P10-1033","C14-1210","0.208665"
"C14-1210","P12-2008","0.0777126"
"P12-2008","C14-1210","0.0777126"
"C14-1210","P12-2057","0.140213"
"P12-2057","C14-1210","0.140213"
"C14-1210","P13-1017","0.13474"
"P13-1017","C14-1210","0.13474"
"C14-1210","P14-1013","1.43188"
"P14-1013","C14-1210","1.43188"
"C14-1210","P16-1212","0.140213"
"P16-1212","C14-1210","0.140213"
"C14-1210","W08-0301","0.191288"
"W08-0301","C14-1210","0.191288"
"C16-1290","D09-1038","0.0454545"
"D09-1038","C16-1290","0.0454545"
"C16-1290","D13-1107","0.137716"
"D13-1107","C16-1290","0.137716"
"C16-1290","J15-2004","0.0454545"
"J15-2004","C16-1290","0.0454545"
"C16-1290","K18-1019","0.0662879"
"K18-1019","C16-1290","0.0662879"
"C16-1290","P10-1033","0.340909"
"P10-1033","C16-1290","0.340909"
"C16-1290","P12-2008","0.0454545"
"P12-2008","C16-1290","0.0454545"
"C16-1290","P12-2057","0.111742"
"P12-2057","C16-1290","0.111742"
"C16-1290","P13-1017","0.340909"
"P13-1017","C16-1290","0.340909"
"C16-1290","P14-1013","0.0662879"
"P14-1013","C16-1290","0.0662879"
"C16-1290","P16-1212","1.1774"
"P16-1212","C16-1290","1.1774"
"C16-1290","W08-0301","0.0662879"
"W08-0301","C16-1290","0.0662879"
"D09-1038","D13-1107","0.0954545"
"D13-1107","D09-1038","0.0954545"
"D09-1038","J15-2004","0.0454545"
"J15-2004","D09-1038","0.0454545"
"D09-1038","K18-1019","0.0454545"
"K18-1019","D09-1038","0.0454545"
"D09-1038","P10-1033","0.0954545"
"P10-1033","D09-1038","0.0954545"
"D09-1038","P12-2008","0.0454545"
"P12-2008","D09-1038","0.0454545"
"D09-1038","P12-2057","0.122378"
"P12-2057","D09-1038","0.122378"
"D09-1038","P13-1017","0.0454545"
"P13-1017","D09-1038","0.0454545"
"D09-1038","P14-1013","0.0954545"
"P14-1013","D09-1038","0.0954545"
"D09-1038","P16-1212","0.0454545"
"P16-1212","D09-1038","0.0454545"
"D09-1038","W08-0301","0.0454545"
"W08-0301","D09-1038","0.0454545"
"D13-1107","J15-2004","0.0454545"
"J15-2004","D13-1107","0.0454545"
"D13-1107","K18-1019","0.0662879"
"K18-1019","D13-1107","0.0662879"
"D13-1107","P10-1033","0.127713"
"P10-1033","D13-1107","0.127713"
"D13-1107","P12-2008","0.0777126"
"P12-2008","D13-1107","0.0777126"
"D13-1107","P12-2057","0.0985459"
"P12-2057","D13-1107","0.0985459"
"D13-1107","P13-1017","0.0454545"
"P13-1017","D13-1107","0.0454545"
"D13-1107","P14-1013","0.481879"
"P14-1013","D13-1107","0.481879"
"D13-1107","P16-1212","0.0985459"
"P16-1212","D13-1107","0.0985459"
"D13-1107","W08-0301","0.0662879"
"W08-0301","D13-1107","0.0662879"
"J15-2004","K18-1019","0.0454545"
"K18-1019","J15-2004","0.0454545"
"J15-2004","P10-1033","0.0454545"
"P10-1033","J15-2004","0.0454545"
"J15-2004","P12-2008","0.0454545"
"P12-2008","J15-2004","0.0454545"
"J15-2004","P12-2057","0.0454545"
"P12-2057","J15-2004","0.0454545"
"J15-2004","P13-1017","0.212121"
"P13-1017","J15-2004","0.212121"
"J15-2004","P14-1013","0.245455"
"P14-1013","J15-2004","0.245455"
"J15-2004","P16-1212","0.462121"
"P16-1212","J15-2004","0.462121"
"J15-2004","W08-0301","0.145455"
"W08-0301","J15-2004","0.145455"
"K18-1019","P10-1033","0.0454545"
"P10-1033","K18-1019","0.0454545"
"K18-1019","P12-2008","0.0454545"
"P12-2008","K18-1019","0.0454545"
"K18-1019","P12-2057","0.107955"
"P12-2057","K18-1019","0.107955"
"K18-1019","P13-1017","0.0871212"
"P13-1017","K18-1019","0.0871212"
"K18-1019","P14-1013","0.0662879"
"P14-1013","K18-1019","0.0662879"
"K18-1019","P16-1212","0.107955"
"P16-1212","K18-1019","0.107955"
"K18-1019","W08-0301","0.107955"
"W08-0301","K18-1019","0.107955"
"P10-1033","P12-2008","0.0777126"
"P12-2008","P10-1033","0.0777126"
"P10-1033","P12-2057","0.123167"
"P12-2057","P10-1033","0.123167"
"P10-1033","P13-1017","1.22186"
"P13-1017","P10-1033","1.22186"
"P10-1033","P14-1013","0.127713"
"P14-1013","P10-1033","0.127713"
"P10-1033","P16-1212","0.0777126"
"P16-1212","P10-1033","0.0777126"
"P10-1033","W08-0301","0.128788"
"W08-0301","P10-1033","0.128788"
"P12-2008","P12-2057","0.0777126"
"P12-2057","P12-2008","0.0777126"
"P12-2008","P13-1017","0.0454545"
"P13-1017","P12-2008","0.0454545"
"P12-2008","P14-1013","0.0777126"
"P14-1013","P12-2008","0.0777126"
"P12-2008","P16-1212","0.0777126"
"P16-1212","P12-2008","0.0777126"
"P12-2008","W08-0301","0.0454545"
"W08-0301","P12-2008","0.0454545"
"P12-2057","P13-1017","0.132576"
"P13-1017","P12-2057","0.132576"
"P12-2057","P14-1013","0.0985459"
"P14-1013","P12-2057","0.0985459"
"P12-2057","P16-1212","0.140213"
"P16-1212","P12-2057","0.140213"
"P12-2057","W08-0301","0.107955"
"W08-0301","P12-2057","0.107955"
"P13-1017","P14-1013","0.378788"
"P14-1013","P13-1017","0.378788"
"P13-1017","P16-1212","0.0871212"
"P16-1212","P13-1017","0.0871212"
"P13-1017","W08-0301","0.0871212"
"W08-0301","P13-1017","0.0871212"
"P14-1013","P16-1212","0.0985459"
"P16-1212","P14-1013","0.0985459"
"P14-1013","W08-0301","0.0662879"
"W08-0301","P14-1013","0.0662879"
"P16-1212","W08-0301","0.107955"
"W08-0301","P16-1212","0.107955"
"2011.mtsummit-papers.14","D12-1078","1.10309"
"D12-1078","2011.mtsummit-papers.14","1.10309"
"2011.mtsummit-papers.14","2011.mtsummit-papers.20","0.211279"
"2011.mtsummit-papers.20","2011.mtsummit-papers.14","0.211279"
"2011.mtsummit-papers.14","C08-1141","0.0708333"
"C08-1141","2011.mtsummit-papers.14","0.0708333"
"2011.mtsummit-papers.14","D09-1114","0.190445"
"D09-1114","2011.mtsummit-papers.14","0.190445"
"2011.mtsummit-papers.14","P09-1066","0.190445"
"P09-1066","2011.mtsummit-papers.14","0.190445"
"2011.mtsummit-papers.14","P11-1126","0.258898"
"P11-1126","2011.mtsummit-papers.14","0.258898"
"2011.mtsummit-papers.14","P12-1032","0.203342"
"P12-1032","2011.mtsummit-papers.14","0.203342"
"2011.mtsummit-papers.14","P13-2061","0.300564"
"P13-2061","2011.mtsummit-papers.14","0.300564"
"2011.mtsummit-papers.14","P14-1011","0.150251"
"P14-1011","2011.mtsummit-papers.14","0.150251"
"2011.mtsummit-papers.14","P14-1140","0.22664"
"P14-1140","2011.mtsummit-papers.14","0.22664"
"2011.mtsummit-papers.14","P17-1065","0.0708333"
"P17-1065","2011.mtsummit-papers.14","0.0708333"
"2011.mtsummit-papers.19","2011.mtsummit-papers.20","1.08226"
"2011.mtsummit-papers.20","2011.mtsummit-papers.19","1.08226"
"2011.mtsummit-papers.19","C08-1141","0.121429"
"C08-1141","2011.mtsummit-papers.19","0.121429"
"2011.mtsummit-papers.19","D09-1114","0.153687"
"D09-1114","2011.mtsummit-papers.19","0.153687"
"2011.mtsummit-papers.19","D12-1078","0.353687"
"D12-1078","2011.mtsummit-papers.19","0.353687"
"2011.mtsummit-papers.19","P09-1066","0.0822581"
"P09-1066","2011.mtsummit-papers.19","0.0822581"
"2011.mtsummit-papers.19","P10-2002","0.05"
"P10-2002","2011.mtsummit-papers.19","0.05"
"2011.mtsummit-papers.19","P11-1126","0.0822581"
"P11-1126","2011.mtsummit-papers.19","0.0822581"
"2011.mtsummit-papers.19","P12-1032","0.615591"
"P12-1032","2011.mtsummit-papers.19","0.615591"
"2011.mtsummit-papers.19","P13-2061","0.353687"
"P13-2061","2011.mtsummit-papers.19","0.353687"
"2011.mtsummit-papers.19","P14-1011","0.05"
"P14-1011","2011.mtsummit-papers.19","0.05"
"2011.mtsummit-papers.19","P14-1140","0.583333"
"P14-1140","2011.mtsummit-papers.19","0.583333"
"2011.mtsummit-papers.19","P17-1065","0.05"
"P17-1065","2011.mtsummit-papers.19","0.05"
"2011.mtsummit-papers.20","2011.mtsummit-papers.6","0.211279"
"2011.mtsummit-papers.6","2011.mtsummit-papers.20","0.211279"
"2011.mtsummit-papers.20","C08-1141","0.0708333"
"C08-1141","2011.mtsummit-papers.20","0.0708333"
"2011.mtsummit-papers.20","C10-1036","1.27378"
"C10-1036","2011.mtsummit-papers.20","1.27378"
"2011.mtsummit-papers.20","C10-2025","0.32239"
"C10-2025","2011.mtsummit-papers.20","0.32239"
"2011.mtsummit-papers.20","D09-1038","0.05"
"D09-1038","2011.mtsummit-papers.20","0.05"
"2011.mtsummit-papers.20","D09-1114","1.19045"
"D09-1114","2011.mtsummit-papers.20","1.19045"
"2011.mtsummit-papers.20","D12-1078","0.103091"
"D12-1078","2011.mtsummit-papers.20","0.103091"
"2011.mtsummit-papers.20","D13-1107","0.103091"
"D13-1107","2011.mtsummit-papers.20","0.103091"
"2011.mtsummit-papers.20","P09-1066","0.607112"
"P09-1066","2011.mtsummit-papers.20","0.607112"
"2011.mtsummit-papers.20","P10-1033","0.582258"
