"2020.acl-main.560","2020.lrec-1.345","1"
"2020.calcs-1.5","P18-1143","0.592857"
"P18-1143","2020.calcs-1.5","0.592857"
"2020.calcs-1.5","W18-3210","0.25"
"W18-3210","2020.calcs-1.5","0.25"
"2021.law-1.7","P18-1143","0.92619"
"P18-1143","2021.law-1.7","0.92619"
"2021.law-1.7","W17-7509","0.592857"
"W17-7509","2021.law-1.7","0.592857"
"2021.law-1.7","W18-3210","0.45"
"W18-3210","2021.law-1.7","0.45"
"P18-1143","W17-7509","2.93571"
"W17-7509","P18-1143","2.93571"
"P18-1143","W18-3210","0.45"
"W18-3210","P18-1143","0.45"
"W17-7509","W18-3210","0.45"
"W18-3210","W17-7509","0.45"
"2020.calcs-1.5","W14-3908","0.2"
"W14-3908","2020.calcs-1.5","0.2"
"L16-1260","P18-1143","0.485714"
"P18-1143","L16-1260","0.485714"
"L16-1260","W14-3908","0.342857"
"W14-3908","L16-1260","0.342857"
"P18-1143","W14-3908","0.342857"
"W14-3908","P18-1143","0.342857"
"P18-1143","W15-5936","0.485714"
"W15-5936","P18-1143","0.485714"
"W14-3908","W15-5936","0.842857"
"W15-5936","W14-3908","0.842857"
"W14-3908","W17-7509","0.342857"
"W17-7509","W14-3908","0.342857"
"2021.law-1.7","D16-1121","0.47619"
"D16-1121","2021.law-1.7","0.47619"
"2021.law-1.7","L16-1260","0.142857"
"L16-1260","2021.law-1.7","0.142857"
"2021.law-1.7","W14-5151","0.642857"
"W14-5151","2021.law-1.7","0.642857"
"2021.law-1.7","W15-5936","0.142857"
"W15-5936","2021.law-1.7","0.142857"
"D16-1121","P18-1143","0.619048"
"P18-1143","D16-1121","0.619048"
"D16-1121","W14-5151","0.535714"
"W14-5151","D16-1121","0.535714"
"L16-1260","W14-5151","0.285714"
"W14-5151","L16-1260","0.285714"
"P18-1143","W14-5151","0.285714"
"W14-5151","P18-1143","0.285714"
"W14-5151","W17-7509","0.285714"
"W17-7509","W14-5151","0.285714"
"2021.law-1.7","P17-1180","1.53333"
"P17-1180","2021.law-1.7","1.53333"
"P17-1180","P18-1143","0.533333"
"P18-1143","P17-1180","0.533333"
"2021.law-1.7","L18-1256","0.7"
"L18-1256","2021.law-1.7","0.7"
"L18-1256","P17-1180","0.7"
"P17-1180","L18-1256","0.7"
"P17-1180","W14-5151","4.08333"
"W14-5151","P17-1180","4.08333"
"L18-1256","P18-1143","1.2"
"P18-1143","L18-1256","1.2"
"L18-1256","W17-7509","0.2"
"W17-7509","L18-1256","0.2"
"L18-1256","W18-3210","1.2"
"W18-3210","L18-1256","1.2"
"P17-1180","W18-3210","0.2"
"W18-3210","P17-1180","0.2"
"b-etal-2010-resource","W11-3501","3"
"W11-3501","b-etal-2010-resource","3"
"b-etal-2010-resource","gupta-etal-2012-mining","1"
"gupta-etal-2012-mining","b-etal-2010-resource","1"
"D14-1105","W14-3908","0.97619"
"W14-3908","D14-1105","0.97619"
"P17-1180","W14-3908","0.583333"
"W14-3908","P17-1180","0.583333"
"W14-3908","W14-5151","0.97619"
"W14-5151","W14-3908","0.97619"
"D14-1105","W09-3002","0.5"
"W09-3002","D14-1105","0.5"
"W09-3002","W15-5936","0.5"
"W15-5936","W09-3002","0.5"
"D16-1121","W14-3908","0.392857"
"W14-3908","D16-1121","0.392857"
"D14-1105","P18-1143","0.142857"
"P18-1143","D14-1105","0.142857"
"P13-1168","W13-2306","4"
"W13-2306","P13-1168","4"
"P13-1168","W09-3002","1"
"W09-3002","P13-1168","1"
"W17-7509","W18-3202","1"
"W18-3202","W17-7509","1"
