"2003.jeptalnrecital-long.10","duclaye-etal-2002-using","3"
"2012.iwslt-papers.20","2009.jeptalnrecital-court.28","0.0875"
"2009.jeptalnrecital-court.28","2021.emnlp-main.665","0.0625"
"2021.emnlp-main.665","2009.jeptalnrecital-court.28","0.0625"
"2009.jeptalnrecital-court.28","D10-1091","0.0875"
"D10-1091","2009.jeptalnrecital-court.28","0.0875"
"2009.jeptalnrecital-court.28","F12-2009","0.143056"
"F12-2009","2009.jeptalnrecital-court.28","0.143056"
"2009.jeptalnrecital-court.28","F13-1033","0.130978"
"F13-1033","2009.jeptalnrecital-court.28","0.130978"
"2009.jeptalnrecital-court.28","L16-1099","0.118056"
"L16-1099","2009.jeptalnrecital-court.28","0.118056"
"2009.jeptalnrecital-court.28","W08-0310","0.0625"
"W08-0310","2009.jeptalnrecital-court.28","0.0625"
"2009.jeptalnrecital-court.28","W11-2168","0.130978"
"W11-2168","2009.jeptalnrecital-court.28","0.130978"
"2009.jeptalnrecital-court.28","W15-3012","0.105978"
"W15-3012","2009.jeptalnrecital-court.28","0.105978"
"2011.eamt-1.41","2011.iwslt-papers.10","1.35139"
"2011.iwslt-papers.10","2011.eamt-1.41","1.35139"
"2011.eamt-1.41","2011.jeptalnrecital-long.36","0.133929"
"2011.jeptalnrecital-long.36","2011.eamt-1.41","0.133929"
"2011.eamt-1.41","2011.jeptalnrecital-long.37","9.22282"
"2011.jeptalnrecital-long.37","2011.eamt-1.41","9.22282"
"2011.eamt-1.41","2012.eamt-1.62","0.756151"
"2012.eamt-1.62","2011.eamt-1.41","0.756151"
"2011.eamt-1.41","2012.iwslt-papers.20","0.0625"
"2012.iwslt-papers.20","2011.eamt-1.41","0.0625"
"2011.eamt-1.41","2021.emnlp-main.665","0.118056"
"2021.emnlp-main.665","2011.eamt-1.41","0.118056"
"2011.eamt-1.41","D10-1091","0.295833"
"D10-1091","2011.eamt-1.41","0.295833"
"2011.eamt-1.41","F12-2009","0.756151"
"F12-2009","2011.eamt-1.41","0.756151"
"2011.eamt-1.41","F13-1033","0.0958333"
"F13-1033","2011.eamt-1.41","0.0958333"
"2011.eamt-1.41","L16-1099","0.189484"
"L16-1099","2011.eamt-1.41","0.189484"
"2011.eamt-1.41","W08-0310","0.0958333"
"W08-0310","2011.eamt-1.41","0.0958333"
"2011.eamt-1.41","W11-2168","1.03393"
"W11-2168","2011.eamt-1.41","1.03393"
"2011.eamt-1.41","W15-3012","0.3125"
"W15-3012","2011.eamt-1.41","0.3125"
"2011.iwslt-papers.10","2011.jeptalnrecital-long.36","0.0625"
"2011.jeptalnrecital-long.36","2011.iwslt-papers.10","0.0625"
"2011.iwslt-papers.10","2011.jeptalnrecital-long.37","1.45139"
"2011.jeptalnrecital-long.37","2011.iwslt-papers.10","1.45139"
"2011.iwslt-papers.10","2012.eamt-1.62","0.684722"
"2012.eamt-1.62","2011.iwslt-papers.10","0.684722"
"2011.iwslt-papers.10","2012.iwslt-papers.20","0.395833"
"2012.iwslt-papers.20","2011.iwslt-papers.10","0.395833"
"2011.iwslt-papers.10","2021.emnlp-main.665","0.118056"
"2021.emnlp-main.665","2011.iwslt-papers.10","0.118056"
"2011.iwslt-papers.10","D10-1091","0.345833"
"D10-1091","2011.iwslt-papers.10","0.345833"
"2011.iwslt-papers.10","F12-2009","0.684722"
"F12-2009","2011.iwslt-papers.10","0.684722"
"2011.iwslt-papers.10","F13-1033","0.429167"
"F13-1033","2011.iwslt-papers.10","0.429167"
"2011.iwslt-papers.10","L16-1099","0.118056"
"L16-1099","2011.iwslt-papers.10","0.118056"
"2011.iwslt-papers.10","W08-0310","0.0958333"
"W08-0310","2011.iwslt-papers.10","0.0958333"
"2011.iwslt-papers.10","W11-2168","1.2625"
"W11-2168","2011.iwslt-papers.10","1.2625"
"2011.iwslt-papers.10","W15-3012","0.0625"
"W15-3012","2011.iwslt-papers.10","0.0625"
"2011.jeptalnrecital-long.36","2011.jeptalnrecital-long.37","0.182184"
"2011.jeptalnrecital-long.37","2011.jeptalnrecital-long.36","0.182184"
"2011.jeptalnrecital-long.36","2012.eamt-1.62","2.48774"
"2012.eamt-1.62","2011.jeptalnrecital-long.36","2.48774"
"2011.jeptalnrecital-long.36","2012.iwslt-papers.20","0.170833"
"2012.iwslt-papers.20","2011.jeptalnrecital-long.36","0.170833"
"2011.jeptalnrecital-long.36","2021.emnlp-main.665","1.39583"
"2021.emnlp-main.665","2011.jeptalnrecital-long.36","1.39583"
"2011.jeptalnrecital-long.36","D10-1091","0.110756"
"D10-1091","2011.jeptalnrecital-long.36","0.110756"
"2011.jeptalnrecital-long.36","F12-2009","2.15441"
"F12-2009","2011.jeptalnrecital-long.36","2.15441"
"2011.jeptalnrecital-long.36","F13-1033","0.444089"
"F13-1033","2011.jeptalnrecital-long.36","0.444089"
"2011.jeptalnrecital-long.36","L16-1099","0.189484"
"L16-1099","2011.jeptalnrecital-long.36","0.189484"
"2011.jeptalnrecital-long.36","W08-0310","0.0857558"
"W08-0310","2011.jeptalnrecital-long.36","0.0857558"
"2011.jeptalnrecital-long.36","W11-2168","0.182184"
"W11-2168","2011.jeptalnrecital-long.36","0.182184"
"2011.jeptalnrecital-long.36","W15-3012","0.0857558"
"W15-3012","2011.jeptalnrecital-long.36","0.0857558"
"2011.jeptalnrecital-long.37","2012.eamt-1.62","0.868692"
"2012.eamt-1.62","2011.jeptalnrecital-long.37","0.868692"
"2011.jeptalnrecital-long.37","2012.iwslt-papers.20","0.420833"
"2012.iwslt-papers.20","2011.jeptalnrecital-long.37","0.420833"
"2011.jeptalnrecital-long.37","2021.emnlp-main.665","0.165675"
"2021.emnlp-main.665","2011.jeptalnrecital-long.37","0.165675"
"2011.jeptalnrecital-long.37","D10-1091","0.358375"
"D10-1091","2011.jeptalnrecital-long.37","0.358375"
"2011.jeptalnrecital-long.37","F12-2009","0.868692"
"F12-2009","2011.jeptalnrecital-long.37","0.868692"
"2011.jeptalnrecital-long.37","F13-1033","0.221867"
"F13-1033","2011.jeptalnrecital-long.37","0.221867"
"2011.jeptalnrecital-long.37","L16-1099","0.189484"
"L16-1099","2011.jeptalnrecital-long.37","0.189484"
"2011.jeptalnrecital-long.37","W08-0310","0.0857558"
"W08-0310","2011.jeptalnrecital-long.37","0.0857558"
"2011.jeptalnrecital-long.37","W11-2168","1.32663"
"W11-2168","2011.jeptalnrecital-long.37","1.32663"
"2011.jeptalnrecital-long.37","W15-3012","0.133375"
"W15-3012","2011.jeptalnrecital-long.37","0.133375"
"2012.eamt-1.62","2012.iwslt-papers.20","0.170833"
"2012.iwslt-papers.20","2012.eamt-1.62","0.170833"
"2012.eamt-1.62","2021.emnlp-main.665","0.499008"
"2021.emnlp-main.665","2012.eamt-1.62","0.499008"
"2012.eamt-1.62","D10-1091","0.191708"
"D10-1091","2012.eamt-1.62","0.191708"
"2012.eamt-1.62","F12-2009","12.0742"
"F12-2009","2012.eamt-1.62","12.0742"
"2012.eamt-1.62","F13-1033","0.144089"
"F13-1033","2012.eamt-1.62","0.144089"
"2012.eamt-1.62","L16-1099","0.74504"
"L16-1099","2012.eamt-1.62","0.74504"
"2012.eamt-1.62","W08-0310","0.119089"
"W08-0310","2012.eamt-1.62","0.119089"
"2012.eamt-1.62","W11-2168","1.13218"
"W11-2168","2012.eamt-1.62","1.13218"
"2012.eamt-1.62","W15-3012","0.133375"
"W15-3012","2012.eamt-1.62","0.133375"
"2012.iwslt-papers.20","2021.emnlp-main.665","0.0625"
"2021.emnlp-main.665","2012.iwslt-papers.20","0.0625"
"2012.iwslt-papers.20","D10-1091","0.0875"
"D10-1091","2012.iwslt-papers.20","0.0875"
"2012.iwslt-papers.20","F12-2009","0.170833"
"F12-2009","2012.iwslt-papers.20","0.170833"
"2012.iwslt-papers.20","F13-1033","0.0875"
"F13-1033","2012.iwslt-papers.20","0.0875"
"2012.iwslt-papers.20","L16-1099","0.0625"
"L16-1099","2012.iwslt-papers.20","0.0625"
"2012.iwslt-papers.20","W08-0310","0.3125"
"W08-0310","2012.iwslt-papers.20","0.3125"
"2012.iwslt-papers.20","W11-2168","0.420833"
"W11-2168","2012.iwslt-papers.20","0.420833"
"2012.iwslt-papers.20","W15-3012","0.0625"
"W15-3012","2012.iwslt-papers.20","0.0625"
"2021.emnlp-main.665","D10-1091","0.110119"
"D10-1091","2021.emnlp-main.665","0.110119"
"2021.emnlp-main.665","F12-2009","0.165675"
"F12-2009","2021.emnlp-main.665","0.165675"
"2021.emnlp-main.665","F13-1033","0.0625"
"F13-1033","2021.emnlp-main.665","0.0625"
"2021.emnlp-main.665","L16-1099","0.118056"
"L16-1099","2021.emnlp-main.665","0.118056"
"2021.emnlp-main.665","W08-0310","0.0625"
"W08-0310","2021.emnlp-main.665","0.0625"
"2021.emnlp-main.665","W11-2168","0.0625"
"W11-2168","2021.emnlp-main.665","0.0625"
"2021.emnlp-main.665","W15-3012","0.110119"
"W15-3012","2021.emnlp-main.665","0.110119"
"D10-1091","F12-2009","0.191708"
"F12-2009","D10-1091","0.191708"
"D10-1091","F13-1033","1.64409"
"F13-1033","D10-1091","1.64409"
"D10-1091","L16-1099","0.0625"
"L16-1099","D10-1091","0.0625"
"D10-1091","W08-0310","0.119089"
"W08-0310","D10-1091","0.119089"
"D10-1091","W11-2168","1.97742"
"W11-2168","D10-1091","1.97742"
"D10-1091","W15-3012","0.300042"
"W15-3012","D10-1091","0.300042"
"F12-2009","F13-1033","0.144089"
"F13-1033","F12-2009","0.144089"
"F12-2009","L16-1099","0.74504"
"L16-1099","F12-2009","0.74504"
"F12-2009","W08-0310","0.119089"
"W08-0310","F12-2009","0.119089"
"F12-2009","W11-2168","1.13218"
"W11-2168","F12-2009","1.13218"
"F12-2009","W15-3012","0.133375"
"W15-3012","F12-2009","0.133375"
"F13-1033","L16-1099","0.0625"
"L16-1099","F13-1033","0.0625"
"F13-1033","W08-0310","0.119089"
"W08-0310","F13-1033","0.119089"
"F13-1033","W11-2168","3.2209"
"W11-2168","F13-1033","3.2209"
"F13-1033","W15-3012","0.295901"
"W15-3012","F13-1033","0.295901"
"L16-1099","W08-0310","0.5625"
"W08-0310","L16-1099","0.5625"
"L16-1099","W11-2168","0.383929"
"W11-2168","L16-1099","0.383929"
"L16-1099","W15-3012","0.0625"
"W15-3012","L16-1099","0.0625"
"W08-0310","W11-2168","0.0857558"
"W11-2168","W08-0310","0.0857558"
"W08-0310","W15-3012","0.0857558"
"W15-3012","W08-0310","0.0857558"
"W11-2168","W15-3012","0.688058"
"W15-3012","W11-2168","0.688058"
"2008.jeptalnrecital-long.13","2010.amta-papers.18","0.0726191"
"2010.amta-papers.18","2008.jeptalnrecital-long.13","0.0726191"
"2008.jeptalnrecital-long.13","2011.iwslt-evaluation.15","0.0726191"
"2011.iwslt-evaluation.15","2008.jeptalnrecital-long.13","0.0726191"
"2008.jeptalnrecital-long.13","2013.iwslt-papers.7","0.0726191"
"2013.iwslt-papers.7","2008.jeptalnrecital-long.13","0.0726191"
"2008.jeptalnrecital-long.13","2015.iwslt-papers.10","0.047619"
"2015.iwslt-papers.10","2008.jeptalnrecital-long.13","0.047619"
"2008.jeptalnrecital-long.13","2020.amta-research.6","0.047619"
"2020.amta-research.6","2008.jeptalnrecital-long.13","0.047619"
"2008.jeptalnrecital-long.13","2020.findings-emnlp.147","0.047619"
"2020.findings-emnlp.147","2008.jeptalnrecital-long.13","0.047619"
"2008.jeptalnrecital-long.13","2021.mtsummit-research.21","0.047619"
"2021.mtsummit-research.21","2008.jeptalnrecital-long.13","0.047619"
"2008.jeptalnrecital-long.13","F14-2002","0.0726191"
"F14-2002","2008.jeptalnrecital-long.13","0.0726191"
"2008.jeptalnrecital-long.13","N16-1121","0.047619"
"N16-1121","2008.jeptalnrecital-long.13","0.047619"
"2008.jeptalnrecital-long.13","N16-3006","0.047619"
"N16-3006","2008.jeptalnrecital-long.13","0.047619"
"2008.jeptalnrecital-long.13","W12-4201","0.047619"
"W12-4201","2008.jeptalnrecital-long.13","0.047619"
"2008.jeptalnrecital-long.13","W14-3307","0.047619"
"W14-3307","2008.jeptalnrecital-long.13","0.047619"
"2008.jeptalnrecital-long.13","W16-1203","0.047619"
"W16-1203","2008.jeptalnrecital-long.13","0.047619"
"2008.jeptalnrecital-long.13","W16-1205","0.047619"
"W16-1205","2008.jeptalnrecital-long.13","0.047619"
"2010.amta-papers.18","2011.iwslt-evaluation.15","0.105952"
"2011.iwslt-evaluation.15","2010.amta-papers.18","0.105952"
"2010.amta-papers.18","2011.jeptalnrecital-long.37","1.32817"
"2011.jeptalnrecital-long.37","2010.amta-papers.18","1.32817"
"2010.amta-papers.18","2012.eamt-1.62","0.161508"
"2012.eamt-1.62","2010.amta-papers.18","0.161508"
"2010.amta-papers.18","2013.iwslt-papers.7","0.161508"
"2013.iwslt-papers.7","2010.amta-papers.18","0.161508"
"2010.amta-papers.18","2015.iwslt-papers.10","0.047619"
"2015.iwslt-papers.10","2010.amta-papers.18","0.047619"
"2010.amta-papers.18","2020.amta-research.6","0.469841"
"2020.amta-research.6","2010.amta-papers.18","0.469841"
"2010.amta-papers.18","2020.findings-emnlp.147","0.353175"
"2020.findings-emnlp.147","2010.amta-papers.18","0.353175"
"2010.amta-papers.18","2021.emnlp-main.665","0.103175"
"2021.emnlp-main.665","2010.amta-papers.18","0.103175"
"2010.amta-papers.18","2021.mtsummit-research.21","0.0809524"
"2021.mtsummit-research.21","2010.amta-papers.18","0.0809524"
"2010.amta-papers.18","C08-1056","0.0726191"
"C08-1056","2010.amta-papers.18","0.0726191"
"2010.amta-papers.18","D10-1091","0.305952"
"D10-1091","2010.amta-papers.18","0.305952"
"2010.amta-papers.18","F12-2009","0.161508"
"F12-2009","2010.amta-papers.18","0.161508"
"2010.amta-papers.18","F14-2002","0.0726191"
"F14-2002","2010.amta-papers.18","0.0726191"
"2010.amta-papers.18","N16-1121","0.047619"
"N16-1121","2010.amta-papers.18","0.047619"
"2010.amta-papers.18","N16-3006","0.803175"
"N16-3006","2010.amta-papers.18","0.803175"
"2010.amta-papers.18","W12-4201","0.047619"
"W12-4201","2010.amta-papers.18","0.047619"
"2010.amta-papers.18","W14-3307","0.0809524"
"W14-3307","2010.amta-papers.18","0.0809524"
"2010.amta-papers.18","W15-3012","0.297619"
"W15-3012","2010.amta-papers.18","0.297619"
"2010.amta-papers.18","W16-1203","0.047619"
"W16-1203","2010.amta-papers.18","0.047619"
"2010.amta-papers.18","W16-1205","1.43651"
"W16-1205","2010.amta-papers.18","1.43651"
"2011.iwslt-evaluation.15","2011.jeptalnrecital-long.37","0.206986"
"2011.jeptalnrecital-long.37","2011.iwslt-evaluation.15","0.206986"
"2011.iwslt-evaluation.15","2012.eamt-1.62","0.212542"
"2012.eamt-1.62","2011.iwslt-evaluation.15","0.212542"
"2011.iwslt-evaluation.15","2013.iwslt-papers.7","0.212542"
"2013.iwslt-papers.7","2011.iwslt-evaluation.15","0.212542"
"2011.iwslt-evaluation.15","2015.iwslt-papers.10","0.0708749"
"2015.iwslt-papers.10","2011.iwslt-evaluation.15","0.0708749"
"2011.iwslt-evaluation.15","2020.amta-research.6","0.0809524"
"2020.amta-research.6","2011.iwslt-evaluation.15","0.0809524"
"2011.iwslt-evaluation.15","2020.findings-emnlp.147","0.047619"
"2020.findings-emnlp.147","2011.iwslt-evaluation.15","0.047619"
"2011.iwslt-evaluation.15","2021.emnlp-main.665","0.047619"
"2021.emnlp-main.665","2011.iwslt-evaluation.15","0.047619"
"2011.iwslt-evaluation.15","2021.mtsummit-research.21","0.0809524"
"2021.mtsummit-research.21","2011.iwslt-evaluation.15","0.0809524"
"2011.iwslt-evaluation.15","C08-1056","0.0958749"
"C08-1056","2011.iwslt-evaluation.15","0.0958749"
"2011.iwslt-evaluation.15","D10-1091","0.129208"
"D10-1091","2011.iwslt-evaluation.15","0.129208"
"2011.iwslt-evaluation.15","F12-2009","0.212542"
"F12-2009","2011.iwslt-evaluation.15","0.212542"
"2011.iwslt-evaluation.15","F14-2002","0.155952"
"F14-2002","2011.iwslt-evaluation.15","0.155952"
"2011.iwslt-evaluation.15","N16-1121","0.047619"
"N16-1121","2011.iwslt-evaluation.15","0.047619"
"2011.iwslt-evaluation.15","N16-3006","0.0708749"
"N16-3006","2011.iwslt-evaluation.15","0.0708749"
"2011.iwslt-evaluation.15","W12-4201","0.404208"
"W12-4201","2011.iwslt-evaluation.15","0.404208"
"2011.iwslt-evaluation.15","W14-3307","1.13754"
"W14-3307","2011.iwslt-evaluation.15","1.13754"
"2011.iwslt-evaluation.15","W15-3012","1.43754"
"W15-3012","2011.iwslt-evaluation.15","1.43754"
"2011.iwslt-evaluation.15","W16-1203","0.047619"
"W16-1203","2011.iwslt-evaluation.15","0.047619"
"2011.iwslt-evaluation.15","W16-1205","0.047619"
"W16-1205","2011.iwslt-evaluation.15","0.047619"
"2011.jeptalnrecital-long.37","2013.iwslt-papers.7","0.222859"
"2013.iwslt-papers.7","2011.jeptalnrecital-long.37","0.222859"
"2011.jeptalnrecital-long.37","2015.iwslt-papers.10","0.0708749"
"2015.iwslt-papers.10","2011.jeptalnrecital-long.37","0.0708749"
"2011.jeptalnrecital-long.37","2020.amta-research.6","1.35317"
"2020.amta-research.6","2011.jeptalnrecital-long.37","1.35317"
"2011.jeptalnrecital-long.37","2020.findings-emnlp.147","0.103175"
"2020.findings-emnlp.147","2011.jeptalnrecital-long.37","0.103175"
"2011.jeptalnrecital-long.37","2021.mtsummit-research.21","0.047619"
"2021.mtsummit-research.21","2011.jeptalnrecital-long.37","0.047619"
"2011.jeptalnrecital-long.37","C08-1056","0.0958749"
"C08-1056","2011.jeptalnrecital-long.37","0.0958749"
"2011.jeptalnrecital-long.37","F14-2002","0.0726191"
"F14-2002","2011.jeptalnrecital-long.37","0.0726191"
"2011.jeptalnrecital-long.37","N16-1121","0.047619"
"N16-1121","2011.jeptalnrecital-long.37","0.047619"
"2011.jeptalnrecital-long.37","N16-3006","0.397859"
"N16-3006","2011.jeptalnrecital-long.37","0.397859"
"2011.jeptalnrecital-long.37","W12-4201","0.0708749"
"W12-4201","2011.jeptalnrecital-long.37","0.0708749"
"2011.jeptalnrecital-long.37","W14-3307","0.0708749"
"W14-3307","2011.jeptalnrecital-long.37","0.0708749"
"2011.jeptalnrecital-long.37","W16-1203","0.047619"
"W16-1203","2011.jeptalnrecital-long.37","0.047619"
"2011.jeptalnrecital-long.37","W16-1205","0.353175"
"W16-1205","2011.jeptalnrecital-long.37","0.353175"
"2012.eamt-1.62","2013.iwslt-papers.7","2.17286"
"2013.iwslt-papers.7","2012.eamt-1.62","2.17286"
"2012.eamt-1.62","2015.iwslt-papers.10","0.12643"
"2015.iwslt-papers.10","2012.eamt-1.62","0.12643"
"2012.eamt-1.62","2020.amta-research.6","0.692064"
"2020.amta-research.6","2012.eamt-1.62","0.692064"
"2012.eamt-1.62","2020.findings-emnlp.147","0.40873"
"2020.findings-emnlp.147","2012.eamt-1.62","0.40873"
"2012.eamt-1.62","2021.mtsummit-research.21","0.136508"
"2021.mtsummit-research.21","2012.eamt-1.62","0.136508"
"2012.eamt-1.62","C08-1056","0.0958749"
"C08-1056","2012.eamt-1.62","0.0958749"
"2012.eamt-1.62","F14-2002","0.322619"
"F14-2002","2012.eamt-1.62","0.322619"
"2012.eamt-1.62","N16-1121","0.103175"
"N16-1121","2012.eamt-1.62","0.103175"
"2012.eamt-1.62","N16-3006","0.564526"
"N16-3006","2012.eamt-1.62","0.564526"
"2012.eamt-1.62","W12-4201","0.0708749"
"W12-4201","2012.eamt-1.62","0.0708749"
"2012.eamt-1.62","W14-3307","0.104208"
"W14-3307","2012.eamt-1.62","0.104208"
"2012.eamt-1.62","W16-1203","0.047619"
"W16-1203","2012.eamt-1.62","0.047619"
"2012.eamt-1.62","W16-1205","0.40873"
"W16-1205","2012.eamt-1.62","0.40873"
"2013.iwslt-papers.7","2015.iwslt-papers.10","0.0708749"
"2015.iwslt-papers.10","2013.iwslt-papers.7","0.0708749"
"2013.iwslt-papers.7","2020.amta-research.6","0.136508"
"2020.amta-research.6","2013.iwslt-papers.7","0.136508"
"2013.iwslt-papers.7","2020.findings-emnlp.147","0.103175"
"2020.findings-emnlp.147","2013.iwslt-papers.7","0.103175"
"2013.iwslt-papers.7","2021.emnlp-main.665","0.436508"
"2021.emnlp-main.665","2013.iwslt-papers.7","0.436508"
"2013.iwslt-papers.7","2021.mtsummit-research.21","0.0809524"
"2021.mtsummit-research.21","2013.iwslt-papers.7","0.0809524"
"2013.iwslt-papers.7","C08-1056","0.0958749"
"C08-1056","2013.iwslt-papers.7","0.0958749"
"2013.iwslt-papers.7","D10-1091","0.129208"
"D10-1091","2013.iwslt-papers.7","0.129208"
"2013.iwslt-papers.7","F12-2009","1.83953"
"F12-2009","2013.iwslt-papers.7","1.83953"
"2013.iwslt-papers.7","F14-2002","0.855952"
"F14-2002","2013.iwslt-papers.7","0.855952"
"2013.iwslt-papers.7","N16-1121","0.047619"
"N16-1121","2013.iwslt-papers.7","0.047619"
"2013.iwslt-papers.7","N16-3006","0.697859"
"N16-3006","2013.iwslt-papers.7","0.697859"
"2013.iwslt-papers.7","W12-4201","0.0708749"
"W12-4201","2013.iwslt-papers.7","0.0708749"
"2013.iwslt-papers.7","W14-3307","0.104208"
"W14-3307","2013.iwslt-papers.7","0.104208"
"2013.iwslt-papers.7","W15-3012","0.0708749"
"W15-3012","2013.iwslt-papers.7","0.0708749"
"2013.iwslt-papers.7","W16-1203","0.047619"
"W16-1203","2013.iwslt-papers.7","0.047619"
"2013.iwslt-papers.7","W16-1205","0.103175"
"W16-1205","2013.iwslt-papers.7","0.103175"
"2015.iwslt-papers.10","2020.amta-research.6","0.103175"
"2020.amta-research.6","2015.iwslt-papers.10","0.103175"
"2015.iwslt-papers.10","2020.findings-emnlp.147","0.103175"
"2020.findings-emnlp.147","2015.iwslt-papers.10","0.103175"
"2015.iwslt-papers.10","2021.emnlp-main.665","0.047619"
"2021.emnlp-main.665","2015.iwslt-papers.10","0.047619"
"2015.iwslt-papers.10","2021.mtsummit-research.21","0.103175"
