"1993.iwpt-1.24","W93-0109","4"
"2003.mtsummit-papers.53","W04-3227","2.06905"
"W04-3227","2003.mtsummit-papers.53","2.06905"
"2003.mtsummit-papers.53","W05-0804","0.119048"
"W05-0804","2003.mtsummit-papers.53","0.119048"
"2003.mtsummit-papers.53","W05-0836","0.572619"
"W05-0836","2003.mtsummit-papers.53","0.572619"
"2004.iwslt-evaluation.11","2005.eamt-1.18","1.19762"
"2005.eamt-1.18","2004.iwslt-evaluation.11","1.19762"
"2004.iwslt-evaluation.11","2005.eamt-1.19","0.469048"
"2005.eamt-1.19","2004.iwslt-evaluation.11","0.469048"
"2004.iwslt-evaluation.11","2005.iwslt-1.6","0.647619"
"2005.iwslt-1.6","2004.iwslt-evaluation.11","0.647619"
"2004.iwslt-evaluation.11","2005.iwslt-1.7","0.269048"
"2005.iwslt-1.7","2004.iwslt-evaluation.11","0.269048"
"2004.iwslt-evaluation.11","2005.mtsummit-papers.30","0.269048"
"2005.mtsummit-papers.30","2004.iwslt-evaluation.11","0.269048"
"2004.iwslt-evaluation.11","2006.iwslt-evaluation.19","0.0726191"
"2006.iwslt-evaluation.19","2004.iwslt-evaluation.11","0.0726191"
"2004.iwslt-evaluation.11","2007.iwslt-1.9","0.344048"
"2007.iwslt-1.9","2004.iwslt-evaluation.11","0.344048"
"2004.iwslt-evaluation.11","2008.iwslt-papers.5","0.119048"
"2008.iwslt-papers.5","2004.iwslt-evaluation.11","0.119048"
"2004.iwslt-evaluation.11","2010.eamt-1.29","0.047619"
"2010.eamt-1.29","2004.iwslt-evaluation.11","0.047619"
"2004.iwslt-evaluation.11","2012.amta-papers.19","0.047619"
"2012.amta-papers.19","2004.iwslt-evaluation.11","0.047619"
"2004.iwslt-evaluation.11","C16-1172","0.047619"
"C16-1172","2004.iwslt-evaluation.11","0.047619"
"2004.iwslt-evaluation.11","C98-2216","0.119048"
"C98-2216","2004.iwslt-evaluation.11","0.119048"
"2004.iwslt-evaluation.11","P03-1041","0.344048"
"P03-1041","2004.iwslt-evaluation.11","0.344048"
"2004.iwslt-evaluation.11","P97-1047","0.119048"
"P97-1047","2004.iwslt-evaluation.11","0.119048"
"2004.iwslt-evaluation.11","P98-2221","0.119048"
"P98-2221","2004.iwslt-evaluation.11","0.119048"
"2004.iwslt-evaluation.11","W03-0315","0.047619"
"W03-0315","2004.iwslt-evaluation.11","0.047619"
"2004.iwslt-evaluation.11","W03-1502","0.119048"
"W03-1502","2004.iwslt-evaluation.11","0.119048"
"2004.iwslt-evaluation.11","W04-3227","0.569048"
"W04-3227","2004.iwslt-evaluation.11","0.569048"
"2004.iwslt-evaluation.11","W05-0804","0.119048"
"W05-0804","2004.iwslt-evaluation.11","0.119048"
"2004.iwslt-evaluation.11","W05-0836","0.272619"
"W05-0836","2004.iwslt-evaluation.11","0.272619"
"2005.eamt-1.18","2005.eamt-1.19","0.197619"
"2005.eamt-1.19","2005.eamt-1.18","0.197619"
"2005.eamt-1.18","2005.iwslt-1.6","0.197619"
"2005.iwslt-1.6","2005.eamt-1.18","0.197619"
"2005.eamt-1.18","2005.iwslt-1.7","0.697619"
"2005.iwslt-1.7","2005.eamt-1.18","0.697619"
"2005.eamt-1.18","2005.mtsummit-papers.30","0.697619"
"2005.mtsummit-papers.30","2005.eamt-1.18","0.697619"
"2005.eamt-1.18","2006.iwslt-evaluation.19","0.0726191"
"2006.iwslt-evaluation.19","2005.eamt-1.18","0.0726191"
"2005.eamt-1.18","2007.iwslt-1.9","0.0726191"
"2007.iwslt-1.9","2005.eamt-1.18","0.0726191"
"2005.eamt-1.18","2008.iwslt-papers.5","0.047619"
"2008.iwslt-papers.5","2005.eamt-1.18","0.047619"
"2005.eamt-1.18","2010.eamt-1.29","0.047619"
"2010.eamt-1.29","2005.eamt-1.18","0.047619"
"2005.eamt-1.18","2012.amta-papers.19","0.047619"
"2012.amta-papers.19","2005.eamt-1.18","0.047619"
"2005.eamt-1.18","C16-1172","0.047619"
"C16-1172","2005.eamt-1.18","0.047619"
"2005.eamt-1.18","C98-2216","0.047619"
"C98-2216","2005.eamt-1.18","0.047619"
"2005.eamt-1.18","P03-1041","0.0726191"
"P03-1041","2005.eamt-1.18","0.0726191"
"2005.eamt-1.18","P97-1047","0.047619"
"P97-1047","2005.eamt-1.18","0.047619"
"2005.eamt-1.18","P98-2221","0.047619"
"P98-2221","2005.eamt-1.18","0.047619"
"2005.eamt-1.18","W03-0315","0.047619"
"W03-0315","2005.eamt-1.18","0.047619"
"2005.eamt-1.18","W03-1502","0.047619"
"W03-1502","2005.eamt-1.18","0.047619"
"2005.eamt-1.18","W04-3227","0.047619"
"W04-3227","2005.eamt-1.18","0.047619"
"2005.eamt-1.18","W05-0804","0.047619"
"W05-0804","2005.eamt-1.18","0.047619"
"2005.eamt-1.18","W05-0836","0.0726191"
"W05-0836","2005.eamt-1.18","0.0726191"
"2005.eamt-1.19","2005.iwslt-1.6","0.197619"
"2005.iwslt-1.6","2005.eamt-1.19","0.197619"
"2005.eamt-1.19","2005.iwslt-1.7","0.269048"
"2005.iwslt-1.7","2005.eamt-1.19","0.269048"
"2005.eamt-1.19","2005.mtsummit-papers.30","0.269048"
"2005.mtsummit-papers.30","2005.eamt-1.19","0.269048"
"2005.eamt-1.19","2006.iwslt-evaluation.19","0.0726191"
"2006.iwslt-evaluation.19","2005.eamt-1.19","0.0726191"
"2005.eamt-1.19","2007.iwslt-1.9","0.344048"
"2007.iwslt-1.9","2005.eamt-1.19","0.344048"
"2005.eamt-1.19","2008.iwslt-papers.5","0.119048"
"2008.iwslt-papers.5","2005.eamt-1.19","0.119048"
"2005.eamt-1.19","2010.eamt-1.29","0.047619"
"2010.eamt-1.29","2005.eamt-1.19","0.047619"
"2005.eamt-1.19","2012.amta-papers.19","0.047619"
"2012.amta-papers.19","2005.eamt-1.19","0.047619"
"2005.eamt-1.19","C16-1172","0.047619"
"C16-1172","2005.eamt-1.19","0.047619"
"2005.eamt-1.19","C98-2216","0.119048"
"C98-2216","2005.eamt-1.19","0.119048"
"2005.eamt-1.19","P03-1041","0.144048"
"P03-1041","2005.eamt-1.19","0.144048"
"2005.eamt-1.19","P97-1047","0.119048"
"P97-1047","2005.eamt-1.19","0.119048"
"2005.eamt-1.19","P98-2221","0.119048"
"P98-2221","2005.eamt-1.19","0.119048"
"2005.eamt-1.19","W03-0315","0.047619"
"W03-0315","2005.eamt-1.19","0.047619"
"2005.eamt-1.19","W03-1502","0.119048"
"W03-1502","2005.eamt-1.19","0.119048"
"2005.eamt-1.19","W04-3227","0.119048"
"W04-3227","2005.eamt-1.19","0.119048"
"2005.eamt-1.19","W05-0804","0.119048"
"W05-0804","2005.eamt-1.19","0.119048"
"2005.eamt-1.19","W05-0836","0.272619"
"W05-0836","2005.eamt-1.19","0.272619"
"2005.iwslt-1.6","2005.iwslt-1.7","0.947619"
"2005.iwslt-1.7","2005.iwslt-1.6","0.947619"
"2005.iwslt-1.6","2005.mtsummit-papers.30","0.447619"
"2005.mtsummit-papers.30","2005.iwslt-1.6","0.447619"
"2005.iwslt-1.6","2006.iwslt-evaluation.19","1.98929"
"2006.iwslt-evaluation.19","2005.iwslt-1.6","1.98929"
"2005.iwslt-1.6","2007.iwslt-1.9","0.353665"
"2007.iwslt-1.9","2005.iwslt-1.6","0.353665"
"2005.iwslt-1.6","2008.iwslt-papers.5","0.161998"
"2008.iwslt-papers.5","2005.iwslt-1.6","0.161998"
"2005.iwslt-1.6","2010.eamt-1.29","0.297619"
"2010.eamt-1.29","2005.iwslt-1.6","0.297619"
"2005.iwslt-1.6","2012.amta-papers.19","0.047619"
"2012.amta-papers.19","2005.iwslt-1.6","0.047619"
"2005.iwslt-1.6","C16-1172","0.103175"
"C16-1172","2005.iwslt-1.6","0.103175"
"2005.iwslt-1.6","C98-2216","0.047619"
"C98-2216","2005.iwslt-1.6","0.047619"
"2005.iwslt-1.6","P03-1041","0.272619"
"P03-1041","2005.iwslt-1.6","0.272619"
"2005.iwslt-1.6","P97-1047","0.047619"
"P97-1047","2005.iwslt-1.6","0.047619"
"2005.iwslt-1.6","P98-2221","0.047619"
"P98-2221","2005.iwslt-1.6","0.047619"
"2005.iwslt-1.6","W03-0315","0.047619"
"W03-0315","2005.iwslt-1.6","0.047619"
"2005.iwslt-1.6","W03-1502","0.047619"
"W03-1502","2005.iwslt-1.6","0.047619"
"2005.iwslt-1.6","W04-3227","0.497619"
"W04-3227","2005.iwslt-1.6","0.497619"
"2005.iwslt-1.6","W05-0804","0.606443"
"W05-0804","2005.iwslt-1.6","0.606443"
"2005.iwslt-1.6","W05-0836","0.128175"
"W05-0836","2005.iwslt-1.6","0.128175"
"2005.iwslt-1.7","2005.mtsummit-papers.30","5.55238"
"2005.mtsummit-papers.30","2005.iwslt-1.7","5.55238"
"2005.iwslt-1.7","2006.iwslt-evaluation.19","0.822619"
"2006.iwslt-evaluation.19","2005.iwslt-1.7","0.822619"
"2005.iwslt-1.7","2007.iwslt-1.9","0.144048"
"2007.iwslt-1.9","2005.iwslt-1.7","0.144048"
"2005.iwslt-1.7","2008.iwslt-papers.5","0.119048"
"2008.iwslt-papers.5","2005.iwslt-1.7","0.119048"
"2005.iwslt-1.7","2010.eamt-1.29","0.297619"
"2010.eamt-1.29","2005.iwslt-1.7","0.297619"
"2005.iwslt-1.7","2012.amta-papers.19","0.047619"
"2012.amta-papers.19","2005.iwslt-1.7","0.047619"
"2005.iwslt-1.7","C16-1172","0.047619"
"C16-1172","2005.iwslt-1.7","0.047619"
"2005.iwslt-1.7","C98-2216","0.119048"
"C98-2216","2005.iwslt-1.7","0.119048"
"2005.iwslt-1.7","P03-1041","0.144048"
"P03-1041","2005.iwslt-1.7","0.144048"
"2005.iwslt-1.7","P97-1047","0.119048"
"P97-1047","2005.iwslt-1.7","0.119048"
"2005.iwslt-1.7","P98-2221","0.119048"
"P98-2221","2005.iwslt-1.7","0.119048"
"2005.iwslt-1.7","W03-0315","0.047619"
"W03-0315","2005.iwslt-1.7","0.047619"
"2005.iwslt-1.7","W03-1502","0.119048"
"W03-1502","2005.iwslt-1.7","0.119048"
"2005.iwslt-1.7","W04-3227","0.119048"
"W04-3227","2005.iwslt-1.7","0.119048"
"2005.iwslt-1.7","W05-0804","0.119048"
"W05-0804","2005.iwslt-1.7","0.119048"
"2005.iwslt-1.7","W05-0836","0.0726191"
"W05-0836","2005.iwslt-1.7","0.0726191"
"2005.mtsummit-papers.30","2006.iwslt-evaluation.19","0.322619"
"2006.iwslt-evaluation.19","2005.mtsummit-papers.30","0.322619"
"2005.mtsummit-papers.30","2007.iwslt-1.9","0.144048"
"2007.iwslt-1.9","2005.mtsummit-papers.30","0.144048"
"2005.mtsummit-papers.30","2008.iwslt-papers.5","0.119048"
"2008.iwslt-papers.5","2005.mtsummit-papers.30","0.119048"
"2005.mtsummit-papers.30","2010.eamt-1.29","0.297619"
"2010.eamt-1.29","2005.mtsummit-papers.30","0.297619"
"2005.mtsummit-papers.30","2012.amta-papers.19","0.047619"
"2012.amta-papers.19","2005.mtsummit-papers.30","0.047619"
"2005.mtsummit-papers.30","C16-1172","0.047619"
"C16-1172","2005.mtsummit-papers.30","0.047619"
"2005.mtsummit-papers.30","C98-2216","0.119048"
"C98-2216","2005.mtsummit-papers.30","0.119048"
"2005.mtsummit-papers.30","P03-1041","0.144048"
"P03-1041","2005.mtsummit-papers.30","0.144048"
"2005.mtsummit-papers.30","P97-1047","0.119048"
"P97-1047","2005.mtsummit-papers.30","0.119048"
"2005.mtsummit-papers.30","P98-2221","0.119048"
"P98-2221","2005.mtsummit-papers.30","0.119048"
"2005.mtsummit-papers.30","W03-0315","0.047619"
"W03-0315","2005.mtsummit-papers.30","0.047619"
"2005.mtsummit-papers.30","W03-1502","0.119048"
"W03-1502","2005.mtsummit-papers.30","0.119048"
"2005.mtsummit-papers.30","W04-3227","0.119048"
"W04-3227","2005.mtsummit-papers.30","0.119048"
"2005.mtsummit-papers.30","W05-0804","0.119048"
"W05-0804","2005.mtsummit-papers.30","0.119048"
"2005.mtsummit-papers.30","W05-0836","0.0726191"
"W05-0836","2005.mtsummit-papers.30","0.0726191"
"2006.iwslt-evaluation.19","2007.iwslt-1.9","0.239286"
"2007.iwslt-1.9","2006.iwslt-evaluation.19","0.239286"
"2006.iwslt-evaluation.19","2008.iwslt-papers.5","0.047619"
"2008.iwslt-papers.5","2006.iwslt-evaluation.19","0.047619"
"2006.iwslt-evaluation.19","2010.eamt-1.29","0.297619"
"2010.eamt-1.29","2006.iwslt-evaluation.19","0.297619"
"2006.iwslt-evaluation.19","2012.amta-papers.19","0.047619"
"2012.amta-papers.19","2006.iwslt-evaluation.19","0.047619"
"2006.iwslt-evaluation.19","C16-1172","0.047619"
"C16-1172","2006.iwslt-evaluation.19","0.047619"
"2006.iwslt-evaluation.19","C98-2216","0.047619"
"C98-2216","2006.iwslt-evaluation.19","0.047619"
"2006.iwslt-evaluation.19","P03-1041","0.0726191"
"P03-1041","2006.iwslt-evaluation.19","0.0726191"
"2006.iwslt-evaluation.19","P97-1047","0.047619"
"P97-1047","2006.iwslt-evaluation.19","0.047619"
"2006.iwslt-evaluation.19","P98-2221","0.047619"
"P98-2221","2006.iwslt-evaluation.19","0.047619"
"2006.iwslt-evaluation.19","W03-0315","0.047619"
"W03-0315","2006.iwslt-evaluation.19","0.047619"
"2006.iwslt-evaluation.19","W03-1502","0.047619"
"W03-1502","2006.iwslt-evaluation.19","0.047619"
"2006.iwslt-evaluation.19","W04-3227","0.047619"
"W04-3227","2006.iwslt-evaluation.19","0.047619"
"2006.iwslt-evaluation.19","W05-0804","0.547619"
"W05-0804","2006.iwslt-evaluation.19","0.547619"
"2006.iwslt-evaluation.19","W05-0836","0.0726191"
"W05-0836","2006.iwslt-evaluation.19","0.0726191"
"2007.iwslt-1.9","2008.iwslt-papers.5","0.233427"
"2008.iwslt-papers.5","2007.iwslt-1.9","0.233427"
"2007.iwslt-1.9","2010.eamt-1.29","0.138528"
"2010.eamt-1.29","2007.iwslt-1.9","0.138528"
"2007.iwslt-1.9","2012.amta-papers.19","0.047619"
"2012.amta-papers.19","2007.iwslt-1.9","0.047619"
"2007.iwslt-1.9","C16-1172","0.694084"
"C16-1172","2007.iwslt-1.9","0.694084"
"2007.iwslt-1.9","C98-2216","0.119048"
"C98-2216","2007.iwslt-1.9","0.119048"
"2007.iwslt-1.9","P03-1041","0.144048"
"P03-1041","2007.iwslt-1.9","0.144048"
"2007.iwslt-1.9","P97-1047","0.119048"
"P97-1047","2007.iwslt-1.9","0.119048"
"2007.iwslt-1.9","P98-2221","0.119048"
"P98-2221","2007.iwslt-1.9","0.119048"
"2007.iwslt-1.9","W03-0315","0.047619"
"W03-0315","2007.iwslt-1.9","0.047619"
"2007.iwslt-1.9","W03-1502","0.119048"
"W03-1502","2007.iwslt-1.9","0.119048"
"2007.iwslt-1.9","W04-3227","0.209957"
"W04-3227","2007.iwslt-1.9","0.209957"
"2007.iwslt-1.9","W05-0804","0.177871"
"W05-0804","2007.iwslt-1.9","0.177871"
"2007.iwslt-1.9","W05-0836","0.419084"
"W05-0836","2007.iwslt-1.9","0.419084"
"2008.iwslt-papers.5","2010.eamt-1.29","0.120238"
"2010.eamt-1.29","2008.iwslt-papers.5","0.120238"
"2008.iwslt-papers.5","2012.amta-papers.19","0.120238"
"2012.amta-papers.19","2008.iwslt-papers.5","0.120238"
"2008.iwslt-papers.5","C16-1172","0.178175"
"C16-1172","2008.iwslt-papers.5","0.178175"
"2008.iwslt-papers.5","C98-2216","0.119048"
"C98-2216","2008.iwslt-papers.5","0.119048"
"2008.iwslt-papers.5","P03-1041","0.119048"
"P03-1041","2008.iwslt-papers.5","0.119048"
"2008.iwslt-papers.5","P97-1047","0.119048"
"P97-1047","2008.iwslt-papers.5","0.119048"
"2008.iwslt-papers.5","P98-2221","0.119048"
"P98-2221","2008.iwslt-papers.5","0.119048"
"2008.iwslt-papers.5","W03-0315","0.047619"
"W03-0315","2008.iwslt-papers.5","0.047619"
"2008.iwslt-papers.5","W03-1502","0.119048"
"W03-1502","2008.iwslt-papers.5","0.119048"
"2008.iwslt-papers.5","W04-3227","0.119048"
"W04-3227","2008.iwslt-papers.5","0.119048"
"2008.iwslt-papers.5","W05-0804","0.177871"
"W05-0804","2008.iwslt-papers.5","0.177871"
"2008.iwslt-papers.5","W05-0836","0.103175"
"W05-0836","2008.iwslt-papers.5","0.103175"
"2010.eamt-1.29","2012.amta-papers.19","1.67832"
"2012.amta-papers.19","2010.eamt-1.29","1.67832"
"2010.eamt-1.29","C16-1172","0.163528"
"C16-1172","2010.eamt-1.29","0.163528"
"2010.eamt-1.29","C98-2216","0.047619"
"C98-2216","2010.eamt-1.29","0.047619"
"2010.eamt-1.29","P03-1041","0.047619"
"P03-1041","2010.eamt-1.29","0.047619"
"2010.eamt-1.29","P97-1047","0.047619"
"P97-1047","2010.eamt-1.29","0.047619"
"2010.eamt-1.29","P98-2221","0.047619"
"P98-2221","2010.eamt-1.29","0.047619"
"2010.eamt-1.29","W03-0315","0.047619"
"W03-0315","2010.eamt-1.29","0.047619"
"2010.eamt-1.29","W03-1502","0.047619"
"W03-1502","2010.eamt-1.29","0.047619"
"2010.eamt-1.29","W04-3227","0.138528"
"W04-3227","2010.eamt-1.29","0.138528"
"2010.eamt-1.29","W05-0804","0.047619"
"W05-0804","2010.eamt-1.29","0.047619"
"2010.eamt-1.29","W05-0836","0.138528"
"W05-0836","2010.eamt-1.29","0.138528"
"2012.amta-papers.19","C16-1172","0.104877"
"C16-1172","2012.amta-papers.19","0.104877"
"2012.amta-papers.19","C98-2216","0.047619"
"C98-2216","2012.amta-papers.19","0.047619"
"2012.amta-papers.19","P03-1041","0.047619"
"P03-1041","2012.amta-papers.19","0.047619"
"2012.amta-papers.19","P97-1047","0.047619"
"P97-1047","2012.amta-papers.19","0.047619"
"2012.amta-papers.19","P98-2221","0.047619"
"P98-2221","2012.amta-papers.19","0.047619"
"2012.amta-papers.19","W03-0315","0.047619"
"W03-0315","2012.amta-papers.19","0.047619"
"2012.amta-papers.19","W03-1502","0.047619"
"W03-1502","2012.amta-papers.19","0.047619"
"2012.amta-papers.19","W04-3227","0.047619"
"W04-3227","2012.amta-papers.19","0.047619"
"2012.amta-papers.19","W05-0804","0.047619"
"W05-0804","2012.amta-papers.19","0.047619"
"2012.amta-papers.19","W05-0836","0.047619"
"W05-0836","2012.amta-papers.19","0.047619"
"C16-1172","C98-2216","0.047619"
"C98-2216","C16-1172","0.047619"
"C16-1172","P03-1041","0.047619"
"P03-1041","C16-1172","0.047619"
"C16-1172","P97-1047","0.047619"
"P97-1047","C16-1172","0.047619"
"C16-1172","P98-2221","0.047619"
"P98-2221","C16-1172","0.047619"
"C16-1172","W03-0315","0.047619"
"W03-0315","C16-1172","0.047619"
"C16-1172","W03-1502","0.047619"
"W03-1502","C16-1172","0.047619"
"C16-1172","W04-3227","0.138528"
"W04-3227","C16-1172","0.138528"
"C16-1172","W05-0804","0.097619"
"W05-0804","C16-1172","0.097619"
"C16-1172","W05-0836","0.194084"
"W05-0836","C16-1172","0.194084"
"C98-2216","P03-1041","0.119048"
"P03-1041","C98-2216","0.119048"
"C98-2216","P97-1047","0.119048"
"P97-1047","C98-2216","0.119048"
"C98-2216","P98-2221","2.11905"
"P98-2221","C98-2216","2.11905"
"C98-2216","W03-0315","0.047619"
"W03-0315","C98-2216","0.047619"
"C98-2216","W03-1502","0.119048"
"W03-1502","C98-2216","0.119048"
"C98-2216","W04-3227","0.119048"
"W04-3227","C98-2216","0.119048"
"C98-2216","W05-0804","0.119048"
"W05-0804","C98-2216","0.119048"
"C98-2216","W05-0836","0.047619"
"W05-0836","C98-2216","0.047619"
"P03-1041","P97-1047","0.119048"
"P97-1047","P03-1041","0.119048"
"P03-1041","P98-2221","0.119048"
"P98-2221","P03-1041","0.119048"
"P03-1041","W03-0315","0.047619"
"W03-0315","P03-1041","0.047619"
"P03-1041","W03-1502","0.119048"
"W03-1502","P03-1041","0.119048"
"P03-1041","W04-3227","0.319048"
"W04-3227","P03-1041","0.319048"
"P03-1041","W05-0804","1.11905"
"W05-0804","P03-1041","1.11905"
"P03-1041","W05-0836","0.0726191"
"W05-0836","P03-1041","0.0726191"
"P97-1047","P98-2221","0.119048"
"P98-2221","P97-1047","0.119048"
"P97-1047","W03-0315","0.047619"
"W03-0315","P97-1047","0.047619"
"P97-1047","W03-1502","0.119048"
"W03-1502","P97-1047","0.119048"
"P97-1047","W04-3227","0.119048"
"W04-3227","P97-1047","0.119048"
"P97-1047","W05-0804","0.119048"
"W05-0804","P97-1047","0.119048"
"P97-1047","W05-0836","0.047619"
"W05-0836","P97-1047","0.047619"
"P98-2221","W03-0315","0.047619"
"W03-0315","P98-2221","0.047619"
"P98-2221","W03-1502","0.119048"
"W03-1502","P98-2221","0.119048"
"P98-2221","W04-3227","0.119048"
"W04-3227","P98-2221","0.119048"
"P98-2221","W05-0804","0.119048"
"W05-0804","P98-2221","0.119048"
"P98-2221","W05-0836","0.047619"
"W05-0836","P98-2221","0.047619"
"W03-0315","W03-1502","0.047619"
"W03-1502","W03-0315","0.047619"
"W03-0315","W04-3227","2.04762"
"W04-3227","W03-0315","2.04762"
"W03-0315","W05-0804","0.047619"
"W05-0804","W03-0315","0.047619"
"W03-0315","W05-0836","0.047619"
"W05-0836","W03-0315","0.047619"
"W03-1502","W04-3227","0.119048"
"W04-3227","W03-1502","0.119048"
"W03-1502","W05-0804","0.119048"
"W05-0804","W03-1502","0.119048"
"W03-1502","W05-0836","0.047619"
"W05-0836","W03-1502","0.047619"
"W04-3227","W05-0804","0.119048"
"W05-0804","W04-3227","0.119048"
"W04-3227","W05-0836","0.638528"
"W05-0836","W04-3227","0.638528"
"W05-0804","W05-0836","0.047619"
"W05-0836","W05-0804","0.047619"
"2003.mtsummit-papers.53","C04-1114","0.596429"
"C04-1114","2003.mtsummit-papers.53","0.596429"
"2004.iwslt-evaluation.11","C04-1114","0.0964286"
"C04-1114","2004.iwslt-evaluation.11","0.0964286"
"2005.eamt-1.19","C04-1114","0.0964286"
"C04-1114","2005.eamt-1.19","0.0964286"
"2005.iwslt-1.7","C04-1114","0.0964286"
"C04-1114","2005.iwslt-1.7","0.0964286"
"2005.mtsummit-papers.30","C04-1114","0.0964286"
"C04-1114","2005.mtsummit-papers.30","0.0964286"
"2007.iwslt-1.9","C04-1114","0.0964286"
"C04-1114","2007.iwslt-1.9","0.0964286"
"2008.iwslt-papers.5","C04-1114","0.0714286"
"C04-1114","2008.iwslt-papers.5","0.0714286"
"C04-1114","C98-2216","0.0714286"
"C98-2216","C04-1114","0.0714286"
"C04-1114","P03-1041","0.0964286"
"P03-1041","C04-1114","0.0964286"
"C04-1114","P97-1047","0.0714286"
"P97-1047","C04-1114","0.0714286"
"C04-1114","P98-2221","0.0714286"
"P98-2221","C04-1114","0.0714286"
"C04-1114","W03-1502","0.571429"
"W03-1502","C04-1114","0.571429"
"C04-1114","W04-3227","0.0714286"
"W04-3227","C04-1114","0.0714286"
"C04-1114","W05-0804","0.0714286"
"W05-0804","C04-1114","0.0714286"
"2003.mtsummit-papers.53","2006.eamt-1.12","0.025"
"2006.eamt-1.12","2003.mtsummit-papers.53","0.025"
"2003.mtsummit-papers.53","2006.iwslt-evaluation.20","0.025"
"2006.iwslt-evaluation.20","2003.mtsummit-papers.53","0.025"
"2003.mtsummit-papers.53","2007.iwslt-1.4","0.025"
"2007.iwslt-1.4","2003.mtsummit-papers.53","0.025"
"2003.mtsummit-papers.53","2007.mtsummit-papers.22","0.025"
"2007.mtsummit-papers.22","2003.mtsummit-papers.53","0.025"
"2003.mtsummit-papers.53","2011.iwslt-evaluation.15","0.025"
"2011.iwslt-evaluation.15","2003.mtsummit-papers.53","0.025"
"2003.mtsummit-papers.53","2012.iwslt-papers.15","0.025"
"2012.iwslt-papers.15","2003.mtsummit-papers.53","0.025"
"2003.mtsummit-papers.53","2013.iwslt-evaluation.16","0.025"
"2013.iwslt-evaluation.16","2003.mtsummit-papers.53","0.025"
"2003.mtsummit-papers.53","2014.iwslt-evaluation.7","0.025"
"2014.iwslt-evaluation.7","2003.mtsummit-papers.53","0.025"
"2003.mtsummit-papers.53","2014.iwslt-papers.7","0.025"
"2014.iwslt-papers.7","2003.mtsummit-papers.53","0.025"
"2003.mtsummit-papers.53","2021.mtsummit-loresmt.4","0.025"
"2021.mtsummit-loresmt.4","2003.mtsummit-papers.53","0.025"
"2003.mtsummit-papers.53","C16-1292","0.025"
"C16-1292","2003.mtsummit-papers.53","0.025"
"2003.mtsummit-papers.53","cho-etal-2014-corpus","0.025"
