"2020.iwpt-1.21","2021.iwpt-1.19","1"
"N07-1049","W15-1002","0.0909091"
"W15-1002","N07-1049","0.0909091"
"P15-1082","S14-2134","0.0909091"
"S14-2134","P15-1082","0.0909091"
"P15-1082","W07-2217","0.0909091"
"W07-2217","P15-1082","0.0909091"
"P15-1082","W08-2138","0.0909091"
"W08-2138","P15-1082","0.0909091"
"P15-1082","W11-1009","0.924242"
"W11-1009","P15-1082","0.924242"
"P15-1082","W12-0707","0.0909091"
"W12-0707","P15-1082","0.0909091"
"P15-1082","W13-2220","3.92424"
"W13-2220","P15-1082","3.92424"
"P15-1082","W15-1002","16.4242"
"W15-1002","P15-1082","16.4242"
"S14-2134","W07-2217","0.0909091"
"W07-2217","S14-2134","0.0909091"
"S14-2134","W08-2138","0.0909091"
"W08-2138","S14-2134","0.0909091"
"S14-2134","W11-1009","0.0909091"
"W11-1009","S14-2134","0.0909091"
"S14-2134","W12-0707","0.0909091"
"W12-0707","S14-2134","0.0909091"
"S14-2134","W13-2220","0.0909091"
"W13-2220","S14-2134","0.0909091"
"S14-2134","W15-1002","0.0909091"
"W15-1002","S14-2134","0.0909091"
"W07-2217","W08-2138","1.59091"
"W08-2138","W07-2217","1.59091"
"W07-2217","W11-1009","0.590909"
"W11-1009","W07-2217","0.590909"
"W07-2217","W15-1002","0.0909091"
"W15-1002","W07-2217","0.0909091"
"W08-2138","W11-1009","0.0909091"
"W11-1009","W08-2138","0.0909091"
"W08-2138","W12-0707","0.424242"
"W12-0707","W08-2138","0.424242"
"W08-2138","W13-2220","0.424242"
"W13-2220","W08-2138","0.424242"
"W08-2138","W15-1002","0.0909091"
"W15-1002","W08-2138","0.0909091"
"W11-1009","W12-0707","0.0909091"
"W12-0707","W11-1009","0.0909091"
"W11-1009","W13-2220","3.42424"
"W13-2220","W11-1009","3.42424"
"W11-1009","W15-1002","0.924242"
"W15-1002","W11-1009","0.924242"
"W12-0707","W15-1002","0.0909091"
"W15-1002","W12-0707","0.0909091"
"W13-2220","W15-1002","3.92424"
"W15-1002","W13-2220","3.92424"
"attardi-etal-2010-resource","N07-1049","0.333333"
"N07-1049","attardi-etal-2010-resource","0.333333"
"attardi-etal-2010-resource","W13-2220","0.333333"
"W13-2220","attardi-etal-2010-resource","0.333333"
"bosco-etal-2008-comparing","N09-2066","2.65"
"N09-2066","bosco-etal-2008-comparing","2.65"
"bosco-etal-2008-comparing","bosco-etal-2010-comparing","0.45"
"bosco-etal-2010-comparing","bosco-etal-2008-comparing","0.45"
"bosco-etal-2008-comparing","N07-1049","0.4"
"N07-1049","bosco-etal-2008-comparing","0.4"
"bosco-etal-2008-comparing","W06-2922","0.4"
"W06-2922","bosco-etal-2008-comparing","0.4"
"bosco-etal-2008-comparing","W07-2217","1.65"
"W07-2217","bosco-etal-2008-comparing","1.65"
"bosco-etal-2010-comparing","N07-1049","0.2"
"N07-1049","bosco-etal-2010-comparing","0.2"
"bosco-etal-2010-comparing","N09-2066","0.45"
"N09-2066","bosco-etal-2010-comparing","0.45"
"bosco-etal-2010-comparing","W06-2922","0.2"
"W06-2922","bosco-etal-2010-comparing","0.2"
"bosco-etal-2010-comparing","W07-2217","0.45"
"W07-2217","bosco-etal-2010-comparing","0.45"
"bosco-etal-2008-comparing","D07-1119","0.45"
"D07-1119","bosco-etal-2008-comparing","0.45"
"bosco-etal-2008-comparing","P15-1082","0.5"
"P15-1082","bosco-etal-2008-comparing","0.5"
"bosco-etal-2008-comparing","W15-1002","0.5"
"W15-1002","bosco-etal-2008-comparing","0.5"
"bosco-etal-2010-comparing","D07-1119","0.25"
"D07-1119","bosco-etal-2010-comparing","0.25"
"N09-2066","W08-2138","0.5"
"W08-2138","N09-2066","0.5"
"P15-1082","S17-2048","0.5"
"S17-2048","P15-1082","0.5"
"S17-2048","W15-1002","0.5"
"W15-1002","S17-2048","0.5"
"S14-2134","W15-1515","1"
"W15-1515","S14-2134","1"
